PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",0,1756246032708,1756246032921,Shift,16, daily, physical-keyboard,0,0,0,1,213.0,,,174.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",1,1756246032802,1756246032882,H,72, daily, physical-keyboard,0,0,0,1,80.0,94.0,,263.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",2,1756246033013,1756246033065,i,73, daily, physical-keyboard,1,0,0,1,52.0,211.0,183.0,497.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",3,1756246033463,1756246033510,.,190, daily, physical-keyboard,2,0,0,1,47.0,450.0,445.0,239.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",4,1756246033640,1756246033702, ,32, daily, physical-keyboard,3,0,0,0,62.0,177.0,192.0,34897.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",5,1756246068237,1756246068537,Shift,16, daily, physical-keyboard,4,1,0,1,300.0,34597.0,34835.0,249.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",6,1756246068434,1756246068486,I,73, daily, physical-keyboard,4,1,0,1,52.0,197.0,,284.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",7,1756246068649,1756246068718, ,32, daily, physical-keyboard,5,1,0,0,69.0,215.0,232.0,295.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",8,1756246068870,1756246068944,n,78, daily, physical-keyboard,6,1,0,1,74.0,221.0,226.0,264.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",9,1756246069071,1756246069134,e,69, daily, physical-keyboard,7,1,0,1,63.0,201.0,190.0,214.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",10,1756246069224,1756246069285,e,69, daily, physical-keyboard,8,1,0,1,61.0,153.0,151.0,280.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",11,1756246069424,1756246069504,d,68, daily, physical-keyboard,9,1,0,1,80.0,200.0,219.0,326.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",12,1756246069684,1756246069750, ,32, daily, physical-keyboard,10,1,0,0,66.0,260.0,246.0,852.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",13,1756246070473,1756246070536,h,72, daily, physical-keyboard,11,1,0,1,63.0,789.0,786.0,255.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",14,1756246070640,1756246070728,e,69, daily, physical-keyboard,12,1,0,1,88.0,167.0,192.0,224.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",15,1756246070809,1756246070864,l,76, daily, physical-keyboard,13,1,0,1,55.0,169.0,136.0,224.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",16,1756246070982,1756246071033,p,80, daily, physical-keyboard,14,1,0,1,51.0,173.0,169.0,276.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",17,1756246071187,1756246071258, ,32, daily, physical-keyboard,15,1,0,0,71.0,205.0,225.0,636.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",18,1756246071754,1756246071823,t,84, daily, physical-keyboard,16,1,0,1,69.0,567.0,565.0,311.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",19,1756246072019,1756246072065,o,79, daily, physical-keyboard,17,1,0,1,46.0,265.0,242.0,274.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",20,1756246072221,1756246072293, ,32, daily, physical-keyboard,18,1,0,0,72.0,202.0,228.0,278.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",21,1756246072442,1756246072499,c,67, daily, physical-keyboard,19,1,0,1,57.0,221.0,206.0,240.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",22,1756246072614,1756246072682,r,82, daily, physical-keyboard,20,1,0,1,68.0,172.0,183.0,521.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",23,1756246073090,1756246073135,e,69, daily, physical-keyboard,21,1,0,1,45.0,476.0,453.0,258.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",24,1756246073270,1756246073348,a,65, daily, physical-keyboard,22,1,0,1,78.0,180.0,213.0,311.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",25,1756246073431,1756246073581,t,84, daily, physical-keyboard,23,1,0,1,150.0,161.0,233.0,401.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",26,1756246073736,1756246073832,e,69, daily, physical-keyboard,24,1,0,1,96.0,305.0,251.0,385.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",27,1756246074047,1756246074121, ,32, daily, physical-keyboard,25,1,0,0,74.0,311.0,289.0,303.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",28,1756246074282,1756246074350,a,65, daily, physical-keyboard,26,1,0,1,68.0,235.0,229.0,335.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",29,1756246074546,1756246074617, ,32, daily, physical-keyboard,27,1,0,0,71.0,264.0,267.0,366.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",30,1756246074854,1756246074912,m,77, daily, physical-keyboard,28,1,0,1,58.0,308.0,295.0,258.0
5accb373436f5500010037ee,prompt-to-text,0,0,2,Hi. I need help to create a minute from this word archive with dates and commitments. Please generate a word doument .docx,"[4,84]","[118,122]",31,1756246075055,1756246075112,i,73, daily, physical-keyboard,29,1,0,1,57.0,201.0,200.0,258.0
