PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",0,1756279898702,1756279898987,Shift,16, rarely, physical-keyboard,0,0,1,1,285.0,,,263.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",1,1756279898840,1756279898965,A,65, rarely, physical-keyboard,0,0,1,1,125.0,138.0,,282.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",2,1756279898995,1756279899122, ,32, rarely, physical-keyboard,1,0,1,0,127.0,155.0,157.0,380.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",3,1756279899182,1756279899375,b,66, rarely, physical-keyboard,2,0,1,1,193.0,187.0,253.0,247.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",4,1756279899375,1756279899429,e,69, rarely, physical-keyboard,3,0,1,1,54.0,193.0,54.0,197.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",5,1756279899391,1756279899572,a,65, rarely, physical-keyboard,4,0,1,1,181.0,16.0,143.0,189.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",6,1756279899474,1756279899580,u,85, rarely, physical-keyboard,5,0,1,1,106.0,83.0,8.0,404.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",7,1756279899706,1756279899878,t,84, rarely, physical-keyboard,6,0,1,1,172.0,232.0,298.0,210.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",8,1756279899878,1756279899916,i,73, rarely, physical-keyboard,7,0,1,1,38.0,172.0,38.0,212.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",9,1756279899954,1756279900090,f,70, rarely, physical-keyboard,8,0,1,1,136.0,76.0,174.0,232.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",10,1756279900030,1756279900186,u,85, rarely, physical-keyboard,9,0,1,1,156.0,76.0,96.0,361.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",11,1756279900158,1756279900391,l,76, rarely, physical-keyboard,10,0,1,1,233.0,128.0,205.0,313.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",12,1756279900392,1756279900471, ,32, rarely, physical-keyboard,11,0,1,0,79.0,234.0,80.0,5376.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",13,1756279905572,1756279905768,f,70, rarely, physical-keyboard,12,0,1,1,196.0,5180.0,5297.0,203.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",14,1756279905670,1756279905775,o,79, rarely, physical-keyboard,13,0,1,1,105.0,98.0,7.0,479.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",15,1756279906034,1756279906149,r,82, rarely, physical-keyboard,14,0,1,1,115.0,364.0,374.0,325.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",16,1756279906217,1756279906359,e,69, rarely, physical-keyboard,15,0,1,1,142.0,183.0,210.0,356.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",17,1756279906412,1756279906573,s,83, rarely, physical-keyboard,16,0,1,1,161.0,195.0,214.0,240.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",18,1756279906573,1756279906652,t,84, rarely, physical-keyboard,17,0,1,1,79.0,161.0,79.0,3695.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",19,1756279910159,1756279910268, ,32, rarely, physical-keyboard,18,0,1,0,109.0,3586.0,3616.0,510.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",20,1756279910507,1756279910669,w,87, rarely, physical-keyboard,19,0,1,1,162.0,348.0,401.0,162.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",21,1756279910582,1756279910669,i,73, rarely, physical-keyboard,20,0,1,1,87.0,75.0,0.0,322.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",22,1756279910769,1756279910904,t,84, rarely, physical-keyboard,21,0,1,1,135.0,187.0,235.0,255.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",23,1756279910882,1756279911024,h,72, rarely, physical-keyboard,22,0,1,1,142.0,113.0,120.0,288.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",24,1756279911017,1756279911170, ,32, rarely, physical-keyboard,23,0,1,0,153.0,135.0,146.0,292.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",25,1756279911234,1756279911309,a,65, rarely, physical-keyboard,24,0,1,1,75.0,217.0,139.0,315.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",26,1756279911459,1756279911549,l,76, rarely, physical-keyboard,25,0,1,0,90.0,225.0,240.0,215.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",27,1756279911505,1756279911674, ,32, rarely, physical-keyboard,25,0,1,0,169.0,46.0,125.0,524.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",28,1756279911954,1756279912029,Backspace,8, rarely, physical-keyboard,25,0,1,0,75.0,449.0,355.0,237.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",29,1756279912097,1756279912191,Backspace,8, rarely, physical-keyboard,25,0,1,0,94.0,143.0,162.0,391.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",30,1756279912323,1756279912488, ,32, rarely, physical-keyboard,25,0,1,0,165.0,226.0,297.0,389.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",31,1756279912592,1756279912712,l,76, rarely, physical-keyboard,26,0,1,1,120.0,269.0,224.0,1688.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",32,1756279914152,1756279914280,Backspace,8, rarely, physical-keyboard,26,0,1,1,128.0,1560.0,1568.0,750.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",33,1756279914797,1756279914902,b,66, rarely, physical-keyboard,26,0,1,1,105.0,645.0,622.0,166.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",34,1756279914865,1756279914963,i,73, rarely, physical-keyboard,26,0,1,1,98.0,68.0,61.0,232.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",35,1756279915007,1756279915097,g,71, rarely, physical-keyboard,26,0,1,1,90.0,142.0,134.0,282.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",36,1756279915135,1756279915289, ,32, rarely, physical-keyboard,26,0,1,1,154.0,128.0,192.0,662.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",37,1756279915697,1756279915797,Backspace,8, rarely, physical-keyboard,26,0,1,1,100.0,562.0,508.0,225.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",38,1756279915862,1756279915922,Backspace,8, rarely, physical-keyboard,26,0,1,1,60.0,165.0,125.0,196.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",39,1756279915930,1756279916058,Backspace,8, rarely, physical-keyboard,26,0,1,1,128.0,68.0,136.0,225.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",40,1756279916080,1756279916155,Backspace,8, rarely, physical-keyboard,26,0,1,1,75.0,150.0,97.0,3930.0
5c4f5967aac8be0001716a65,image-to-prompt,1,6,7,"A beautiful forest with a long stretching stream in the middle, there are ducks swimming in the water and it is cloudy in the background but with some sun.","[64,101];[112,136]","[0,62];[137,155]",41,1756279919946,1756279920010,l,76, rarely, physical-keyboard,26,0,1,1,64.0,3866.0,3855.0,304.0
