PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
5caa534a19731a00190bb935,image-to-prompt,1,7,1,A group of ducks floating along the river on a somewhat cloudy day. The trees dotting the landscsape in this serene picture.,"[0,67]","[68,124]",0,1756216774860,1756216775071,Shift,16, never, physical-keyboard,0,1,0,1,211.0,,,176.0
5caa534a19731a00190bb935,image-to-prompt,1,7,1,A group of ducks floating along the river on a somewhat cloudy day. The trees dotting the landscsape in this serene picture.,"[0,67]","[68,124]",1,1756216774973,1756216775036,A,65, never, physical-keyboard,0,1,0,1,63.0,113.0,,404.0
5caa534a19731a00190bb935,image-to-prompt,1,7,1,A group of ducks floating along the river on a somewhat cloudy day. The trees dotting the landscsape in this serene picture.,"[0,67]","[68,124]",2,1756216775287,1756216775377, ,32, never, physical-keyboard,1,1,0,0,90.0,314.0,341.0,396.0
5caa534a19731a00190bb935,image-to-prompt,1,7,1,A group of ducks floating along the river on a somewhat cloudy day. The trees dotting the landscsape in this serene picture.,"[0,67]","[68,124]",3,1756216775608,1756216775683,g,71, never, physical-keyboard,2,1,0,1,75.0,321.0,306.0,252.0
5caa534a19731a00190bb935,image-to-prompt,1,7,1,A group of ducks floating along the river on a somewhat cloudy day. The trees dotting the landscsape in this serene picture.,"[0,67]","[68,124]",4,1756216775806,1756216775860,r,82, never, physical-keyboard,3,1,0,1,54.0,198.0,177.0,262.0
5caa534a19731a00190bb935,image-to-prompt,1,7,1,A group of ducks floating along the river on a somewhat cloudy day. The trees dotting the landscsape in this serene picture.,"[0,67]","[68,124]",5,1756216775981,1756216776068,o,79, never, physical-keyboard,4,1,0,1,87.0,175.0,208.0,286.0
5caa534a19731a00190bb935,image-to-prompt,1,7,1,A group of ducks floating along the river on a somewhat cloudy day. The trees dotting the landscsape in this serene picture.,"[0,67]","[68,124]",6,1756216776197,1756216776267,u,85, never, physical-keyboard,5,1,0,1,70.0,216.0,199.0,271.0
5caa534a19731a00190bb935,image-to-prompt,1,7,1,A group of ducks floating along the river on a somewhat cloudy day. The trees dotting the landscsape in this serene picture.,"[0,67]","[68,124]",7,1756216776394,1756216776468,p,80, never, physical-keyboard,6,1,0,1,74.0,197.0,201.0,267.0
5caa534a19731a00190bb935,image-to-prompt,1,7,1,A group of ducks floating along the river on a somewhat cloudy day. The trees dotting the landscsape in this serene picture.,"[0,67]","[68,124]",8,1756216776542,1756216776661, ,32, never, physical-keyboard,7,1,0,0,119.0,148.0,193.0,315.0
5caa534a19731a00190bb935,image-to-prompt,1,7,1,A group of ducks floating along the river on a somewhat cloudy day. The trees dotting the landscsape in this serene picture.,"[0,67]","[68,124]",9,1756216776767,1756216776857,o,79, never, physical-keyboard,8,1,0,1,90.0,225.0,196.0,202.0
5caa534a19731a00190bb935,image-to-prompt,1,7,1,A group of ducks floating along the river on a somewhat cloudy day. The trees dotting the landscsape in this serene picture.,"[0,67]","[68,124]",10,1756216776907,1756216776969,f,70, never, physical-keyboard,9,1,0,1,62.0,140.0,112.0,208.0
5caa534a19731a00190bb935,image-to-prompt,1,7,1,A group of ducks floating along the river on a somewhat cloudy day. The trees dotting the landscsape in this serene picture.,"[0,67]","[68,124]",11,1756216777010,1756216777115, ,32, never, physical-keyboard,10,1,0,0,105.0,103.0,146.0,790.0
5caa534a19731a00190bb935,image-to-prompt,1,7,1,A group of ducks floating along the river on a somewhat cloudy day. The trees dotting the landscsape in this serene picture.,"[0,67]","[68,124]",12,1756216777731,1756216777800,d,68, never, physical-keyboard,11,1,0,1,69.0,721.0,685.0,258.0
5caa534a19731a00190bb935,image-to-prompt,1,7,1,A group of ducks floating along the river on a somewhat cloudy day. The trees dotting the landscsape in this serene picture.,"[0,67]","[68,124]",13,1756216777906,1756216777989,u,85, never, physical-keyboard,12,1,0,1,83.0,175.0,189.0,180.0
5caa534a19731a00190bb935,image-to-prompt,1,7,1,A group of ducks floating along the river on a somewhat cloudy day. The trees dotting the landscsape in this serene picture.,"[0,67]","[68,124]",14,1756216778011,1756216778086,c,67, never, physical-keyboard,13,1,0,1,75.0,105.0,97.0,284.0
5caa534a19731a00190bb935,image-to-prompt,1,7,1,A group of ducks floating along the river on a somewhat cloudy day. The trees dotting the landscsape in this serene picture.,"[0,67]","[68,124]",15,1756216778219,1756216778295,k,75, never, physical-keyboard,14,1,0,1,76.0,208.0,209.0,199.0
5caa534a19731a00190bb935,image-to-prompt,1,7,1,A group of ducks floating along the river on a somewhat cloudy day. The trees dotting the landscsape in this serene picture.,"[0,67]","[68,124]",16,1756216778355,1756216778418,s,83, never, physical-keyboard,15,1,0,1,63.0,136.0,123.0,287.0
