PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
5d40a12f4994c40001e4b80c,prompt-to-text,1,6,5,Post a notice about collecting used items. The items are to be donated to flood victims.,"[43,88]","[0,43]",0,1756229184723,1756229185037,Shift,16, monthly, physical-keyboard,0,0,1,1,314.0,,,296.0
5d40a12f4994c40001e4b80c,prompt-to-text,1,6,5,Post a notice about collecting used items. The items are to be donated to flood victims.,"[43,88]","[0,43]",1,1756229184948,1756229185019,P,80, monthly, physical-keyboard,0,0,1,1,71.0,225.0,,292.0
5d40a12f4994c40001e4b80c,prompt-to-text,1,6,5,Post a notice about collecting used items. The items are to be donated to flood victims.,"[43,88]","[0,43]",2,1756229185168,1756229185240,o,79, monthly, physical-keyboard,1,0,1,1,72.0,220.0,221.0,299.0
5d40a12f4994c40001e4b80c,prompt-to-text,1,6,5,Post a notice about collecting used items. The items are to be donated to flood victims.,"[43,88]","[0,43]",3,1756229185397,1756229185467,s,83, monthly, physical-keyboard,2,0,1,1,70.0,229.0,227.0,311.0
5d40a12f4994c40001e4b80c,prompt-to-text,1,6,5,Post a notice about collecting used items. The items are to be donated to flood victims.,"[43,88]","[0,43]",4,1756229185637,1756229185708,t,84, monthly, physical-keyboard,3,0,1,1,71.0,240.0,241.0,334.0
5d40a12f4994c40001e4b80c,prompt-to-text,1,6,5,Post a notice about collecting used items. The items are to be donated to flood victims.,"[43,88]","[0,43]",5,1756229185865,1756229185971, ,32, monthly, physical-keyboard,4,0,1,0,106.0,228.0,263.0,312.0
5d40a12f4994c40001e4b80c,prompt-to-text,1,6,5,Post a notice about collecting used items. The items are to be donated to flood victims.,"[43,88]","[0,43]",6,1756229186090,1756229186177,a,65, monthly, physical-keyboard,5,0,1,1,87.0,225.0,206.0,194.0
5d40a12f4994c40001e4b80c,prompt-to-text,1,6,5,Post a notice about collecting used items. The items are to be donated to flood victims.,"[43,88]","[0,43]",7,1756229186212,1756229186284, ,32, monthly, physical-keyboard,6,0,1,0,72.0,122.0,107.0,312.0
5d40a12f4994c40001e4b80c,prompt-to-text,1,6,5,Post a notice about collecting used items. The items are to be donated to flood victims.,"[43,88]","[0,43]",8,1756229186454,1756229186524,n,78, monthly, physical-keyboard,7,0,1,1,70.0,242.0,240.0,447.0
5d40a12f4994c40001e4b80c,prompt-to-text,1,6,5,Post a notice about collecting used items. The items are to be donated to flood victims.,"[43,88]","[0,43]",9,1756229186794,1756229186901,o,79, monthly, physical-keyboard,8,0,1,1,107.0,340.0,377.0,684.0
5d40a12f4994c40001e4b80c,prompt-to-text,1,6,5,Post a notice about collecting used items. The items are to be donated to flood victims.,"[43,88]","[0,43]",10,1756229187406,1756229187478,t,84, monthly, physical-keyboard,9,0,1,1,72.0,612.0,577.0,432.0
5d40a12f4994c40001e4b80c,prompt-to-text,1,6,5,Post a notice about collecting used items. The items are to be donated to flood victims.,"[43,88]","[0,43]",11,1756229187771,1756229187838,i,73, monthly, physical-keyboard,10,0,1,1,67.0,365.0,360.0,239.0
5d40a12f4994c40001e4b80c,prompt-to-text,1,6,5,Post a notice about collecting used items. The items are to be donated to flood victims.,"[43,88]","[0,43]",12,1756229187943,1756229188010,c,67, monthly, physical-keyboard,11,0,1,1,67.0,172.0,172.0,360.0
5d40a12f4994c40001e4b80c,prompt-to-text,1,6,5,Post a notice about collecting used items. The items are to be donated to flood victims.,"[43,88]","[0,43]",13,1756229188229,1756229188303,e,69, monthly, physical-keyboard,12,0,1,1,74.0,286.0,293.0,248.0
5d40a12f4994c40001e4b80c,prompt-to-text,1,6,5,Post a notice about collecting used items. The items are to be donated to flood victims.,"[43,88]","[0,43]",14,1756229188390,1756229188477, ,32, monthly, physical-keyboard,13,0,1,0,87.0,161.0,174.0,1144.0
5d40a12f4994c40001e4b80c,prompt-to-text,1,6,5,Post a notice about collecting used items. The items are to be donated to flood victims.,"[43,88]","[0,43]",15,1756229189458,1756229189534,a,65, monthly, physical-keyboard,14,0,1,1,76.0,1068.0,1057.0,267.0
5d40a12f4994c40001e4b80c,prompt-to-text,1,6,5,Post a notice about collecting used items. The items are to be donated to flood victims.,"[43,88]","[0,43]",16,1756229189670,1756229189725,b,66, monthly, physical-keyboard,15,0,1,1,55.0,212.0,191.0,448.0
