PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
5f29eff59714081a3594a331,prompt-to-image,1,7,4,Create an image of Leo Messi bowing down to C. Ronaldo. Messi claims Ronaldo is the GOAT,"[19,54]","[55,88]",0,1756255148893,1756255149188,Shift,16, weekly, physical-keyboard,0,0,0,1,295.0,,,363.0
5f29eff59714081a3594a331,prompt-to-image,1,7,4,Create an image of Leo Messi bowing down to C. Ronaldo. Messi claims Ronaldo is the GOAT,"[19,54]","[55,88]",1,1756255149099,1756255149256,C,67, weekly, physical-keyboard,0,0,0,1,157.0,206.0,68.0,519.0
5f29eff59714081a3594a331,prompt-to-image,1,7,4,Create an image of Leo Messi bowing down to C. Ronaldo. Messi claims Ronaldo is the GOAT,"[19,54]","[55,88]",2,1756255149347,1756255149618,r,82, weekly, physical-keyboard,1,0,0,1,271.0,248.0,362.0,304.0
5f29eff59714081a3594a331,prompt-to-image,1,7,4,Create an image of Leo Messi bowing down to C. Ronaldo. Messi claims Ronaldo is the GOAT,"[19,54]","[55,88]",3,1756255149492,1756255149651,e,69, weekly, physical-keyboard,2,0,0,1,159.0,145.0,33.0,458.0
5f29eff59714081a3594a331,prompt-to-image,1,7,4,Create an image of Leo Messi bowing down to C. Ronaldo. Messi claims Ronaldo is the GOAT,"[19,54]","[55,88]",4,1756255149788,1756255149950,a,65, weekly, physical-keyboard,3,0,0,1,162.0,296.0,299.0,501.0
5f29eff59714081a3594a331,prompt-to-image,1,7,4,Create an image of Leo Messi bowing down to C. Ronaldo. Messi claims Ronaldo is the GOAT,"[19,54]","[55,88]",5,1756255150021,1756255150289,t,84, weekly, physical-keyboard,4,0,0,1,268.0,233.0,339.0,336.0
5f29eff59714081a3594a331,prompt-to-image,1,7,4,Create an image of Leo Messi bowing down to C. Ronaldo. Messi claims Ronaldo is the GOAT,"[19,54]","[55,88]",6,1756255150157,1756255150357,e,69, weekly, physical-keyboard,5,0,0,1,200.0,136.0,68.0,257.0
5f29eff59714081a3594a331,prompt-to-image,1,7,4,Create an image of Leo Messi bowing down to C. Ronaldo. Messi claims Ronaldo is the GOAT,"[19,54]","[55,88]",7,1756255150313,1756255150414, ,32, weekly, physical-keyboard,6,0,0,0,101.0,156.0,57.0,294.0
5f29eff59714081a3594a331,prompt-to-image,1,7,4,Create an image of Leo Messi bowing down to C. Ronaldo. Messi claims Ronaldo is the GOAT,"[19,54]","[55,88]",8,1756255150437,1756255150607,t,84, weekly, physical-keyboard,7,0,0,1,170.0,124.0,193.0,208.0
5f29eff59714081a3594a331,prompt-to-image,1,7,4,Create an image of Leo Messi bowing down to C. Ronaldo. Messi claims Ronaldo is the GOAT,"[19,54]","[55,88]",9,1756255150542,1756255150645,h,72, weekly, physical-keyboard,7,0,0,1,103.0,105.0,38.0,530.0
5f29eff59714081a3594a331,prompt-to-image,1,7,4,Create an image of Leo Messi bowing down to C. Ronaldo. Messi claims Ronaldo is the GOAT,"[19,54]","[55,88]",10,1756255150978,1756255151072,Backspace,8, weekly, physical-keyboard,7,0,0,1,94.0,436.0,427.0,305.0
5f29eff59714081a3594a331,prompt-to-image,1,7,4,Create an image of Leo Messi bowing down to C. Ronaldo. Messi claims Ronaldo is the GOAT,"[19,54]","[55,88]",11,1756255151160,1756255151283,Backspace,8, weekly, physical-keyboard,7,0,0,1,123.0,182.0,211.0,2180.0
5f29eff59714081a3594a331,prompt-to-image,1,7,4,Create an image of Leo Messi bowing down to C. Ronaldo. Messi claims Ronaldo is the GOAT,"[19,54]","[55,88]",12,1756255153180,1756255153340,a,65, weekly, physical-keyboard,7,0,0,1,160.0,2020.0,2057.0,228.0
5f29eff59714081a3594a331,prompt-to-image,1,7,4,Create an image of Leo Messi bowing down to C. Ronaldo. Messi claims Ronaldo is the GOAT,"[19,54]","[55,88]",13,1756255153322,1756255153408,n,78, weekly, physical-keyboard,8,0,0,1,86.0,142.0,68.0,501.0
5f29eff59714081a3594a331,prompt-to-image,1,7,4,Create an image of Leo Messi bowing down to C. Ronaldo. Messi claims Ronaldo is the GOAT,"[19,54]","[55,88]",14,1756255153737,1756255153823, ,32, weekly, physical-keyboard,9,0,0,0,86.0,415.0,415.0,524.0
