PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",0,1755618761373,1755618761476,CapsLock,20, monthly, physical-keyboard,-1,0,0,0,103.0,,,170.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",1,1755618761478,1755618761543,P,80, monthly, physical-keyboard,0,0,0,1,65.0,105.0,67.0,199.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",2,1755618761608,1755618761677,CapsLock,20, monthly, physical-keyboard,-1,0,0,0,69.0,130.0,134.0,137.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",3,1755618761657,1755618761745,l,76, monthly, physical-keyboard,1,0,0,1,88.0,49.0,68.0,347.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",4,1755618761932,1755618762004,e,69, monthly, physical-keyboard,2,0,0,1,72.0,275.0,259.0,253.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",5,1755618762119,1755618762185,a,65, monthly, physical-keyboard,3,0,0,1,66.0,187.0,181.0,223.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",6,1755618762268,1755618762342,s,83, monthly, physical-keyboard,4,0,0,1,74.0,149.0,157.0,226.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",7,1755618762427,1755618762494,e,69, monthly, physical-keyboard,5,0,0,1,67.0,159.0,152.0,190.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",8,1755618762531,1755618762617, ,32, monthly, physical-keyboard,6,0,0,0,86.0,104.0,123.0,845.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",9,1755618763304,1755618763376,c,67, monthly, physical-keyboard,7,0,0,1,72.0,773.0,759.0,251.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",10,1755618763486,1755618763555,r,82, monthly, physical-keyboard,8,0,0,1,69.0,182.0,179.0,199.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",11,1755618763617,1755618763685,e,69, monthly, physical-keyboard,9,0,0,1,68.0,131.0,130.0,203.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",12,1755618763738,1755618763820,a,65, monthly, physical-keyboard,10,0,0,1,82.0,121.0,135.0,175.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",13,1755618763849,1755618763913,t,84, monthly, physical-keyboard,11,0,0,1,64.0,111.0,93.0,206.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",14,1755618763986,1755618764055,e,69, monthly, physical-keyboard,12,0,0,1,69.0,137.0,142.0,158.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",15,1755618764071,1755618764144, ,32, monthly, physical-keyboard,13,0,0,0,73.0,85.0,89.0,197.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",16,1755618764207,1755618764268,f,70, monthly, physical-keyboard,14,0,0,1,61.0,136.0,124.0,194.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",17,1755618764346,1755618764401,o,79, monthly, physical-keyboard,15,0,0,1,55.0,139.0,133.0,156.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",18,1755618764424,1755618764502,r,82, monthly, physical-keyboard,16,0,0,1,78.0,78.0,101.0,192.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",19,1755618764542,1755618764616, ,32, monthly, physical-keyboard,17,0,0,0,74.0,118.0,114.0,231.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",20,1755618764700,1755618764773,m,77, monthly, physical-keyboard,18,0,0,1,73.0,158.0,157.0,157.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",21,1755618764779,1755618764857,e,69, monthly, physical-keyboard,19,0,0,1,78.0,79.0,84.0,191.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",22,1755618764903,1755618764970, ,32, monthly, physical-keyboard,20,0,0,0,67.0,124.0,113.0,167.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",23,1755618764986,1755618765070,s,83, monthly, physical-keyboard,21,0,0,1,84.0,83.0,100.0,211.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",24,1755618765123,1755618765197,o,79, monthly, physical-keyboard,22,0,0,1,74.0,137.0,127.0,218.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",25,1755618765267,1755618765341,m,77, monthly, physical-keyboard,23,0,0,1,74.0,144.0,144.0,228.0
5fb551ccab996500099ab1aa,prompt-to-image,1,1,0,Please create for me some black and white images for children to colour.,"[49,72]","[26,48]",26,1755618765407,1755618765495,e,69, monthly, physical-keyboard,24,0,0,1,88.0,140.0,154.0,169.0
