PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",0,1756292137176,1756292137259,CapsLock,20, weekly, physical-keyboard,-1,0,0,0,83.0,,,380.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",1,1756292137474,1756292137556,c,67, weekly, physical-keyboard,0,0,0,1,82.0,298.0,297.0,345.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",2,1756292137738,1756292137819,r,82, weekly, physical-keyboard,1,0,0,1,81.0,264.0,263.0,260.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",3,1756292137912,1756292137998,e,69, weekly, physical-keyboard,2,0,0,1,86.0,174.0,179.0,360.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",4,1756292138180,1756292138272,a,65, weekly, physical-keyboard,3,0,0,1,92.0,268.0,274.0,439.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",5,1756292138536,1756292138619,t,84, weekly, physical-keyboard,4,0,0,1,83.0,356.0,347.0,327.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",6,1756292138786,1756292138863,e,69, weekly, physical-keyboard,5,0,0,1,77.0,250.0,244.0,337.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",7,1756292139044,1756292139123, ,32, weekly, physical-keyboard,6,0,0,0,79.0,258.0,260.0,564.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",8,1756292139518,1756292139608,a,65, weekly, physical-keyboard,7,0,0,1,90.0,474.0,485.0,443.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",9,1756292139886,1756292139961,n,78, weekly, physical-keyboard,8,0,0,1,75.0,368.0,353.0,289.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",10,1756292140092,1756292140175, ,32, weekly, physical-keyboard,9,0,0,0,83.0,206.0,214.0,1110.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",11,1756292141119,1756292141202,i,73, weekly, physical-keyboard,10,1,0,1,83.0,1027.0,1027.0,308.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",12,1756292141340,1756292141427,m,77, weekly, physical-keyboard,11,1,0,1,87.0,221.0,225.0,627.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",13,1756292141886,1756292141967,a,65, weekly, physical-keyboard,12,1,0,1,81.0,546.0,540.0,366.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",14,1756292142176,1756292142252,g,71, weekly, physical-keyboard,13,1,0,1,76.0,290.0,285.0,289.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",15,1756292142388,1756292142465,e,69, weekly, physical-keyboard,14,1,0,1,77.0,212.0,213.0,325.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",16,1756292142631,1756292142713, ,32, weekly, physical-keyboard,15,1,0,0,82.0,243.0,248.0,528.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",17,1756292143083,1756292143159,o,79, weekly, physical-keyboard,16,0,0,1,76.0,452.0,446.0,896.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",18,1756292143894,1756292143979,f,70, weekly, physical-keyboard,17,0,0,1,85.0,811.0,820.0,308.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",19,1756292144123,1756292144202, ,32, weekly, physical-keyboard,18,0,0,0,79.0,229.0,223.0,344.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",20,1756292144381,1756292144467,m,77, weekly, physical-keyboard,19,0,0,1,86.0,258.0,265.0,706.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",21,1756292144997,1756292145087,a,65, weekly, physical-keyboard,20,0,0,1,90.0,616.0,620.0,488.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",22,1756292145409,1756292145485,n,78, weekly, physical-keyboard,21,0,0,1,76.0,412.0,398.0,299.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",23,1756292145622,1756292145708, ,32, weekly, physical-keyboard,22,0,0,0,86.0,213.0,223.0,583.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",24,1756292146127,1756292146205,a,65, weekly, physical-keyboard,23,0,0,1,78.0,505.0,497.0,734.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",25,1756292146795,1756292146861,n,78, weekly, physical-keyboard,24,0,0,1,66.0,668.0,656.0,772.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",26,1756292147486,1756292147567,d,68, weekly, physical-keyboard,25,0,0,1,81.0,691.0,706.0,303.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",27,1756292147709,1756292147789, ,32, weekly, physical-keyboard,26,0,0,0,80.0,223.0,222.0,368.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",28,1756292148001,1756292148077,w,87, weekly, physical-keyboard,27,0,0,1,76.0,292.0,288.0,479.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",29,1756292148414,1756292148480,o,79, weekly, physical-keyboard,28,0,0,1,66.0,413.0,403.0,315.0
5fff2877a99bcb65a14a223c,image-to-prompt,0,1,3,create an image of man and woman working side by side at the office,"[10,15]","[33,40]",30,1756292148663,1756292148729,m,77, weekly, physical-keyboard,29,0,0,1,66.0,249.0,249.0,612.0
