PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",0,1756260303352,1756260303686,Shift,16, daily, physical-keyboard,0,1,0,1,334.0,,,286.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",1,1756260303519,1756260303638,C,67, daily, physical-keyboard,0,1,0,1,119.0,167.0,,5168.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",2,1756260308503,1756260308687,r,82, daily, physical-keyboard,1,1,0,1,184.0,4984.0,5049.0,223.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",3,1756260308615,1756260308726,e,69, daily, physical-keyboard,2,1,0,1,111.0,112.0,39.0,391.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",4,1756260308903,1756260309006,a,65, daily, physical-keyboard,3,1,0,1,103.0,288.0,280.0,312.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",5,1756260309103,1756260309215,t,84, daily, physical-keyboard,4,1,0,1,112.0,200.0,209.0,160.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",6,1756260309150,1756260309263,e,69, daily, physical-keyboard,5,1,0,1,113.0,47.0,48.0,705.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",7,1756260309735,1756260309855, ,32, daily, physical-keyboard,6,1,0,0,120.0,585.0,592.0,359.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",8,1756260310031,1756260310094,a,65, daily, physical-keyboard,7,1,0,1,63.0,296.0,239.0,368.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",9,1756260310311,1756260310399,n,78, daily, physical-keyboard,8,1,0,1,88.0,280.0,305.0,521.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",10,1756260310710,1756260310832, ,32, daily, physical-keyboard,9,1,0,0,122.0,399.0,433.0,656.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",11,1756260311264,1756260311366,i,73, daily, physical-keyboard,10,1,0,1,102.0,554.0,534.0,143.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",12,1756260311318,1756260311407,m,77, daily, physical-keyboard,11,1,0,1,89.0,54.0,41.0,217.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",13,1756260311414,1756260311535,a,65, daily, physical-keyboard,12,1,0,1,121.0,96.0,128.0,233.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",14,1756260311566,1756260311647,g,71, daily, physical-keyboard,13,1,0,1,81.0,152.0,112.0,177.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",15,1756260311598,1756260311743,e,69, daily, physical-keyboard,14,1,0,1,145.0,32.0,96.0,256.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",16,1756260311750,1756260311854, ,32, daily, physical-keyboard,15,1,0,0,104.0,152.0,111.0,294.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",17,1756260311951,1756260312044,t,84, daily, physical-keyboard,16,1,0,1,93.0,201.0,190.0,166.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",18,1756260312031,1756260312117,h,72, daily, physical-keyboard,17,1,0,1,86.0,80.0,73.0,214.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",19,1756260312134,1756260312245,a,65, daily, physical-keyboard,18,1,0,1,111.0,103.0,128.0,151.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",20,1756260312222,1756260312285,t,84, daily, physical-keyboard,19,1,0,1,63.0,88.0,40.0,161.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",21,1756260312293,1756260312383, ,32, daily, physical-keyboard,20,1,0,0,90.0,71.0,98.0,434.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",22,1756260312600,1756260312727,h,72, daily, physical-keyboard,21,1,0,1,127.0,307.0,344.0,327.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",23,1756260312759,1756260312927,a,65, daily, physical-keyboard,22,1,0,1,168.0,159.0,200.0,175.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",24,1756260312832,1756260312934,s,83, daily, physical-keyboard,23,1,0,1,102.0,73.0,7.0,1485.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",25,1756260314238,1756260314317, ,32, daily, physical-keyboard,24,1,0,0,79.0,1406.0,1383.0,6624.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",26,1756260320734,1756260320862,d,68, daily, physical-keyboard,25,1,0,1,128.0,6496.0,6545.0,240.0
6527f153bea7b2d7c0d556e4,image-to-prompt,1,3,3,"Create an image that has ducks swimming in a lake, surrounded by pine forests all around, and mountains in the background.","[0,88]","[90,122]",27,1756260320895,1756260320974,u,85, daily, physical-keyboard,26,1,0,1,79.0,161.0,112.0,208.0
