PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",0,1756305537514,1756305537962,Shift,16, daily, physical-keyboard,0,0,0,1,448.0,,,433.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",1,1756305537875,1756305537947,W,87, daily, physical-keyboard,0,0,0,1,72.0,361.0,,283.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",2,1756305538112,1756305538158,i,73, daily, physical-keyboard,1,0,0,1,46.0,237.0,211.0,356.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",3,1756305538408,1756305538468,Backspace,8, daily, physical-keyboard,1,0,0,1,60.0,296.0,310.0,161.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",4,1756305538501,1756305538569,r,82, daily, physical-keyboard,1,0,0,1,68.0,93.0,101.0,188.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",5,1756305538609,1756305538689,i,73, daily, physical-keyboard,2,0,0,1,80.0,108.0,120.0,179.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",6,1756305538695,1756305538788,t,84, daily, physical-keyboard,3,0,0,1,93.0,86.0,99.0,192.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",7,1756305538770,1756305538887,e,69, daily, physical-keyboard,4,0,0,1,117.0,75.0,99.0,173.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",8,1756305538855,1756305538943, ,32, daily, physical-keyboard,5,0,0,0,88.0,85.0,56.0,247.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",9,1756305538989,1756305539102,a,65, daily, physical-keyboard,6,0,0,1,113.0,134.0,159.0,154.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",10,1756305539055,1756305539143, ,32, daily, physical-keyboard,7,0,0,0,88.0,66.0,41.0,2950.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",11,1756305541908,1756305542005,s,83, daily, physical-keyboard,8,1,0,1,97.0,2853.0,2862.0,146.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",12,1756305541982,1756305542054,u,85, daily, physical-keyboard,9,1,0,1,72.0,74.0,49.0,323.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",13,1756305542220,1756305542305,b,66, daily, physical-keyboard,10,1,0,1,85.0,238.0,251.0,161.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",14,1756305542319,1756305542381,m,77, daily, physical-keyboard,11,1,0,1,62.0,99.0,76.0,242.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",15,1756305542488,1756305542561,i,73, daily, physical-keyboard,12,1,0,1,73.0,169.0,180.0,187.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",16,1756305542599,1756305542675,s,83, daily, physical-keyboard,13,1,0,1,76.0,111.0,114.0,230.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",17,1756305542726,1756305542829,s,83, daily, physical-keyboard,14,1,0,1,103.0,127.0,154.0,967.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",18,1756305543589,1756305543693,i,73, daily, physical-keyboard,15,1,0,1,104.0,863.0,864.0,193.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",19,1756305543662,1756305543782,o,79, daily, physical-keyboard,16,1,0,1,120.0,73.0,89.0,292.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",20,1756305543864,1756305543954,n,78, daily, physical-keyboard,17,1,0,1,90.0,202.0,172.0,253.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",21,1756305544008,1756305544117, ,32, daily, physical-keyboard,18,1,0,0,109.0,144.0,163.0,485.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",22,1756305544384,1756305544493,r,82, daily, physical-keyboard,19,1,0,1,109.0,376.0,376.0,166.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",23,1756305544462,1756305544550,e,69, daily, physical-keyboard,20,1,0,1,88.0,78.0,57.0,169.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",24,1756305544548,1756305544631,m,77, daily, physical-keyboard,21,1,0,1,83.0,86.0,81.0,253.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",25,1756305544720,1756305544801,i,73, daily, physical-keyboard,22,1,0,1,81.0,172.0,170.0,243.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",26,1756305544879,1756305544963,n,78, daily, physical-keyboard,23,1,0,1,84.0,159.0,162.0,143.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",27,1756305544935,1756305545022,d,68, daily, physical-keyboard,24,1,0,1,87.0,56.0,59.0,201.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",28,1756305545017,1756305545136,e,69, daily, physical-keyboard,25,1,0,1,119.0,82.0,114.0,206.0
