PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
65f1ee12589aa15061efa22a,text-to-prompt,1,3,5,"Generate an image of a small turtle walking slowly along the riverbank. Depict the turtle pausing to watch leaves floating gently on the water. After a moment, portray it as it continues to walk along the riverbank, leaving tiny footprints in the soft mud.","[0,143]","[160,173]",0,1756223167720,1756223167874,CapsLock,20, daily, physical-keyboard,-1,0,0,0,154.0,,,706.0
65f1ee12589aa15061efa22a,text-to-prompt,1,3,5,"Generate an image of a small turtle walking slowly along the riverbank. Depict the turtle pausing to watch leaves floating gently on the water. After a moment, portray it as it continues to walk along the riverbank, leaving tiny footprints in the soft mud.","[0,143]","[160,173]",1,1756223168325,1756223168426,W,87, daily, physical-keyboard,0,1,0,1,101.0,605.0,552.0,439.0
65f1ee12589aa15061efa22a,text-to-prompt,1,3,5,"Generate an image of a small turtle walking slowly along the riverbank. Depict the turtle pausing to watch leaves floating gently on the water. After a moment, portray it as it continues to walk along the riverbank, leaving tiny footprints in the soft mud.","[0,143]","[160,173]",2,1756223168624,1756223168764,CapsLock,20, daily, physical-keyboard,-1,0,0,0,140.0,299.0,338.0,693.0
65f1ee12589aa15061efa22a,text-to-prompt,1,3,5,"Generate an image of a small turtle walking slowly along the riverbank. Depict the turtle pausing to watch leaves floating gently on the water. After a moment, portray it as it continues to walk along the riverbank, leaving tiny footprints in the soft mud.","[0,143]","[160,173]",3,1756223169198,1756223169317,r,82, daily, physical-keyboard,4,1,0,1,119.0,574.0,553.0,350.0
65f1ee12589aa15061efa22a,text-to-prompt,1,3,5,"Generate an image of a small turtle walking slowly along the riverbank. Depict the turtle pausing to watch leaves floating gently on the water. After a moment, portray it as it continues to walk along the riverbank, leaving tiny footprints in the soft mud.","[0,143]","[160,173]",4,1756223169495,1756223169548,i,73, daily, physical-keyboard,5,1,0,1,53.0,297.0,231.0,316.0
65f1ee12589aa15061efa22a,text-to-prompt,1,3,5,"Generate an image of a small turtle walking slowly along the riverbank. Depict the turtle pausing to watch leaves floating gently on the water. After a moment, portray it as it continues to walk along the riverbank, leaving tiny footprints in the soft mud.","[0,143]","[160,173]",5,1756223169748,1756223169811,t,84, daily, physical-keyboard,6,1,0,1,63.0,253.0,263.0,264.0
65f1ee12589aa15061efa22a,text-to-prompt,1,3,5,"Generate an image of a small turtle walking slowly along the riverbank. Depict the turtle pausing to watch leaves floating gently on the water. After a moment, portray it as it continues to walk along the riverbank, leaving tiny footprints in the soft mud.","[0,143]","[160,173]",6,1756223169910,1756223170012,e,69, daily, physical-keyboard,7,1,0,1,102.0,162.0,201.0,349.0
65f1ee12589aa15061efa22a,text-to-prompt,1,3,5,"Generate an image of a small turtle walking slowly along the riverbank. Depict the turtle pausing to watch leaves floating gently on the water. After a moment, portray it as it continues to walk along the riverbank, leaving tiny footprints in the soft mud.","[0,143]","[160,173]",7,1756223170188,1756223170259, ,32, daily, physical-keyboard,8,1,0,0,71.0,278.0,247.0,282.0
65f1ee12589aa15061efa22a,text-to-prompt,1,3,5,"Generate an image of a small turtle walking slowly along the riverbank. Depict the turtle pausing to watch leaves floating gently on the water. After a moment, portray it as it continues to walk along the riverbank, leaving tiny footprints in the soft mud.","[0,143]","[160,173]",8,1756223170310,1756223170470,a,65, daily, physical-keyboard,9,1,0,1,160.0,122.0,211.0,312.0
65f1ee12589aa15061efa22a,text-to-prompt,1,3,5,"Generate an image of a small turtle walking slowly along the riverbank. Depict the turtle pausing to watch leaves floating gently on the water. After a moment, portray it as it continues to walk along the riverbank, leaving tiny footprints in the soft mud.","[0,143]","[160,173]",9,1756223170557,1756223170622, ,32, daily, physical-keyboard,11,1,0,0,65.0,247.0,152.0,591.0
