PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
65fda4aa45ba55e983e2a2d9,prompt-to-image,1,5,6,A office scene with full of staff seating on the seperate desk and working on the computers. office is lessed with CCTV and ACs.,"[0,91]","[93,128]",0,1756268229757,1756268230021,Shift,16, monthly, physical-keyboard,0,1,0,1,264.0,,,314.0
65fda4aa45ba55e983e2a2d9,prompt-to-image,1,5,6,A office scene with full of staff seating on the seperate desk and working on the computers. office is lessed with CCTV and ACs.,"[0,91]","[93,128]",1,1756268229928,1756268230071,A,65, monthly, physical-keyboard,0,1,0,1,143.0,171.0,50.0,579.0
65fda4aa45ba55e983e2a2d9,prompt-to-image,1,5,6,A office scene with full of staff seating on the seperate desk and working on the computers. office is lessed with CCTV and ACs.,"[0,91]","[93,128]",2,1756268230415,1756268230507, ,32, monthly, physical-keyboard,1,1,0,0,92.0,487.0,436.0,744.0
65fda4aa45ba55e983e2a2d9,prompt-to-image,1,5,6,A office scene with full of staff seating on the seperate desk and working on the computers. office is lessed with CCTV and ACs.,"[0,91]","[93,128]",3,1756268231045,1756268231159,o,79, monthly, physical-keyboard,2,1,0,1,114.0,630.0,652.0,313.0
65fda4aa45ba55e983e2a2d9,prompt-to-image,1,5,6,A office scene with full of staff seating on the seperate desk and working on the computers. office is lessed with CCTV and ACs.,"[0,91]","[93,128]",4,1756268231241,1756268231358,o,79, monthly, physical-keyboard,3,1,0,1,117.0,196.0,199.0,363.0
65fda4aa45ba55e983e2a2d9,prompt-to-image,1,5,6,A office scene with full of staff seating on the seperate desk and working on the computers. office is lessed with CCTV and ACs.,"[0,91]","[93,128]",5,1756268231501,1756268231604,f,70, monthly, physical-keyboard,3,1,0,1,103.0,260.0,246.0,279.0
65fda4aa45ba55e983e2a2d9,prompt-to-image,1,5,6,A office scene with full of staff seating on the seperate desk and working on the computers. office is lessed with CCTV and ACs.,"[0,91]","[93,128]",6,1756268231664,1756268231780,i,73, monthly, physical-keyboard,3,1,0,1,116.0,163.0,176.0,162.0
65fda4aa45ba55e983e2a2d9,prompt-to-image,1,5,6,A office scene with full of staff seating on the seperate desk and working on the computers. office is lessed with CCTV and ACs.,"[0,91]","[93,128]",7,1756268231754,1756268231826,c,67, monthly, physical-keyboard,3,1,0,1,72.0,90.0,46.0,237.0
65fda4aa45ba55e983e2a2d9,prompt-to-image,1,5,6,A office scene with full of staff seating on the seperate desk and working on the computers. office is lessed with CCTV and ACs.,"[0,91]","[93,128]",8,1756268231915,1756268231991,e,69, monthly, physical-keyboard,3,1,0,1,76.0,161.0,165.0,195.0
65fda4aa45ba55e983e2a2d9,prompt-to-image,1,5,6,A office scene with full of staff seating on the seperate desk and working on the computers. office is lessed with CCTV and ACs.,"[0,91]","[93,128]",9,1756268231999,1756268232110, ,32, monthly, physical-keyboard,3,1,0,1,111.0,84.0,119.0,1016.0
