PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
6635344fb4ae723326e3ce04,text-to-prompt,1,2,7,Write a short text about a turtle walking along the riverbank,"[25,61]","[8,13]",0,1756214634013,1756214634326,Shift,16, daily, physical-keyboard,0,0,0,1,313.0,,,282.0
6635344fb4ae723326e3ce04,text-to-prompt,1,2,7,Write a short text about a turtle walking along the riverbank,"[25,61]","[8,13]",1,1756214634205,1756214634295,W,87, daily, physical-keyboard,0,0,0,1,90.0,192.0,,788.0
6635344fb4ae723326e3ce04,text-to-prompt,1,2,7,Write a short text about a turtle walking along the riverbank,"[25,61]","[8,13]",2,1756214634898,1756214634993,r,82, daily, physical-keyboard,1,0,0,1,95.0,693.0,698.0,553.0
6635344fb4ae723326e3ce04,text-to-prompt,1,2,7,Write a short text about a turtle walking along the riverbank,"[25,61]","[8,13]",3,1756214635356,1756214635451,i,73, daily, physical-keyboard,2,0,0,1,95.0,458.0,458.0,476.0
6635344fb4ae723326e3ce04,text-to-prompt,1,2,7,Write a short text about a turtle walking along the riverbank,"[25,61]","[8,13]",4,1756214635749,1756214635832,t,84, daily, physical-keyboard,3,0,0,1,83.0,393.0,381.0,212.0
6635344fb4ae723326e3ce04,text-to-prompt,1,2,7,Write a short text about a turtle walking along the riverbank,"[25,61]","[8,13]",5,1756214635872,1756214635961,e,69, daily, physical-keyboard,4,0,0,1,89.0,123.0,129.0,330.0
6635344fb4ae723326e3ce04,text-to-prompt,1,2,7,Write a short text about a turtle walking along the riverbank,"[25,61]","[8,13]",6,1756214636075,1756214636202, ,32, daily, physical-keyboard,5,0,0,0,127.0,203.0,241.0,366.0
6635344fb4ae723326e3ce04,text-to-prompt,1,2,7,Write a short text about a turtle walking along the riverbank,"[25,61]","[8,13]",7,1756214636303,1756214636441,a,65, daily, physical-keyboard,6,0,0,1,138.0,228.0,239.0,286.0
6635344fb4ae723326e3ce04,text-to-prompt,1,2,7,Write a short text about a turtle walking along the riverbank,"[25,61]","[8,13]",8,1756214636466,1756214636589, ,32, daily, physical-keyboard,7,0,0,0,123.0,163.0,148.0,300.0
6635344fb4ae723326e3ce04,text-to-prompt,1,2,7,Write a short text about a turtle walking along the riverbank,"[25,61]","[8,13]",9,1756214636666,1756214636766,s,83, daily, physical-keyboard,8,0,1,1,100.0,200.0,177.0,341.0
