PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
664fa86722f5339adebd32ec,text-to-prompt,1,7,3,explain this video to me like i'm blind,"[1,24]","[25,39]",0,1756307840884,1756307841013,w,87, monthly, physical-keyboard,0,0,0,1,129.0,,,437.0
664fa86722f5339adebd32ec,text-to-prompt,1,7,3,explain this video to me like i'm blind,"[1,24]","[25,39]",1,1756307841248,1756307841321,g,71, monthly, physical-keyboard,0,0,0,1,73.0,364.0,308.0,833.0
664fa86722f5339adebd32ec,text-to-prompt,1,7,3,explain this video to me like i'm blind,"[1,24]","[25,39]",2,1756307841978,1756307842081,Backspace,8, monthly, physical-keyboard,0,0,0,1,103.0,730.0,760.0,524.0
664fa86722f5339adebd32ec,text-to-prompt,1,7,3,explain this video to me like i'm blind,"[1,24]","[25,39]",3,1756307842386,1756307842502,h,72, monthly, physical-keyboard,0,0,0,1,116.0,408.0,421.0,365.0
664fa86722f5339adebd32ec,text-to-prompt,1,7,3,explain this video to me like i'm blind,"[1,24]","[25,39]",4,1756307842575,1756307842751,a,65, monthly, physical-keyboard,0,0,0,1,176.0,189.0,249.0,363.0
664fa86722f5339adebd32ec,text-to-prompt,1,7,3,explain this video to me like i'm blind,"[1,24]","[25,39]",5,1756307842854,1756307842938,t,84, monthly, physical-keyboard,0,0,0,1,84.0,279.0,187.0,413.0
664fa86722f5339adebd32ec,text-to-prompt,1,7,3,explain this video to me like i'm blind,"[1,24]","[25,39]",6,1756307843128,1756307843267, ,32, monthly, physical-keyboard,0,0,0,1,139.0,274.0,329.0,842.0
664fa86722f5339adebd32ec,text-to-prompt,1,7,3,explain this video to me like i'm blind,"[1,24]","[25,39]",7,1756307843863,1756307843970,i,73, monthly, physical-keyboard,0,0,0,1,107.0,735.0,703.0,517.0
664fa86722f5339adebd32ec,text-to-prompt,1,7,3,explain this video to me like i'm blind,"[1,24]","[25,39]",8,1756307844237,1756307844380,s,83, monthly, physical-keyboard,0,0,0,1,143.0,374.0,410.0,2021.9999999999998
664fa86722f5339adebd32ec,text-to-prompt,1,7,3,explain this video to me like i'm blind,"[1,24]","[25,39]",9,1756307844924,1756307846259,Backspace,8, monthly, physical-keyboard,0,0,0,1,1335.0,687.0,1879.0,13965.0
