PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",0,1756269411726,1756269411819,t,84, weekly, physical-keyboard,0,0,0,1,93.0,,,518.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",1,1756269412132,1756269412244,w,87, weekly, physical-keyboard,1,0,0,1,112.0,406.0,425.0,881.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",2,1756269412883,1756269413013,o,79, weekly, physical-keyboard,2,0,0,1,130.0,751.0,769.0,658.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",3,1756269413417,1756269413541, ,32, weekly, physical-keyboard,3,0,0,0,124.0,534.0,528.0,1428.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",4,1756269414713,1756269414845,p,80, weekly, physical-keyboard,4,0,0,1,132.0,1296.0,1304.0,675.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",5,1756269415276,1756269415388,e,69, weekly, physical-keyboard,5,0,0,1,112.0,563.0,543.0,3875.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",6,1756269419030,1756269419151,o,79, weekly, physical-keyboard,6,0,0,1,121.0,3754.0,3763.0,492.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",7,1756269419401,1756269419522,p,80, weekly, physical-keyboard,7,0,0,1,121.0,371.0,371.0,
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",8,1756269419953,0,Process,229, weekly, physical-keyboard,11,0,0,1,,552.0,,914.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",9,1756269420772,1756269420867,e,69, weekly, physical-keyboard,11,0,0,1,95.0,819.0,,704.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",10,1756269421373,1756269421476, ,32, weekly, physical-keyboard,12,0,0,0,103.0,601.0,609.0,1266.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",11,1756269422535,1756269422639,a,65, weekly, physical-keyboard,13,0,0,1,104.0,1162.0,1163.0,539.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",12,1756269423023,1756269423074, ,32, weekly, physical-keyboard,14,0,0,0,51.0,488.0,435.0,768.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",13,1756269423679,1756269423791,m,77, weekly, physical-keyboard,15,1,0,1,112.0,656.0,717.0,637.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",14,1756269424228,1756269424316,a,65, weekly, physical-keyboard,16,1,0,1,88.0,549.0,525.0,1006.9999999999999
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",15,1756269425128,1756269425235,n,78, weekly, physical-keyboard,17,1,0,1,107.0,900.0,919.0,451.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",16,1756269425470,1756269425579, ,32, weekly, physical-keyboard,18,1,0,0,109.0,342.0,344.0,557.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",17,1756269425939,1756269426027,a,65, weekly, physical-keyboard,19,1,0,1,88.0,469.0,448.0,848.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",18,1756269426690,1756269426787,n,78, weekly, physical-keyboard,20,1,0,1,97.0,751.0,760.0,549.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",19,1756269427142,1756269427239,d,68, weekly, physical-keyboard,21,1,0,1,97.0,452.0,452.0,681.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",20,1756269427696,1756269427823, ,32, weekly, physical-keyboard,22,1,0,0,127.0,554.0,584.0,1054.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",21,1756269428653,1756269428750,w,87, weekly, physical-keyboard,23,1,0,1,97.0,957.0,927.0,879.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",22,1756269429420,1756269429532,o,79, weekly, physical-keyboard,24,1,0,1,112.0,767.0,782.0,760.0
666f76b68b89442817be678a,image-to-prompt,0,3,2,two people;e a man and woman in office sitting in chairs at a desk using computers facing the same direction toward the windows,"[15,30]","[120,127]",23,1756269430067,1756269430180,m,77, weekly, physical-keyboard,25,1,0,1,113.0,647.0,648.0,888.0
