PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
666f76b68b89442817be678a,text-to-prompt,1,7,2,a little turtle walked very slow on riverbank paused and watch leaves floating in water then  continued to walk leaving footprints in mud,"[2,15]","[82,87]",0,1756269906833,1756269906929,a,65, weekly, physical-keyboard,0,0,0,1,96.0,,,552.0
666f76b68b89442817be678a,text-to-prompt,1,7,2,a little turtle walked very slow on riverbank paused and watch leaves floating in water then  continued to walk leaving footprints in mud,"[2,15]","[82,87]",1,1756269907279,1756269907385, ,32, weekly, physical-keyboard,1,0,0,0,106.0,446.0,456.0,2141.0
666f76b68b89442817be678a,text-to-prompt,1,7,2,a little turtle walked very slow on riverbank paused and watch leaves floating in water then  continued to walk leaving footprints in mud,"[2,15]","[82,87]",2,1756269909348,1756269909420,l,76, weekly, physical-keyboard,2,1,0,1,72.0,2069.0,2035.0000000000002,612.0
666f76b68b89442817be678a,text-to-prompt,1,7,2,a little turtle walked very slow on riverbank paused and watch leaves floating in water then  continued to walk leaving footprints in mud,"[2,15]","[82,87]",3,1756269909860,1756269909960,i,73, weekly, physical-keyboard,3,1,0,1,100.0,512.0,540.0,895.0
666f76b68b89442817be678a,text-to-prompt,1,7,2,a little turtle walked very slow on riverbank paused and watch leaves floating in water then  continued to walk leaving footprints in mud,"[2,15]","[82,87]",4,1756269910518,1756269910755,t,84, weekly, physical-keyboard,4,1,0,1,237.0,658.0,795.0,504.0
666f76b68b89442817be678a,text-to-prompt,1,7,2,a little turtle walked very slow on riverbank paused and watch leaves floating in water then  continued to walk leaving footprints in mud,"[2,15]","[82,87]",5,1756269910913,1756269911022,t,84, weekly, physical-keyboard,5,1,0,1,109.0,395.0,267.0,577.0
666f76b68b89442817be678a,text-to-prompt,1,7,2,a little turtle walked very slow on riverbank paused and watch leaves floating in water then  continued to walk leaving footprints in mud,"[2,15]","[82,87]",6,1756269911414,1756269911490,l,76, weekly, physical-keyboard,6,1,0,1,76.0,501.0,468.0,615.0
666f76b68b89442817be678a,text-to-prompt,1,7,2,a little turtle walked very slow on riverbank paused and watch leaves floating in water then  continued to walk leaving footprints in mud,"[2,15]","[82,87]",7,1756269911919,1756269912029,e,69, weekly, physical-keyboard,7,1,0,1,110.0,505.0,539.0,931.0
666f76b68b89442817be678a,text-to-prompt,1,7,2,a little turtle walked very slow on riverbank paused and watch leaves floating in water then  continued to walk leaving footprints in mud,"[2,15]","[82,87]",8,1756269912733,1756269912850, ,32, weekly, physical-keyboard,8,1,0,0,117.0,814.0,821.0,1286.0
666f76b68b89442817be678a,text-to-prompt,1,7,2,a little turtle walked very slow on riverbank paused and watch leaves floating in water then  continued to walk leaving footprints in mud,"[2,15]","[82,87]",9,1756269913904,1756269914019,t,84, weekly, physical-keyboard,9,1,0,1,115.0,1171.0,1169.0,610.0
666f76b68b89442817be678a,text-to-prompt,1,7,2,a little turtle walked very slow on riverbank paused and watch leaves floating in water then  continued to walk leaving footprints in mud,"[2,15]","[82,87]",10,1756269914423,1756269914514,u,85, weekly, physical-keyboard,10,1,0,1,91.0,519.0,495.0,641.0
666f76b68b89442817be678a,text-to-prompt,1,7,2,a little turtle walked very slow on riverbank paused and watch leaves floating in water then  continued to walk leaving footprints in mud,"[2,15]","[82,87]",11,1756269914966,1756269915064,r,82, weekly, physical-keyboard,11,1,0,1,98.0,543.0,550.0,860.0
666f76b68b89442817be678a,text-to-prompt,1,7,2,a little turtle walked very slow on riverbank paused and watch leaves floating in water then  continued to walk leaving footprints in mud,"[2,15]","[82,87]",12,1756269915728,1756269915826,t,84, weekly, physical-keyboard,12,1,0,1,98.0,762.0,762.0,660.0
