PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",0,1756281507192,1756281508215,Shift,16, weekly, physical-keyboard,0,1,0,1,1022.9999999999999,,,59037.0
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",1,1756281507699,1756281566229,Shift,16, weekly, physical-keyboard,0,1,0,1,58530.0,507.0,58014.0,
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",2,1756281507744,0,Shift,16, weekly, physical-keyboard,0,1,0,1,,45.0,,
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",3,1756281507777,0,Shift,16, weekly, physical-keyboard,0,1,0,1,,33.0,,
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",4,1756281507870,0,Shift,16, weekly, physical-keyboard,0,1,0,1,,93.0,,
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",5,1756281507950,0,Shift,16, weekly, physical-keyboard,0,1,0,1,,80.0,,
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",6,1756281507980,0,Shift,16, weekly, physical-keyboard,0,1,0,1,,30.0,,
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",7,1756281508070,0,Shift,16, weekly, physical-keyboard,0,1,0,1,,90.0,,
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",8,1756281508074,0,Shift,16, weekly, physical-keyboard,0,1,0,1,,4.0,,
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",9,1756281508089,0,Shift,16, weekly, physical-keyboard,0,1,0,1,,15.0,,
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",10,1756281508136,0,Shift,16, weekly, physical-keyboard,0,1,0,1,,47.0,,
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",11,1756281508174,0,Shift,16, weekly, physical-keyboard,0,1,0,1,,38.0,,
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",12,1756281565725,0,Shift,16, weekly, physical-keyboard,0,1,0,1,,57551.0,,474.0
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",13,1756281566043,1756281566199,D,68, weekly, physical-keyboard,0,1,0,1,156.0,318.0,,474.0
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",14,1756281566448,1756281566517,u,85, weekly, physical-keyboard,1,1,0,1,69.0,405.0,318.0,329.0
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",15,1756281566643,1756281566777,c,67, weekly, physical-keyboard,2,1,0,1,134.0,195.0,260.0,342.0
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",16,1756281566904,1756281566985,k,75, weekly, physical-keyboard,3,1,0,1,81.0,261.0,208.0,187.0
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",17,1756281567004,1756281567091,s,83, weekly, physical-keyboard,4,1,0,1,87.0,100.0,106.0,258.0
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",18,1756281567137,1756281567262, ,32, weekly, physical-keyboard,5,1,0,0,125.0,133.0,171.0,507.0
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",19,1756281567512,1756281567644,s,83, weekly, physical-keyboard,6,1,0,1,132.0,375.0,382.0,468.0
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",20,1756281567871,1756281567980,w,87, weekly, physical-keyboard,7,1,0,1,109.0,359.0,336.0,412.0
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",21,1756281568199,1756281568283,i,73, weekly, physical-keyboard,8,1,0,1,84.0,328.0,303.0,365.0
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",22,1756281568511,1756281568564,m,77, weekly, physical-keyboard,9,1,0,1,53.0,312.0,281.0,250.0
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",23,1756281568652,1756281568761,m,77, weekly, physical-keyboard,10,1,0,1,109.0,141.0,197.0,383.0
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",24,1756281568871,1756281569035,i,73, weekly, physical-keyboard,11,1,0,1,164.0,219.0,274.0,237.0
66986ab71f2b54203f26ad32,image-to-prompt,1,4,6,Ducks swimming on a lake with mountains and trees in the background,"[0,24];[30,49]","[50,67]",25,1756281568979,1756281569108,n,78, weekly, physical-keyboard,12,1,0,1,129.0,108.0,73.0,205.0
