PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",0,1756281916194,1756281916496,Shift,16, weekly, physical-keyboard,0,0,0,1,302.0,,,300.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",1,1756281916373,1756281916494,C,67, weekly, physical-keyboard,0,0,0,1,121.0,179.0,,346.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",2,1756281916660,1756281916719,r,82, weekly, physical-keyboard,1,0,0,1,59.0,287.0,225.0,292.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",3,1756281916852,1756281916952,e,69, weekly, physical-keyboard,2,0,0,1,100.0,192.0,233.0,380.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",4,1756281917072,1756281917232,a,65, weekly, physical-keyboard,3,0,0,1,160.0,220.0,280.0,182.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",5,1756281917234,1756281917254,t,84, weekly, physical-keyboard,4,0,0,1,20.0,162.0,22.0,165.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",6,1756281917312,1756281917399,e,69, weekly, physical-keyboard,5,0,0,1,87.0,78.0,145.0,240.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",7,1756281917460,1756281917552, ,32, weekly, physical-keyboard,6,0,0,0,92.0,148.0,153.0,201.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",8,1756281917554,1756281917661,a,65, weekly, physical-keyboard,7,0,0,1,107.0,94.0,109.0,178.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",9,1756281917663,1756281917732, ,32, weekly, physical-keyboard,8,0,0,0,69.0,109.0,71.0,769.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",10,1756281918380,1756281918432,p,80, weekly, physical-keyboard,9,1,0,1,52.0,717.0,700.0,232.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",11,1756281918574,1756281918612,o,79, weekly, physical-keyboard,10,1,0,1,38.0,194.0,180.0,458.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",12,1756281918961,1756281919032,e,69, weekly, physical-keyboard,11,1,0,1,71.0,387.0,420.0,131.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",13,1756281919034,1756281919092,m,77, weekly, physical-keyboard,12,1,0,1,58.0,73.0,60.0,257.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",14,1756281919254,1756281919291, ,32, weekly, physical-keyboard,13,1,0,0,37.0,220.0,199.0,8178.000000000001
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",15,1756281927294,1756281927432,a,65, weekly, physical-keyboard,14,1,0,1,138.0,8039.999999999999,8141.0,259.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",16,1756281927472,1756281927553,b,66, weekly, physical-keyboard,15,1,0,1,81.0,178.0,121.0,480.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",17,1756281927891,1756281927952,o,79, weekly, physical-keyboard,16,1,0,1,61.0,419.0,399.0,507.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",18,1756281928254,1756281928398,u,85, weekly, physical-keyboard,17,1,0,1,144.0,363.0,446.0,177.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",19,1756281928332,1756281928431,t,84, weekly, physical-keyboard,18,1,0,1,99.0,78.0,33.0,260.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",20,1756281928452,1756281928592, ,32, weekly, physical-keyboard,19,1,0,0,140.0,120.0,161.0,639.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",21,1756281928954,1756281929091,t,84, weekly, physical-keyboard,20,1,0,1,137.0,502.0,499.0,397.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",22,1756281929272,1756281929351,h,72, weekly, physical-keyboard,21,1,0,1,79.0,318.0,260.0,200.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",23,1756281929333,1756281929472,e,69, weekly, physical-keyboard,22,1,0,1,139.0,61.0,121.0,299.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",24,1756281929492,1756281929632, ,32, weekly, physical-keyboard,23,1,0,0,140.0,159.0,160.0,1018.9999999999999
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",25,1756281930393,1756281930511,f,70, weekly, physical-keyboard,24,1,0,1,118.0,901.0,879.0,319.0
66986ab71f2b54203f26ad32,prompt-to-text,1,7,6,Create a poem about the first day of spring in a park,"[9,43]","[49,53]",26,1756281930632,1756281930712,i,73, weekly, physical-keyboard,25,1,0,1,80.0,239.0,201.0,280.0
