PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
67d01f812bf82a710cd2193f,image-to-prompt,0,4,7,"A man and a woman sitting at separate desks in a shared office space, both looking at compuer screens.","[0,43];[70,102]","[44,68]",0,1756237867861,1756237868662,Shift,16, weekly, physical-keyboard,0,1,0,1,801.0,,,
67d01f812bf82a710cd2193f,image-to-prompt,0,4,7,"A man and a woman sitting at separate desks in a shared office space, both looking at compuer screens.","[0,43];[70,102]","[44,68]",1,1756237868366,0,Shift,16, weekly, physical-keyboard,0,1,0,1,,505.0,,
67d01f812bf82a710cd2193f,image-to-prompt,0,4,7,"A man and a woman sitting at separate desks in a shared office space, both looking at compuer screens.","[0,43];[70,102]","[44,68]",2,1756237868397,0,Shift,16, weekly, physical-keyboard,0,1,0,1,,31.0,,
67d01f812bf82a710cd2193f,image-to-prompt,0,4,7,"A man and a woman sitting at separate desks in a shared office space, both looking at compuer screens.","[0,43];[70,102]","[44,68]",3,1756237868429,0,Shift,16, weekly, physical-keyboard,0,1,0,1,,32.0,,
67d01f812bf82a710cd2193f,image-to-prompt,0,4,7,"A man and a woman sitting at separate desks in a shared office space, both looking at compuer screens.","[0,43];[70,102]","[44,68]",4,1756237868460,0,Shift,16, weekly, physical-keyboard,0,1,0,1,,31.0,,
67d01f812bf82a710cd2193f,image-to-prompt,0,4,7,"A man and a woman sitting at separate desks in a shared office space, both looking at compuer screens.","[0,43];[70,102]","[44,68]",5,1756237868492,0,Shift,16, weekly, physical-keyboard,0,1,0,1,,32.0,,
67d01f812bf82a710cd2193f,image-to-prompt,0,4,7,"A man and a woman sitting at separate desks in a shared office space, both looking at compuer screens.","[0,43];[70,102]","[44,68]",6,1756237868522,0,Shift,16, weekly, physical-keyboard,0,1,0,1,,30.0,,
67d01f812bf82a710cd2193f,image-to-prompt,0,4,7,"A man and a woman sitting at separate desks in a shared office space, both looking at compuer screens.","[0,43];[70,102]","[44,68]",7,1756237868553,0,Shift,16, weekly, physical-keyboard,0,1,0,1,,31.0,,147.0
67d01f812bf82a710cd2193f,image-to-prompt,0,4,7,"A man and a woman sitting at separate desks in a shared office space, both looking at compuer screens.","[0,43];[70,102]","[44,68]",8,1756237868579,1756237868700,A,65, weekly, physical-keyboard,0,1,0,1,121.0,26.0,,609.0
67d01f812bf82a710cd2193f,image-to-prompt,0,4,7,"A man and a woman sitting at separate desks in a shared office space, both looking at compuer screens.","[0,43];[70,102]","[44,68]",9,1756237869114,1756237869188, ,32, weekly, physical-keyboard,1,1,0,0,74.0,535.0,488.0,511.0
