PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
67d01f812bf82a710cd2193f,prompt-to-text,0,5,7,"Write a short imaginative story about a child who discover a hidden door in the wood, that leads to a secret world full of talking animals","[40,85]","[109,138]",0,1756238010776,1756238011210,Shift,16, weekly, physical-keyboard,0,0,0,1,434.0,,,514.0
67d01f812bf82a710cd2193f,prompt-to-text,0,5,7,"Write a short imaginative story about a child who discover a hidden door in the wood, that leads to a secret world full of talking animals","[40,85]","[109,138]",1,1756238011154,1756238011290,W,87, weekly, physical-keyboard,0,0,0,1,136.0,378.0,80.0,614.0
67d01f812bf82a710cd2193f,prompt-to-text,0,5,7,"Write a short imaginative story about a child who discover a hidden door in the wood, that leads to a secret world full of talking animals","[40,85]","[109,138]",2,1756238011690,1756238011768,r,82, weekly, physical-keyboard,1,0,0,1,78.0,536.0,478.0,435.0
67d01f812bf82a710cd2193f,prompt-to-text,0,5,7,"Write a short imaginative story about a child who discover a hidden door in the wood, that leads to a secret world full of talking animals","[40,85]","[109,138]",3,1756238012037,1756238012125,i,73, weekly, physical-keyboard,2,0,0,1,88.0,347.0,357.0,390.0
67d01f812bf82a710cd2193f,prompt-to-text,0,5,7,"Write a short imaginative story about a child who discover a hidden door in the wood, that leads to a secret world full of talking animals","[40,85]","[109,138]",4,1756238012360,1756238012427,t,84, weekly, physical-keyboard,3,0,0,1,67.0,323.0,302.0,306.0
67d01f812bf82a710cd2193f,prompt-to-text,0,5,7,"Write a short imaginative story about a child who discover a hidden door in the wood, that leads to a secret world full of talking animals","[40,85]","[109,138]",5,1756238012595,1756238012666,e,69, weekly, physical-keyboard,4,0,0,1,71.0,235.0,239.0,386.0
67d01f812bf82a710cd2193f,prompt-to-text,0,5,7,"Write a short imaginative story about a child who discover a hidden door in the wood, that leads to a secret world full of talking animals","[40,85]","[109,138]",6,1756238012900,1756238012981, ,32, weekly, physical-keyboard,5,0,0,0,81.0,305.0,315.0,437.0
67d01f812bf82a710cd2193f,prompt-to-text,0,5,7,"Write a short imaginative story about a child who discover a hidden door in the wood, that leads to a secret world full of talking animals","[40,85]","[109,138]",7,1756238013264,1756238013337,a,65, weekly, physical-keyboard,6,0,0,1,73.0,364.0,356.0,413.0
67d01f812bf82a710cd2193f,prompt-to-text,0,5,7,"Write a short imaginative story about a child who discover a hidden door in the wood, that leads to a secret world full of talking animals","[40,85]","[109,138]",8,1756238013605,1756238013677, ,32, weekly, physical-keyboard,7,0,0,0,72.0,341.0,340.0,378.0
67d01f812bf82a710cd2193f,prompt-to-text,0,5,7,"Write a short imaginative story about a child who discover a hidden door in the wood, that leads to a secret world full of talking animals","[40,85]","[109,138]",9,1756238013925,1756238013983,s,83, weekly, physical-keyboard,8,0,0,1,58.0,320.0,306.0,526.0
67d01f812bf82a710cd2193f,prompt-to-text,0,5,7,"Write a short imaginative story about a child who discover a hidden door in the wood, that leads to a secret world full of talking animals","[40,85]","[109,138]",10,1756238014417,1756238014451,h,72, weekly, physical-keyboard,9,0,0,1,34.0,492.0,468.0,397.0
67d01f812bf82a710cd2193f,prompt-to-text,0,5,7,"Write a short imaginative story about a child who discover a hidden door in the wood, that leads to a secret world full of talking animals","[40,85]","[109,138]",11,1756238014758,1756238014814,o,79, weekly, physical-keyboard,10,0,0,1,56.0,341.0,363.0,607.0
67d01f812bf82a710cd2193f,prompt-to-text,0,5,7,"Write a short imaginative story about a child who discover a hidden door in the wood, that leads to a secret world full of talking animals","[40,85]","[109,138]",12,1756238015296,1756238015365,r,82, weekly, physical-keyboard,11,0,0,1,69.0,538.0,551.0,255.0
67d01f812bf82a710cd2193f,prompt-to-text,0,5,7,"Write a short imaginative story about a child who discover a hidden door in the wood, that leads to a secret world full of talking animals","[40,85]","[109,138]",13,1756238015460,1756238015551,t,84, weekly, physical-keyboard,12,0,0,1,91.0,164.0,186.0,445.0
67d01f812bf82a710cd2193f,prompt-to-text,0,5,7,"Write a short imaginative story about a child who discover a hidden door in the wood, that leads to a secret world full of talking animals","[40,85]","[109,138]",14,1756238015818,1756238015905, ,32, weekly, physical-keyboard,13,0,0,0,87.0,358.0,354.0,463.0
67d01f812bf82a710cd2193f,prompt-to-text,0,5,7,"Write a short imaginative story about a child who discover a hidden door in the wood, that leads to a secret world full of talking animals","[40,85]","[109,138]",15,1756238016215,1756238016281,i,73, weekly, physical-keyboard,14,0,0,1,66.0,397.0,376.0,372.0
67d01f812bf82a710cd2193f,prompt-to-text,0,5,7,"Write a short imaginative story about a child who discover a hidden door in the wood, that leads to a secret world full of talking animals","[40,85]","[109,138]",16,1756238016513,1756238016587,m,77, weekly, physical-keyboard,15,0,0,1,74.0,298.0,306.0,489.0
67d01f812bf82a710cd2193f,prompt-to-text,0,5,7,"Write a short imaginative story about a child who discover a hidden door in the wood, that leads to a secret world full of talking animals","[40,85]","[109,138]",17,1756238016920,1756238017002,a,65, weekly, physical-keyboard,16,0,0,1,82.0,407.0,415.0,2881.0
