PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",0,1756310799515,1756310799606,c,67, rarely, physical-keyboard,0,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",1,1756310799864,1756310799999,r,82, rarely, physical-keyboard,1,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",2,1756310799954,1756310800067,e,69, rarely, physical-keyboard,2,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",3,1756310800157,1756310800247,a,65, rarely, physical-keyboard,3,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",4,1756310800337,1756310800438,t,84, rarely, physical-keyboard,4,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",5,1756310800404,1756310800506,e,69, rarely, physical-keyboard,5,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",6,1756310800541,1756310800618, ,32, rarely, physical-keyboard,6,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",7,1756310800764,1756310800844,o,79, rarely, physical-keyboard,7,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",8,1756310800968,1756310801035,Backspace,8, rarely, physical-keyboard,7,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",9,1756310801057,1756310801147,a,65, rarely, physical-keyboard,7,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",10,1756310801136,1756310801226, ,32, rarely, physical-keyboard,8,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",11,1756310801823,1756310801913,p,80, rarely, physical-keyboard,9,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",12,1756310802071,1756310802138,h,72, rarely, physical-keyboard,10,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",13,1756310802160,1756310802238,o,79, rarely, physical-keyboard,11,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",14,1756310802330,1756310802418,t,84, rarely, physical-keyboard,12,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",15,1756310802340,1756310802396,y,89, rarely, physical-keyboard,13,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",16,1756310802441,1756310802521,o,79, rarely, physical-keyboard,13,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",17,1756310802621,1756310802700, ,32, rarely, physical-keyboard,13,1,0
5faeb56b25a37f01d47d326c,image-to-prompt,1,7,0,"create a photo of a river in a woods, on witch are three ducks swimming. Day, clouds in the air, ultrarealistic style","[0,36]","[73,95]",18,1756310803196,1756310803275,Backspace,8, rarely, physical-keyboard,13,1,0
