PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",0,1756215076110,1756215076477,Shift,16, daily, physical-keyboard,0,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",1,1756215076298,1756215076428,C,67, daily, physical-keyboard,0,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",2,1756215076654,1756215076766,r,82, daily, physical-keyboard,1,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",3,1756215076921,1756215077016,e,69, daily, physical-keyboard,2,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",4,1756215077221,1756215077305,a,65, daily, physical-keyboard,3,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",5,1756215078261,1756215078347,t,84, daily, physical-keyboard,4,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",6,1756215078395,1756215078544,e,69, daily, physical-keyboard,5,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",7,1756215078714,1756215078846, ,32, daily, physical-keyboard,6,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",8,1756215079716,1756215079830,a,65, daily, physical-keyboard,7,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",9,1756215079889,1756215080021, ,32, daily, physical-keyboard,8,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",10,1756215080326,1756215080418,n,78, daily, physical-keyboard,9,0,1
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",11,1756215080732,1756215080808,i,73, daily, physical-keyboard,10,0,1
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",12,1756215081110,1756215081195,c,67, daily, physical-keyboard,11,0,1
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",13,1756215081259,1756215081375,e,69, daily, physical-keyboard,12,0,1
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",14,1756215081812,1756215081940, ,32, daily, physical-keyboard,13,0,1
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",15,1756215099224,1756215099307,t,84, daily, physical-keyboard,14,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",16,1756215099500,1756215099628,e,69, daily, physical-keyboard,15,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",17,1756215099802,1756215099934,x,88, daily, physical-keyboard,16,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",18,1756215100036,1756215100128,t,84, daily, physical-keyboard,17,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",19,1756215100231,1756215100373, ,32, daily, physical-keyboard,18,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",20,1756215100555,1756215100632,f,70, daily, physical-keyboard,19,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",21,1756215100966,1756215101056,o,79, daily, physical-keyboard,20,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",22,1756215101449,1756215101530,r,82, daily, physical-keyboard,21,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",23,1756215101623,1756215101737, ,32, daily, physical-keyboard,22,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",24,1756215102642,1756215102725,m,77, daily, physical-keyboard,23,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",25,1756215103016,1756215103095,y,89, daily, physical-keyboard,24,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",26,1756215103246,1756215103376, ,32, daily, physical-keyboard,25,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",27,1756215103601,1756215103673,f,70, daily, physical-keyboard,26,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",28,1756215104110,1756215104197,i,73, daily, physical-keyboard,27,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",29,1756215104510,1756215104611,e,69, daily, physical-keyboard,27,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",30,1756215104790,1756215104877,n,78, daily, physical-keyboard,27,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",31,1756215106520,1756215106613,Backspace,8, daily, physical-keyboard,27,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",32,1756215106766,1756215106850,Backspace,8, daily, physical-keyboard,27,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",33,1756215107032,1756215107126,Backspace,8, daily, physical-keyboard,27,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",34,1756215107915,1756215107984,r,82, daily, physical-keyboard,27,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",35,1756215108292,1756215108377,i,73, daily, physical-keyboard,28,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",36,1756215108460,1756215108580,e,69, daily, physical-keyboard,29,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",37,1756215108682,1756215108770,b,66, daily, physical-keyboard,30,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",38,1756215109444,1756215109535,Backspace,8, daily, physical-keyboard,30,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",39,1756215110359,1756215110449,n,78, daily, physical-keyboard,30,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",40,1756215110802,1756215110876,d,68, daily, physical-keyboard,31,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",41,1756215111114,1756215111241, ,32, daily, physical-keyboard,32,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",42,1756215112820,1756215113253,Shift,16, daily, physical-keyboard,33,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",43,1756215113127,1756215113193,A,65, daily, physical-keyboard,33,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",44,1756215113783,1756215113850,n,78, daily, physical-keyboard,34,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",45,1756215113960,1756215114030,n,78, daily, physical-keyboard,35,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",46,1756215114398,1756215114505,e,69, daily, physical-keyboard,36,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",47,1756215116182,1756215116263,Dead,222, daily, physical-keyboard,-1,0,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",48,1756215116570,1756215116661,s,83, daily, physical-keyboard,38,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",49,1756215117444,1756215117541, ,32, daily, physical-keyboard,39,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",50,1756215119512,1756215119587,b,66, daily, physical-keyboard,40,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",51,1756215119886,1756215119963,i,73, daily, physical-keyboard,41,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",52,1756215120338,1756215120405,r,82, daily, physical-keyboard,42,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",53,1756215120524,1756215120592,t,84, daily, physical-keyboard,43,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",54,1756215120767,1756215120870,h,72, daily, physical-keyboard,44,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",55,1756215121231,1756215121300,d,68, daily, physical-keyboard,45,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",56,1756215121606,1756215121687,a,65, daily, physical-keyboard,46,1,0
6635344fb4ae723326e3ce04,prompt-to-text,0,5,7,Create a nice text for my friend Anne´s birthday,"[23,48]","[9,13]",57,1756215122031,1756215122115,y,89, daily, physical-keyboard,47,1,0
