PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",0,1756307706842,1756307706933,c,67, monthly, physical-keyboard,0,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",1,1756307707103,1756307707202,r,82, monthly, physical-keyboard,1,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",2,1756307707345,1756307707432,e,69, monthly, physical-keyboard,2,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",3,1756307707738,1756307707877,a,65, monthly, physical-keyboard,3,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",4,1756307708172,1756307708259,t,84, monthly, physical-keyboard,4,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",5,1756307708326,1756307708498,e,69, monthly, physical-keyboard,5,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",6,1756307708618,1756307708725, ,32, monthly, physical-keyboard,6,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",7,1756307709289,1756307709424,a,65, monthly, physical-keyboard,7,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",8,1756307709535,1756307709610,m,77, monthly, physical-keyboard,8,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",9,1756307710444,1756307710536,Backspace,8, monthly, physical-keyboard,8,1,0
