PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",0,1756278644815,1756278644926,CapsLock,20, monthly, physical-keyboard,-1,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",1,1756278644918,1756278645049,D,68, monthly, physical-keyboard,0,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",2,1756278645014,1756278645145,CapsLock,20, monthly, physical-keyboard,-1,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",3,1756278645659,1756278645813,e,69, monthly, physical-keyboard,1,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",4,1756278645761,1756278645884,s,83, monthly, physical-keyboard,2,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",5,1756278646550,1756278646654,c,67, monthly, physical-keyboard,2,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",6,1756278646897,1756278647019,r,82, monthly, physical-keyboard,2,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",7,1756278647967,1756278648007,Backspace,8, monthly, physical-keyboard,2,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",8,1756278648115,1756278648198,Backspace,8, monthly, physical-keyboard,2,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",9,1756278648288,1756278648365,Backspace,8, monthly, physical-keyboard,2,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",10,1756278649099,1756278649200,t,84, monthly, physical-keyboard,2,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",11,1756278649426,1756278649556,a,65, monthly, physical-keyboard,3,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",12,1756278649539,1756278649605,i,73, monthly, physical-keyboard,4,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",13,1756278649729,1756278649841,l,76, monthly, physical-keyboard,5,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",14,1756278649796,1756278649875,e,69, monthly, physical-keyboard,6,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",15,1756278649971,1756278650085,d,68, monthly, physical-keyboard,7,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",16,1756278650044,1756278650230, ,32, monthly, physical-keyboard,8,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",17,1756278651193,1756278651292,d,68, monthly, physical-keyboard,9,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",18,1756278651393,1756278651480,e,69, monthly, physical-keyboard,10,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",19,1756278651622,1756278651734,s,83, monthly, physical-keyboard,11,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",20,1756278651946,1756278652047,c,67, monthly, physical-keyboard,12,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",21,1756278652279,1756278652405,r,82, monthly, physical-keyboard,13,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",22,1756278652782,1756278652904,i,73, monthly, physical-keyboard,14,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",23,1756278653047,1756278653211,p,80, monthly, physical-keyboard,15,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",24,1756278653297,1756278653436,t,84, monthly, physical-keyboard,16,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",25,1756278653581,1756278653730,i,73, monthly, physical-keyboard,17,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",26,1756278653697,1756278653860,o,79, monthly, physical-keyboard,18,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",27,1756278654240,1756278654335,n,78, monthly, physical-keyboard,19,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",28,1756278654492,1756278654637, ,32, monthly, physical-keyboard,20,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",29,1756278659069,1756278659159,o,79, monthly, physical-keyboard,21,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",30,1756278659124,1756278659220,f,70, monthly, physical-keyboard,22,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",31,1756278659219,1756278659419, ,32, monthly, physical-keyboard,23,0,0
676797a573d3cbf6add72f02,prompt-to-text,1,2,3,"Detailed description of a midwestern summer night, sights and sounds","[26,36];[37,49];[51,57]","[62,68]",32,1756278659592,1756278659698,a,65, monthly, physical-keyboard,24,0,0
