PARTICIPANT_ID,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,D1U1,D1D2,U1U2,D1U2,U1D2,WORD_ID,D1U1_MEAN_WORD,D1D2_MEAN_WORD,U1U2_MEAN_WORD,D1U2_MEAN_WORD,U1D2_MEAN_WORD,WORD_LEN_KEYS,WORD_DURATION,OVERLAP_FLAG,MS_PER_KEY_WORD,D1U1_WORD_STD,D1U1_WORD_IQR,D1U1_WORD_RANGE,D1U1_WORD_CV,D1D2_WORD_STD,D1D2_WORD_IQR,D1D2_WORD_RANGE,D1D2_WORD_CV,U1U2_WORD_STD,U1U2_WORD_IQR,U1U2_WORD_RANGE,U1U2_WORD_CV,D1U2_WORD_STD,D1U2_WORD_IQR,D1U2_WORD_RANGE,D1U2_WORD_CV,U1D2_WORD_STD,U1D2_WORD_IQR,U1D2_WORD_RANGE,U1D2_WORD_CV,PAUSE_FLAG_X2,PAUSE_FLAG_P90,PAUSE_RATE_WORD,OVERLAP_MAG,OVERLAP_RATE_WORD,OVERLAP_MAG_MEAN_WORD,BACKSPACE_FLAG,BACKSPACE_RATE_WORD,TRI_RP_SUM,tri_1KeyLat[0],tri_1KeyLat[1],tri_2KeyLat[0],tri_2KeyLat[1],tri_1D2D[0],tri_2D3D[0],tri_Dur[0],tri_Dur[1],tri_NumEvents[0],tri_NumEvents[1],TRI_RP_SUM_WORD_MEAN,tri_2KeyLat[0]_WORD_MEAN,tri_2KeyLat[1]_WORD_MEAN,tri_1D2D[0]_WORD_MEAN,tri_2D3D[0]_WORD_MEAN,tri_Dur[0]_WORD_MEAN,TRI_RP_SUM_DEV_FROM_TRIGRAM_MEAN,tri_2KeyLat[0]_DEV_FROM_TRIGRAM_MEAN,tri_2KeyLat[1]_DEV_FROM_TRIGRAM_MEAN,tri_Dur[0]_DEV_FROM_TRIGRAM_MEAN
65a3ec77f674ac3e98f0c6ac,0,0,88,,,379.0,209.0,,,,,,,,,0,,23.42066988319885,37.0,71,0.2355151161438991,193.65635986015465,251.5,509,0.5576857015411221,211.46411380792588,242.25,552,0.582947246886081,150.87945887731408,74.0,566,0.3459656381900196,146.86965120284194,67.0,525,0.6309436089859558,0,0,0.2222222222222222,0,0,0,0,0,419.0,297.0,292.0,209.0,210.0,170.0,142.0,230.0,649.0,0,0,438.8888888888889,232.77777777777777,206.11111111111111,203.3333333333333,202.22222222222223,301.6666666666667,0.0,0.0,0.0,0.0
65a3ec77f674ac3e98f0c6ac,0,0,82,297.0,291.0,352.0,210.0,1.0,82.0,297.0,291.0,352.0,,1.0,82.0,0,82.0,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,0,0,0.0,0,0,0,0,0,809.0,292.0,659.0,210.0,599.0,142.0,191.0,273.0,1082.0,0,1,809.0,210.0,599.0,142.0,191.0,273.0,0.0,0.0,0.0,0.0
65a3ec77f674ac3e98f0c6ac,0,0,60,292.0,270.0,790.0,599.0,,,,,,,,,0,,23.42066988319885,37.0,71,0.2355151161438991,193.65635986015465,251.5,509,0.5576857015411221,211.46411380792588,242.25,552,0.582947246886081,150.87945887731408,74.0,566,0.3459656381900196,146.86965120284194,67.0,525,0.6309436089859558,0,0,0.2222222222222222,0,0,0,0,0,790.0,659.0,322.0,599.0,191.0,191.0,228.0,288.0,1078.0,0,1,438.8888888888889,232.77777777777777,206.11111111111111,203.3333333333333,202.22222222222223,301.6666666666667,0.0,0.0,0.0,0.0
65a3ec77f674ac3e98f0c6ac,0,0,131,659.0,730.0,419.0,191.0,,,,,,,,,0,,23.42066988319885,37.0,71,0.2355151161438991,193.65635986015465,251.5,509,0.5576857015411221,211.46411380792588,242.25,552,0.582947246886081,150.87945887731408,74.0,566,0.3459656381900196,146.86965120284194,67.0,525,0.6309436089859558,1,1,0.2222222222222222,0,0,0,0,0,341.0,322.0,247.0,191.0,150.0,228.0,227.0,358.0,699.0,0,0,438.8888888888889,232.77777777777777,206.11111111111111,203.3333333333333,202.22222222222223,301.6666666666667,0.0,0.0,0.0,0.0
65a3ec77f674ac3e98f0c6ac,0,0,97,322.0,288.0,377.0,150.0,2.0,109.83333333333331,241.3333333333333,233.16666666666663,324.6666666666667,109.8,6.0,1208.0,0,201.3333333333333,20.32158130330085,26.25,54,0.1850219845520563,51.6165348184733,57.0,144,0.2138806691373203,52.09766469494259,90.25,116,0.2234353024800968,48.771576421791686,77.75,117,0.1502204612580852,35.4400902933387,56.75,83,0.3281489841975805,0,0,0.0,0,0,0,0,0,217.0,247.0,197.0,150.0,67.0,227.0,240.0,337.0,554.0,0,0,215.8333333333333,108.0,107.83333333333331,216.66666666666663,214.66666666666663,324.5,0.0,0.0,0.0,0.0
65a3ec77f674ac3e98f0c6ac,0,0,130,247.0,280.0,307.0,67.0,2.0,109.83333333333331,241.3333333333333,233.16666666666663,324.6666666666667,109.8,6.0,1208.0,0,201.3333333333333,20.32158130330085,26.25,54,0.1850219845520563,51.6165348184733,57.0,144,0.2138806691373203,52.09766469494259,90.25,116,0.2234353024800968,48.771576421791686,77.75,117,0.1502204612580852,35.4400902933387,56.75,83,0.3281489841975805,0,0,0.0,0,0,0,0,0,135.0,197.0,178.0,67.0,68.0,240.0,214.0,344.0,479.0,0,0,215.8333333333333,108.0,107.83333333333331,216.66666666666663,214.66666666666663,324.5,0.0,0.0,0.0,0.0
65a3ec77f674ac3e98f0c6ac,0,0,110,197.0,177.0,282.0,68.0,2.0,109.83333333333331,241.3333333333333,233.16666666666663,324.6666666666667,109.8,6.0,1208.0,0,201.3333333333333,20.32158130330085,26.25,54,0.1850219845520563,51.6165348184733,57.0,144,0.2138806691373203,52.09766469494259,90.25,116,0.2234353024800968,48.771576421791686,77.75,117,0.1502204612580852,35.4400902933387,56.75,83,0.3281489841975805,0,0,0.0,0,0,0,0,0,199.0,178.0,235.0,68.0,131.0,214.0,240.0,350.0,549.0,0,0,215.8333333333333,108.0,107.83333333333331,216.66666666666663,214.66666666666663,324.5,0.0,0.0,0.0,0.0
65a3ec77f674ac3e98f0c6ac,0,0,104,178.0,172.0,371.0,131.0,2.0,109.83333333333331,241.3333333333333,233.16666666666663,324.6666666666667,109.8,6.0,1208.0,0,201.3333333333333,20.32158130330085,26.25,54,0.1850219845520563,51.6165348184733,57.0,144,0.2138806691373203,52.09766469494259,90.25,116,0.2234353024800968,48.771576421791686,77.75,117,0.1502204612580852,35.4400902933387,56.75,83,0.3281489841975805,0,0,0.0,0,0,0,0,0,264.0,235.0,269.0,131.0,133.0,240.0,218.0,322.0,586.0,0,0,215.8333333333333,108.0,107.83333333333331,216.66666666666663,214.66666666666663,324.5,0.0,0.0,0.0,0.0
65a3ec77f674ac3e98f0c6ac,0,0,136,235.0,267.0,351.0,133.0,2.0,109.83333333333331,241.3333333333333,233.16666666666663,324.6666666666667,109.8,6.0,1208.0,0,201.3333333333333,20.32158130330085,26.25,54,0.1850219845520563,51.6165348184733,57.0,144,0.2138806691373203,52.09766469494259,90.25,116,0.2234353024800968,48.771576421791686,77.75,117,0.1502204612580852,35.4400902933387,56.75,83,0.3281489841975805,0,0,0.0,0,0,0,0,0,232.0,269.0,181.0,133.0,99.0,218.0,161.0,297.0,529.0,0,0,215.8333333333333,108.0,107.83333333333331,216.66666666666663,214.66666666666663,324.5,0.0,0.0,0.0,0.0
65a3ec77f674ac3e98f0c6ac,0,0,82,269.0,215.0,260.0,99.0,2.0,109.83333333333331,241.3333333333333,233.16666666666663,324.6666666666667,109.8,6.0,1208.0,0,201.3333333333333,20.32158130330085,26.25,54,0.1850219845520563,51.6165348184733,57.0,144,0.2138806691373203,52.09766469494259,90.25,116,0.2234353024800968,48.771576421791686,77.75,117,0.1502204612580852,35.4400902933387,56.75,83,0.3281489841975805,0,0,0.0,0,0,0,0,0,248.0,181.0,228.0,99.0,149.0,161.0,215.0,297.0,545.0,0,0,215.8333333333333,108.0,107.83333333333331,216.66666666666663,214.66666666666663,324.5,0.0,0.0,0.0,0.0
