PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
57b345d276b2ea0001c988bc,prompt-to-image,0,4,3,A picture of the countryside,"[17,28]","[2,9]",0,1757012803933,1757012804060,CapsLock,20, never, physical-keyboard
57b345d276b2ea0001c988bc,prompt-to-image,0,4,3,A picture of the countryside,"[17,28]","[2,9]",1,1757012804116,1757012804210,A,65, never, physical-keyboard
57b345d276b2ea0001c988bc,prompt-to-image,0,4,3,A picture of the countryside,"[17,28]","[2,9]",2,1757012804152,1757012804175,Q,81, never, physical-keyboard
57b345d276b2ea0001c988bc,prompt-to-image,0,4,3,A picture of the countryside,"[17,28]","[2,9]",3,1757012804247,1757012804333,CapsLock,20, never, physical-keyboard
57b345d276b2ea0001c988bc,prompt-to-image,0,4,3,A picture of the countryside,"[17,28]","[2,9]",4,1757012804837,1757012804948,Backspace,8, never, physical-keyboard
57b345d276b2ea0001c988bc,prompt-to-image,0,4,3,A picture of the countryside,"[17,28]","[2,9]",5,1757012805302,1757012805342, ,32, never, physical-keyboard
57b345d276b2ea0001c988bc,prompt-to-image,0,4,3,A picture of the countryside,"[17,28]","[2,9]",6,1757012806145,1757012806245,c,67, never, physical-keyboard
57b345d276b2ea0001c988bc,prompt-to-image,0,4,3,A picture of the countryside,"[17,28]","[2,9]",7,1757012807445,1757012807523,Backspace,8, never, physical-keyboard
57b345d276b2ea0001c988bc,prompt-to-image,0,4,3,A picture of the countryside,"[17,28]","[2,9]",8,1757012807729,1757012807804,p,80, never, physical-keyboard
57b345d276b2ea0001c988bc,prompt-to-image,0,4,3,A picture of the countryside,"[17,28]","[2,9]",9,1757012808016,1757012808115,i,73, never, physical-keyboard
57b345d276b2ea0001c988bc,prompt-to-image,0,4,3,A picture of the countryside,"[17,28]","[2,9]",10,1757012808346,1757012808436,c,67, never, physical-keyboard
57b345d276b2ea0001c988bc,prompt-to-image,0,4,3,A picture of the countryside,"[17,28]","[2,9]",11,1757012809104,1757012809178,t,84, never, physical-keyboard
