PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",0,1757005782508,1757005782808,Shift,16, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",1,1757005782720,1757005782869,P,80, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",2,1757005782812,1757005782938,l,76, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",3,1757005783730,1757005783849,e,69, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",4,1757005783903,1757005784045,a,65, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",5,1757005784015,1757005784134,s,83, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",6,1757005784095,1757005784206,e,69, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",7,1757005784248,1757005784350, ,32, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",8,1757005784405,1757005784483,s,83, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",9,1757005784607,1757005784658,u,85, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",10,1757005784742,1757005784807,g,71, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",11,1757005784865,1757005784980,g,71, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",12,1757005785001,1757005785124,e,69, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",13,1757005785069,1757005785227,s,83, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",14,1757005785201,1757005785306,t,84, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",15,1757005785348,1757005785448, ,32, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",16,1757005785495,1757005785593,a,65, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",17,1757005785584,1757005785690, ,32, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",18,1757005786488,1757005786538,n,78, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",19,1757005786625,1757005786699,o,79, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",20,1757005786702,1757005786805,t,84, daily, physical-keyboard
57c357770e6a1f00015f6038,prompt-to-text,0,2,4,Please suggest a note I can drop to my neighbour to ask them to refrain from parking outside my house as it inconveniences us and our other neighbours. Ask him to consider parking on his own driveway. Make it polite so that I don't have an argument situation!,"[64,85]","[163,199]",21,1757005786800,1757005786907,e,69, daily, physical-keyboard
