PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",0,1757005791128,1757005791329,Shift,16, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",1,1757005791256,1757005791352,I,73, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",2,1757005791361,1757005791471, ,32, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",3,1757005791525,1757005791607,n,78, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",4,1757005791649,1757005791676,e,69, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",5,1757005791740,1757005791895,e,69, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",6,1757005791895,1757005791986,d,68, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",7,1757005792027,1757005792123, ,32, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",8,1757005792119,1757005792228,a,65, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",9,1757005792228,1757005792338, ,32, monthly, physical-keyboard
