PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
5883a935c0c9a10001df6345,prompt-to-image,1,6,3,"Futuristic city at sunset, flying cars moving between skyscrapers.","[0,15];[27,38]","[19,25];[39,65]",0,1757006532504,1757006532751,Shift,16, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-image,1,6,3,"Futuristic city at sunset, flying cars moving between skyscrapers.","[0,15];[27,38]","[19,25];[39,65]",1,1757006532640,1757006532772,F,70, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-image,1,6,3,"Futuristic city at sunset, flying cars moving between skyscrapers.","[0,15];[27,38]","[19,25];[39,65]",2,1757006532969,1757006533060,u,85, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-image,1,6,3,"Futuristic city at sunset, flying cars moving between skyscrapers.","[0,15];[27,38]","[19,25];[39,65]",3,1757006533644,1757006533730,t,84, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-image,1,6,3,"Futuristic city at sunset, flying cars moving between skyscrapers.","[0,15];[27,38]","[19,25];[39,65]",4,1757006533785,1757006533895,u,85, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-image,1,6,3,"Futuristic city at sunset, flying cars moving between skyscrapers.","[0,15];[27,38]","[19,25];[39,65]",5,1757006534204,1757006534236,s,83, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-image,1,6,3,"Futuristic city at sunset, flying cars moving between skyscrapers.","[0,15];[27,38]","[19,25];[39,65]",6,1757006534598,1757006534656,Backspace,8, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-image,1,6,3,"Futuristic city at sunset, flying cars moving between skyscrapers.","[0,15];[27,38]","[19,25];[39,65]",7,1757006534670,1757006534761,r,82, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-image,1,6,3,"Futuristic city at sunset, flying cars moving between skyscrapers.","[0,15];[27,38]","[19,25];[39,65]",8,1757006534820,1757006534925,i,73, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-image,1,6,3,"Futuristic city at sunset, flying cars moving between skyscrapers.","[0,15];[27,38]","[19,25];[39,65]",9,1757006534879,1757006535012,s,83, monthly, physical-keyboard
