PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
5e5ce9165cd2ad4c23019550,prompt-to-image,1,1,0,"generate a still frame in the style of a 1960's Mickey Mouse cartoon, with small artifacts and blemishes showing on the film. Mickey Mouse, slightly off frame, sitting in a chair in a dark room with one window. The only light is the weak shine of the Moon coming through the window. Mickey Mouse is sad, his eyes opened wide in an unnatural and uncanny way. He is barely visible in the darkness.","[11,68];[283,302]","[75,125];[357,394]",0,1757008274445,1757008274558,g,71, rarely, physical-keyboard
5e5ce9165cd2ad4c23019550,prompt-to-image,1,1,0,"generate a still frame in the style of a 1960's Mickey Mouse cartoon, with small artifacts and blemishes showing on the film. Mickey Mouse, slightly off frame, sitting in a chair in a dark room with one window. The only light is the weak shine of the Moon coming through the window. Mickey Mouse is sad, his eyes opened wide in an unnatural and uncanny way. He is barely visible in the darkness.","[11,68];[283,302]","[75,125];[357,394]",1,1757008274515,1757008274613,e,69, rarely, physical-keyboard
5e5ce9165cd2ad4c23019550,prompt-to-image,1,1,0,"generate a still frame in the style of a 1960's Mickey Mouse cartoon, with small artifacts and blemishes showing on the film. Mickey Mouse, slightly off frame, sitting in a chair in a dark room with one window. The only light is the weak shine of the Moon coming through the window. Mickey Mouse is sad, his eyes opened wide in an unnatural and uncanny way. He is barely visible in the darkness.","[11,68];[283,302]","[75,125];[357,394]",2,1757008274653,1757008274792,n,78, rarely, physical-keyboard
5e5ce9165cd2ad4c23019550,prompt-to-image,1,1,0,"generate a still frame in the style of a 1960's Mickey Mouse cartoon, with small artifacts and blemishes showing on the film. Mickey Mouse, slightly off frame, sitting in a chair in a dark room with one window. The only light is the weak shine of the Moon coming through the window. Mickey Mouse is sad, his eyes opened wide in an unnatural and uncanny way. He is barely visible in the darkness.","[11,68];[283,302]","[75,125];[357,394]",3,1757008274722,1757008274817,e,69, rarely, physical-keyboard
5e5ce9165cd2ad4c23019550,prompt-to-image,1,1,0,"generate a still frame in the style of a 1960's Mickey Mouse cartoon, with small artifacts and blemishes showing on the film. Mickey Mouse, slightly off frame, sitting in a chair in a dark room with one window. The only light is the weak shine of the Moon coming through the window. Mickey Mouse is sad, his eyes opened wide in an unnatural and uncanny way. He is barely visible in the darkness.","[11,68];[283,302]","[75,125];[357,394]",4,1757008274897,1757008275023,r,82, rarely, physical-keyboard
5e5ce9165cd2ad4c23019550,prompt-to-image,1,1,0,"generate a still frame in the style of a 1960's Mickey Mouse cartoon, with small artifacts and blemishes showing on the film. Mickey Mouse, slightly off frame, sitting in a chair in a dark room with one window. The only light is the weak shine of the Moon coming through the window. Mickey Mouse is sad, his eyes opened wide in an unnatural and uncanny way. He is barely visible in the darkness.","[11,68];[283,302]","[75,125];[357,394]",5,1757008275024,1757008275122,a,65, rarely, physical-keyboard
5e5ce9165cd2ad4c23019550,prompt-to-image,1,1,0,"generate a still frame in the style of a 1960's Mickey Mouse cartoon, with small artifacts and blemishes showing on the film. Mickey Mouse, slightly off frame, sitting in a chair in a dark room with one window. The only light is the weak shine of the Moon coming through the window. Mickey Mouse is sad, his eyes opened wide in an unnatural and uncanny way. He is barely visible in the darkness.","[11,68];[283,302]","[75,125];[357,394]",6,1757008275152,1757008275269,t,84, rarely, physical-keyboard
5e5ce9165cd2ad4c23019550,prompt-to-image,1,1,0,"generate a still frame in the style of a 1960's Mickey Mouse cartoon, with small artifacts and blemishes showing on the film. Mickey Mouse, slightly off frame, sitting in a chair in a dark room with one window. The only light is the weak shine of the Moon coming through the window. Mickey Mouse is sad, his eyes opened wide in an unnatural and uncanny way. He is barely visible in the darkness.","[11,68];[283,302]","[75,125];[357,394]",7,1757008275240,1757008275382,e,69, rarely, physical-keyboard
5e5ce9165cd2ad4c23019550,prompt-to-image,1,1,0,"generate a still frame in the style of a 1960's Mickey Mouse cartoon, with small artifacts and blemishes showing on the film. Mickey Mouse, slightly off frame, sitting in a chair in a dark room with one window. The only light is the weak shine of the Moon coming through the window. Mickey Mouse is sad, his eyes opened wide in an unnatural and uncanny way. He is barely visible in the darkness.","[11,68];[283,302]","[75,125];[357,394]",8,1757008275558,1757008275691, ,32, rarely, physical-keyboard
5e5ce9165cd2ad4c23019550,prompt-to-image,1,1,0,"generate a still frame in the style of a 1960's Mickey Mouse cartoon, with small artifacts and blemishes showing on the film. Mickey Mouse, slightly off frame, sitting in a chair in a dark room with one window. The only light is the weak shine of the Moon coming through the window. Mickey Mouse is sad, his eyes opened wide in an unnatural and uncanny way. He is barely visible in the darkness.","[11,68];[283,302]","[75,125];[357,394]",9,1757008275848,1757008276015,a,65, rarely, physical-keyboard
5e5ce9165cd2ad4c23019550,prompt-to-image,1,1,0,"generate a still frame in the style of a 1960's Mickey Mouse cartoon, with small artifacts and blemishes showing on the film. Mickey Mouse, slightly off frame, sitting in a chair in a dark room with one window. The only light is the weak shine of the Moon coming through the window. Mickey Mouse is sad, his eyes opened wide in an unnatural and uncanny way. He is barely visible in the darkness.","[11,68];[283,302]","[75,125];[357,394]",10,1757008276148,1757008276273,n,78, rarely, physical-keyboard
