PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",0,1756265226198,1756265226358,CapsLock,20, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",1,1756265226251,1756265226378,W,87, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",2,1756265226412,1756265226499,r,82, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",3,1756265226542,1756265226629,i,73, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",4,1756265226644,1756265226789,t,84, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",5,1756265226845,1756265226948,e,69, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",6,1756265226917,1756265227027, ,32, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",7,1756265227077,1756265227205,a,65, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",8,1756265227174,1756265227260, ,32, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",9,1756265227366,1756265227429,l,76, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",10,1756265227452,1756265227517,e,69, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",11,1756265227630,1756265227693,t,84, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",12,1756265227790,1756265227843,t,84, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",13,1756265227927,1756265228092,e,69, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",14,1756265227999,1756265228141,r,82, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",15,1756265228107,1756265228203, ,32, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",16,1756265228246,1756265228307,w,87, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",17,1756265228356,1756265228445,i,73, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",18,1756265228459,1756265228533,t,84, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",19,1756265228572,1756265228637,h,72, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",20,1756265228649,1756265228732, ,32, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",21,1756265231282,1756265231380,a,65, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",22,1756265231340,1756265231427, ,32, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",23,1756265231933,1756265232003,t,84, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",24,1756265232053,1756265232135,i,73, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",25,1756265232126,1756265232180,t,84, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",26,1756265232244,1756265232332,l,76, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",27,1756265232317,1756265232412,e,69, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",28,1756265232445,1756265232525, ,32, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",29,1756265232572,1756265232733,Shift,16, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",30,1756265232671,1756265232772,"""",222, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",31,1756265234677,1756265234776,CapsLock,20, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",32,1756265234734,1756265234794,D,68, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",33,1756265234915,1756265235012,o,79, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",34,1756265235054,1756265235125,c,67, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",35,1756265235156,1756265235237,u,85, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",36,1756265235510,1756265235581,m,77, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",37,1756265235612,1756265235676,e,69, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",38,1756265235700,1756265235764,n,78, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",39,1756265235788,1756265235867,t,84, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",40,1756265235838,1756265235915, ,32, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",41,1756265236878,1756265237591,Backspace,8, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",42,1756265237379,1756265237772,Backspace,8, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",43,1756265237411,1756265237932,Backspace,8, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",44,1756265237445,1756265238091,Backspace,8, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",45,1756265237478,1756265238685,Backspace,8, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",46,1756265237512,1756265242229,Backspace,8, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",47,1756265237546,1756265242396,Backspace,8, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",48,1756265237581,1756265248676,Backspace,8, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",49,1756265237718,1756265249517,Backspace,8, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",50,1756265237870,1756265249690,Backspace,8, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",51,1756265238030,1756265249845,Backspace,8, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",52,1756265238174,1756265238236,t,84, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",53,1756265238630,1756265249989,Backspace,8, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",54,1756265238709,1756265238795, ,32, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",55,1756265238780,1756265238851,t,84, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",56,1756265238866,1756265238956,h,72, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",57,1756265238971,1756265239108,a,65, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",58,1756265239005,1756265239131,t,84, daily, physical-keyboard
5ed94af267e7bf10f180c5b0,text-to-prompt,0,0,7,Write a letter with a title that reminds reader of document submission. Mention the Q3 report is due Friday noon. Remind to put it on the shared folder. Make it sound professional and polite,"[72,152]","[154,190]",59,1756265239085,1756265239179, ,32, daily, physical-keyboard
