PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",0,1757015494075,1757015494171,CapsLock,20, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",1,1757015494508,1757015494609,C,67, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",2,1757015494667,1757015494829,CapsLock,20, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",3,1757015495066,1757015495168,a,65, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",4,1757015499291,1757015499932,Backspace,8, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",5,1757015499796,1757015529549,Backspace,8, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",6,1757015499824,1757015529692,Backspace,8, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",7,1757015499856,1757015553953,Backspace,8, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",8,1757015499887,1757015554136,Backspace,8, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",9,1757015499917,1757015554494,Backspace,8, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",10,1757015500337,1757015500470,CapsLock,20, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",11,1757015500832,1757015500947,D,68, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",12,1757015500968,1757015501102,CapsLock,20, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",13,1757015501272,1757015501383,r,82, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",14,1757015501524,1757015501649,a,65, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",15,1757015501785,1757015501892,f,70, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",16,1757015502005,1757015502093,t,84, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",17,1757015502332,1757015502455, ,32, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",18,1757015502493,1757015502609,a,65, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",19,1757015502703,1757015502791, ,32, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",20,1757015502981,1757015503130,r,82, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",21,1757015503165,1757015503263,e,69, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",22,1757015504640,1757015504740,m,77, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",23,1757015504797,1757015504943,i,73, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",24,1757015504969,1757015505058,n,78, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",25,1757015505126,1757015505291,d,68, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",26,1757015505293,1757015505440,e,69, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",27,1757015505442,1757015505592,r,82, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",28,1757015505908,1757015506006, ,32, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",29,1757015519676,1757015519805,t,84, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",30,1757015519960,1757015520066,o,79, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",31,1757015527861,1757015527959, ,32, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",32,1757015528055,1757015528180,t,84, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",33,1757015528330,1757015528448,j,74, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",34,1757015528544,1757015528655,e,69, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",35,1757015529471,1757015556850,Backspace,8, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",36,1757015529622,1757015564640,Backspace,8, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",37,1757015529816,1757015529939,h,72, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",38,1757015530199,1757015530325,e,69, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",39,1757015530876,1757015530999, ,32, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",40,1757015531044,1757015531207,t,84, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",41,1757015531191,1757015531309,e,69, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",42,1757015531435,1757015531578,a,65, weekly, physical-keyboard
608ab8b9eb657a41933a4ec9,text-to-prompt,0,0,7,"Draft a reminder to the team. Subject should be ""Document submissionn reminder and the body should let them know that all documents for the Q3 report need to be uploaded  to the shared by friday at noon","[99,202]","[0,28]",43,1757015533017,1757015533077,m,77, weekly, physical-keyboard
