PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",0,1757021246363,1757021246505,CapsLock,20, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",1,1757021246611,1757021246691,W,87, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",2,1757021246730,1757021246827,CapsLock,20, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",3,1757021246932,1757021247038,r,82, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",4,1757021247395,1757021247490,i,73, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",5,1757021247677,1757021247778,t,84, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",6,1757021247817,1757021247913,e,69, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",7,1757021247937,1757021248017, ,32, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",8,1757021248074,1757021248178,a,65, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",9,1757021248202,1757021248298, ,32, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",10,1757021248563,1757021248659,s,83, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",11,1757021248683,1757021248785,h,72, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",12,1757021248802,1757021248922,o,79, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",13,1757021249065,1757021249161,r,82, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",14,1757021249242,1757021249346,t,84, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",15,1757021249449,1757021249529, ,32, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",16,1757021249546,1757021249649,s,83, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",17,1757021250294,1757021250369,t,84, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",18,1757021250633,1757021250737,o,79, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",19,1757021251643,1757021251763,r,82, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",20,1757021251746,1757021251866,y,89, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",21,1757021251987,1757021252106, ,32, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",22,1757021252508,1757021252626,a,65, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",23,1757021252956,1757021253090,b,66, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",24,1757021253073,1757021253234,o,79, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",25,1757021253315,1757021253435,u,85, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",26,1757021253659,1757021253714,t,84, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",27,1757021253897,1757021254022, ,32, rarely, physical-keyboard
616b06e97addc4a9a638909e,prompt-to-text,0,4,5,"Write a short story about a curious fox exploring an enchanted forest at twilight. Include vivid descriptions of glowing plants, mysterious sounds, and the fox´s clever interactions with magical creatures it encounters along the way","[0,81]","[82,232]",28,1757021254586,1757021254682,a,65, rarely, physical-keyboard
