PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",0,1756298245453,1756298245523,i,73, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",1,1756298245600,1756298247408,CapsLock,20, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",2,1756298245627,1756298245749, ,32, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",3,1756298246424,1756298246472,Backspace,8, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",4,1756298246581,1756298246624,Backspace,8, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",5,1756298247211,1756298247283,I,73, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",6,1756298247676,1756298247771, ,32, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",7,1756298247838,1756298247946,w,87, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",8,1756298247943,1756298248036,o,79, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",9,1756298247999,1756298248080,u,85, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",10,1756298248178,1756298248273,l,76, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",11,1756298248277,1756298248376,d,68, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",12,1756298248351,1756298248454, ,32, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",13,1756298248508,1756298248611,l,76, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",14,1756298248568,1756298248655,i,73, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",15,1756298248802,1756298248888,k,75, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",16,1756298248859,1756298248982,e,69, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",17,1756298248973,1756298249066, ,32, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",18,1756298249163,1756298249263,y,89, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",19,1756298249302,1756298249424,o,79, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",20,1756298249395,1756298249504,u,85, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",21,1756298249457,1756298249557, ,32, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",22,1756298249682,1756298249770,t,84, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",23,1756298249777,1756298249849,o,79, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",24,1756298249837,1756298249952, ,32, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",25,1756298250021,1756298250121,c,67, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",26,1756298250323,1756298250433,r,82, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",27,1756298250420,1756298250586,e,69, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",28,1756298250552,1756298250638,a,65, daily, physical-keyboard
65cf6d8a589a67afcab54e6f,text-to-prompt,0,1,5,"I would like you to create some text that will be used as a reminder. Include a subject and some descriptive text. In the descriptive text start with the word ""hello"". The reminder is about documents for the Q3 report which are due by Friday at noon and must be uploaded to the shared folder.","[70,87];[139,166]","[42,68]",29,1756298250654,1756298250752,t,84, daily, physical-keyboard
