PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",0,1757012603399,1757012603734,Shift,16, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",1,1757012603608,1757012603701,I,73, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",2,1757012603971,1757012604013, ,32, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",3,1757012604308,1757012604375,w,87, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",4,1757012604518,1757012604584,a,65, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",5,1757012604637,1757012604706,n,78, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",6,1757012604790,1757012604858,n,78, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",7,1757012604917,1757012604988,a,65, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",8,1757012605030,1757012605127, ,32, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",9,1757012605359,1757012605384,g,71, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",10,1757012605372,1757012605389,h,72, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",11,1757012605690,1757012605766,e,69, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",12,1757012606414,1757012606539,Backspace,8, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",13,1757012606611,1757012606718,Backspace,8, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",14,1757012607630,1757012607703,e,69, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",15,1757012607945,1757012608004,t,84, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",16,1757012608059,1757012608129, ,32, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",17,1757012608272,1757012608326,a,65, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",18,1757012608336,1757012608418, ,32, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",19,1757012609107,1757012609161,r,82, monthly, physical-keyboard
668a9841d4178ffe1aaaa225,text-to-prompt,0,4,1,I wanna get a reminder about q3 report documents upload whose deadline is Fryday nood. Tell me to make sure they are in the right folder,"[124,136];[14,55];[62,85]","[87,123];[0,13]",20,1757012609266,1757012609340,e,69, monthly, physical-keyboard
