PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",0,1757019392091,1757019392205,i,73, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",1,1757019392535,1757019392710, ,32, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",2,1757019392824,1757019393012,w,87, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",3,1757019394039,1757019394202,a,65, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",4,1757019394200,1757019394277,n,78, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",5,1757019394819,1757019394943,t,84, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",6,1757019395258,1757019395392, ,32, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",7,1757019395938,1757019396079,t,84, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",8,1757019396124,1757019396248,o,79, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",9,1757019396568,1757019396700, ,32, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",10,1757019397189,1757019397357,a,65, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",11,1757019397540,1757019397663,p,80, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",12,1757019397945,1757019398125,a,65, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",13,1757019398124,1757019398210,i,73, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",14,1757019398495,1757019398626,n,78, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",15,1757019398946,1757019399041,t,84, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",16,1757019399115,1757019399237, ,32, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",17,1757019399585,1757019399764,a,65, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",18,1757019399763,1757019399869, ,32, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",19,1757019400059,1757019400174,n,78, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",20,1757019400509,1757019400633,i,73, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",21,1757019401061,1757019401203,c,67, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",22,1757019401331,1757019401448,e,69, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",23,1757019401523,1757019401627, ,32, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",24,1757019401812,1757019401962,s,83, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",25,1757019402641,1757019402736,c,67, never, physical-keyboard
66929a6a268ccf0d6fce0d52,image-to-prompt,1,6,7,i want to paint a nice scene of ducks on a pond have you got images?,"[32,38]","[53,57]",26,1757019402980,1757019403149,e,69, never, physical-keyboard
