PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",0,1756998612561,1756998612633,CapsLock,20, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",1,1756998613455,1756998613579,G,71, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",2,1756998614133,1756998614237,CapsLock,20, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",3,1756998615230,1756998615290,r,82, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",4,1756998615416,1756998615487,e,69, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",5,1756998615672,1756998615732,a,65, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",6,1756998617377,1756998617454,Backspace,8, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",7,1756998617534,1756998617595,Backspace,8, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",8,1756998617676,1756998617739,Backspace,8, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",9,1756998617831,1756998617863,Backspace,8, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",10,1756998618810,1756998618885,CapsLock,20, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",11,1756998619378,1756998619450,C,67, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",12,1756998619653,1756998619730,CapsLock,20, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",13,1756998619932,1756998619987,r,82, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",14,1756998620092,1756998620174,e,69, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",15,1756998620264,1756998620336,a,65, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",16,1756998620566,1756998620637,t,84, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",17,1756998620819,1756998620879,e,69, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",18,1756998621200,1756998621255, ,32, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",19,1756998621574,1756998621655,g,71, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",20,1756998623321,1756998623388,Backspace,8, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",21,1756998623719,1756998623793,f,70, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",22,1756998624061,1756998624131,o,79, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",23,1756998624398,1756998624457,r,82, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",24,1756998624707,1756998624755, ,32, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",25,1756998625078,1756998625144,m,77, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",26,1756998625425,1756998625493,e,69, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",27,1756998625773,1756998625828, ,32, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",28,1756998626120,1756998626185,a,65, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",29,1756998626568,1756998626625,n,78, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",30,1756998626770,1756998626833, ,32, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",31,1756998627101,1756998627154,i,73, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",32,1756998627348,1756998627426,m,77, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",33,1756998627725,1756998627800,a,65, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",34,1756998628258,1756998628324,g,71, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",35,1756998628533,1756998628564,e,69, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",36,1756998629068,1756998629142, ,32, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",37,1756998630240,1756998630314,o,79, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",38,1756998630678,1756998630739,f,70, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",39,1756998631005,1756998631065, ,32, weekly, physical-keyboard
67e184908b8cd53c87ac90a2,image-to-prompt,1,6,7,Create for me an image of ducks swimming at a river. The vegetation around is very green with lots of trees. The sky appears cloudy.,"[33,132]","[26,31]",40,1756998635686,1756998635755,d,68, weekly, physical-keyboard
