PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
6870acd4d7a2c843c144bfd7,prompt-to-image,4,0,0,An image of two people in a well lit room.They appear to be conducting a physical exercise.,"[0,41]","[42,91]",0,1756280620098,1756280620234,CapsLock,20, daily, physical-keyboard
6870acd4d7a2c843c144bfd7,prompt-to-image,4,0,0,An image of two people in a well lit room.They appear to be conducting a physical exercise.,"[0,41]","[42,91]",1,1756280620746,1756280620807,A,65, daily, physical-keyboard
6870acd4d7a2c843c144bfd7,prompt-to-image,4,0,0,An image of two people in a well lit room.They appear to be conducting a physical exercise.,"[0,41]","[42,91]",2,1756280620943,1756280621068,CapsLock,20, daily, physical-keyboard
6870acd4d7a2c843c144bfd7,prompt-to-image,4,0,0,An image of two people in a well lit room.They appear to be conducting a physical exercise.,"[0,41]","[42,91]",3,1756280621294,1756280621353,n,78, daily, physical-keyboard
6870acd4d7a2c843c144bfd7,prompt-to-image,4,0,0,An image of two people in a well lit room.They appear to be conducting a physical exercise.,"[0,41]","[42,91]",4,1756280621470,1756280621541, ,32, daily, physical-keyboard
6870acd4d7a2c843c144bfd7,prompt-to-image,4,0,0,An image of two people in a well lit room.They appear to be conducting a physical exercise.,"[0,41]","[42,91]",5,1756280621836,1756280621903,i,73, daily, physical-keyboard
6870acd4d7a2c843c144bfd7,prompt-to-image,4,0,0,An image of two people in a well lit room.They appear to be conducting a physical exercise.,"[0,41]","[42,91]",6,1756280622060,1756280622143,m,77, daily, physical-keyboard
6870acd4d7a2c843c144bfd7,prompt-to-image,4,0,0,An image of two people in a well lit room.They appear to be conducting a physical exercise.,"[0,41]","[42,91]",7,1756280622499,1756280622647,a,65, daily, physical-keyboard
6870acd4d7a2c843c144bfd7,prompt-to-image,4,0,0,An image of two people in a well lit room.They appear to be conducting a physical exercise.,"[0,41]","[42,91]",8,1756280622880,1756280622957,g,71, daily, physical-keyboard
6870acd4d7a2c843c144bfd7,prompt-to-image,4,0,0,An image of two people in a well lit room.They appear to be conducting a physical exercise.,"[0,41]","[42,91]",9,1756280623134,1756280623190,e,69, daily, physical-keyboard
