PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",0,1755620500507,1755620502051,Shift,16, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",1,1755620501007,1755620510555,Shift,16, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",2,1755620501041,1755620571410,Shift,16, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",3,1755620501077,0,Shift,16, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",4,1755620501106,0,Shift,16, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",5,1755620501141,0,Shift,16, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",6,1755620501172,0,Shift,16, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",7,1755620501207,0,Shift,16, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",8,1755620501241,0,Shift,16, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",9,1755620501272,0,Shift,16, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",10,1755620501306,0,Shift,16, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",11,1755620501336,0,Shift,16, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",12,1755620501372,0,Shift,16, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",13,1755620501406,0,Shift,16, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",14,1755620501436,1755620501611,O,79, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",15,1755620503075,1755620503236,h,72, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",16,1755620503435,1755620503571, ,32, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",17,1755620504723,1755620504844,n,78, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",18,1755620505499,1755620505628,o,79, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",19,1755620505756,1755620505891, ,32, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",20,1755620506132,1755620506252,t,84, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",21,1755620506324,1755620506451,h,72, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",22,1755620506764,1755620506891,e,69, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",23,1755620506987,1755620507139, ,32, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",24,1755620510179,0,Shift,16, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",25,1755620510459,1755620510555,Q,81, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",26,1755620513363,1755620513475,3,51, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",27,1755620514052,1755620514195, ,32, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",28,1755620514379,1755620514475,r,82, never, physical-keyboard
5adae3ebdec767000128c131,text-to-prompt,0,5,3,Oh no the Q3 report was due .she would do her best to get it done on time .She was not sure if it was good enough.,"[6,27]","[75,113]",29,1755620514659,1755620514755,e,69, never, physical-keyboard
