PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",0,1756240190952,1756240191042,c,67, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",1,1756240191234,1756240191388,r,82, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",2,1756240191292,1756240191423,e,69, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",3,1756240191356,1756240191467,a,65, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",4,1756240191508,1756240191633,t,84, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",5,1756240191580,1756240191690,e,69, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",6,1756240192206,1756240192717,Backspace,8, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",7,1756240192717,1756240196201,Backspace,8, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",8,1756240193279,1756240193383,t,84, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",9,1756240193339,1756240193429,e,69, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",10,1756240193578,1756240193692, ,32, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",11,1756240194349,1756240194423,w,87, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",12,1756240194440,1756240194513,h,72, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",13,1756240194546,1756240194710,a,65, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",14,1756240194602,1756240194725,t,84, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",15,1756240194670,1756240194748, ,32, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",16,1756240195177,1756240195284,c,67, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",17,1756240195236,1756240195366,o,79, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",18,1756240195314,1756240195377,u,85, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",19,1756240195485,1756240195565,l,76, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",20,1756240195549,1756240195659,d,68, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",21,1756240195654,1756240195741, ,32, rarely, physical-keyboard
60f23a36acf5f6c70e990efd,prompt-to-text,0,4,5,"create what could be the first pages of a book based on ""Oddworld, Abe's Oddysee"", the first Oddworld game. make it tightly based on the game and its cinematics, don't make up stuff that didn't happen in the game.","[0,108];[108,162]","[162,213]",22,1756240195786,1756240195895,t,84, rarely, physical-keyboard
