PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",0,1756228810525,1756228810790,Shift,16, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",1,1756228810677,1756228810790,P,80, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",2,1756228810869,1756228810981,l,76, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",3,1756228812157,1756228812293,e,69, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",4,1756228812244,1756228812445,a,65, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",5,1756228812365,1756228812541,s,83, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",6,1756228812477,1756228812621,e,69, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",7,1756228812629,1756228812773, ,32, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",8,1756228823262,1756228823365,g,71, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",9,1756228823453,1756228823556,e,69, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",10,1756228823549,1756228823637,n,78, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",11,1756228823621,1756228823717,e,69, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",12,1756228823781,1756228823861,r,82, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",13,1756228823829,1756228823981,a,65, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",14,1756228824021,1756228824125,t,84, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",15,1756228824221,1756228824309,e,69, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",16,1756228824909,1756228824997, ,32, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",17,1756228825069,1756228825189,a,65, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",18,1756228825293,1756228825397, ,32, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",19,1756228825597,1756228825701,m,77, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",20,1756228825765,1756228825853,e,69, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",21,1756228825949,1756228826037,s,83, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",22,1756228826125,1756228826245,s,83, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",23,1756228826189,1756228826357,a,65, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",24,1756228826429,1756228826524,g,71, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",25,1756228826637,1756228826733,e,69, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",26,1756228827501,1756228828085,Backspace,8, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",27,1756228828003,1756228860750,Backspace,8, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",28,1756228828035,1756228860933,Backspace,8, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",29,1756228828070,1756228861085,Backspace,8, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",30,1756228860661,1756228861206,Backspace,8, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",31,1756228860845,1756228873221,Backspace,8, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",32,1756228860981,0,Backspace,8, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",33,1756228861157,0,Backspace,8, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",34,1756228861661,1756228861741,n,78, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",35,1756228861813,1756228861893, ,32, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",36,1756228861988,1756228862077,i,73, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",37,1756228862141,1756228862237,m,77, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",38,1756228862197,1756228862301,a,65, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",39,1756228862397,1756228862493,g,71, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",40,1756228862581,1756228862669,e,69, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",41,1756228862685,1756228862765, ,32, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",42,1756228862901,1756228862997,i,73, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",43,1756228863061,1756228863141,n,78, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",44,1756228863197,1756228863285, ,32, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",45,1756228863245,1756228863356,a,65, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",46,1756228863349,1756228863440, ,32, weekly, physical-keyboard
6136cb52db0f1cb2262bbf5d,image-to-prompt,1,2,5,"Please generate an image in a very realistic artistic stlye showing a lake with ducks in it, along with land and trees around.","[0,91]","[93,125]",47,1756228863445,1756228863581,v,86, weekly, physical-keyboard
