PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",0,1756272707604,1756272707796,Shift,16, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",1,1756272707737,1756272707870,C,67, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",2,1756272707925,1756272708021,r,82, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",3,1756272708155,1756272708273,e,69, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",4,1756272708351,1756272708510,a,65, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",5,1756272712527,1756272712641,t,84, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",6,1756272712649,1756272712734,e,69, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",7,1756272712875,1756272712988, ,32, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",8,1756272713081,1756272713192,a,65, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",9,1756272713277,1756272713387, ,32, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",10,1756272713451,1756272713529,s,83, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",11,1756272714047,1756272714134,t,84, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",12,1756272714340,1756272714398,o,79, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",13,1756272714710,1756272714802,r,82, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",14,1756272715316,1756272715399,y,89, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",15,1756272715960,1756272716051, ,32, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",16,1756272716503,1756272716601,o,79, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",17,1756272716753,1756272716856,f,70, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",18,1756272716913,1756272716989, ,32, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",19,1756272717229,1756272717372,a,65, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",20,1756272717493,1756272717597, ,32, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",21,1756272717728,1756272717844,t,84, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",22,1756272717915,1756272718019,u,85, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",23,1756272718152,1756272718257,r,82, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",24,1756272718437,1756272718542,t,84, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",25,1756272718915,1756272719043,l,76, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",26,1756272719054,1756272719116,e,69, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",27,1756272719426,1756272719501, ,32, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",28,1756272730485,1756272730615,o,79, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",29,1756272731028,1756272731066,n,78, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",30,1756272731859,1756272731972,Backspace,8, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",31,1756272732140,1756272732256,Backspace,8, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",32,1756272732802,1756272732961,a,65, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",33,1756272733020,1756272733109,l,76, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",34,1756272733197,1756272733339,o,79, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",35,1756272733505,1756272733554,n,78, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",36,1756272733816,1756272733850,g,71, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",37,1756272734034,1756272734135, ,32, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",38,1756272734202,1756272734322,t,84, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",39,1756272734361,1756272734504,h,72, weekly, physical-keyboard
65feaaac53eb219f09ad5ea0,text-to-prompt,1,6,1,Create a story of a turtle walking along the riverbank.,"[9,26]","[41,54]",40,1756272734668,1756272734795,e,69, weekly, physical-keyboard
