PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",0,1756263406067,1756263406191,CapsLock,20, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",1,1756263407381,1756263407412,H,72, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",2,1756263407878,1756263407928,CapsLock,20, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",3,1756263408356,1756263408407,e,69, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",4,1756263408965,1756263409035,l,76, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",5,1756263409237,1756263409278,p,80, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",6,1756263409594,1756263409635, ,32, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",7,1756263409859,1756263409910,m,77, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",8,1756263410410,1756263410450,e,69, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",9,1756263410761,1756263410804, ,32, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",10,1756263411875,1756263411915,c,67, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",11,1756263412444,1756263412485,r,82, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",12,1756263412726,1756263412776,a,65, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",13,1756263413265,1756263413305,f,70, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",14,1756263413601,1756263413641,t,84, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",15,1756263415247,1756263415286, ,32, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",16,1756263418535,1756263418608,Backspace,8, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",17,1756263418738,1756263418820,Backspace,8, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",18,1756263418953,1756263419025,Backspace,8, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",19,1756263419145,1756263419246,Backspace,8, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",20,1756263419277,1756263419382,Backspace,8, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",21,1756263419835,1756263419929,Backspace,8, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",22,1756263420789,1756263420861,w,87, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",23,1756263421563,1756263421594,r,82, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",24,1756263422021,1756263422082,i,73, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",25,1756263422469,1756263422530,t,84, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",26,1756263422710,1756263422761,e,69, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",27,1756263423106,1756263423167, ,32, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",28,1756263423453,1756263423494,d,68, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",29,1756263424072,1756263424132,o,79, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",30,1756263425037,1756263425119,w,87, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",31,1756263425538,1756263425597,n,78, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",32,1756263425768,1756263425819, ,32, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",33,1756263426406,1756263426502,a,65, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",34,1756263427068,1756263427221, ,32, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",35,1756263428899,1756263428993,r,82, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",36,1756263429114,1756263429196,e,69, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",37,1756263429602,1756263429632,c,67, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",38,1756263430201,1756263430252,i,73, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",39,1756263430537,1756263430619,p,80, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",40,1756263431399,1756263431483,e,69, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",41,1756263432478,1756263432539, ,32, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",42,1756263433307,1756263433359,f,70, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",43,1756263434063,1756263434124,o,79, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",44,1756263434511,1756263434561,r,82, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",45,1756263434904,1756263434955, ,32, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",46,1756263435299,1756263435360,a,65, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",47,1756263435709,1756263435769, ,32, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",48,1756263436024,1756263436064,d,68, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",49,1756263436225,1756263436276,e,69, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",50,1756263436944,1756263436999,l,76, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",51,1756263437271,1756263437310,i,73, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",52,1756263438366,1756263438418,c,67, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",53,1756263438965,1756263439021,i,73, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",54,1756263439201,1756263439252,o,79, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",55,1756263439474,1756263439508,u,85, daily, physical-keyboard
664b33c7c40530f620a719a0,prompt-to-image,1,7,4,Help me write down a recipe for a delicious 1kg chocolate mousse cake fit for serving 20 people,"[34,95]","[0,8]",56,1756263440116,1756263440186,s,83, daily, physical-keyboard
