PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
5fff2877a99bcb65a14a223c,prompt-to-image,0,4,3,create an image of a car,"[0,6]","[20,24]",0,1756292263514,1756292263599,c,67, weekly, physical-keyboard,0
5fff2877a99bcb65a14a223c,prompt-to-image,0,4,3,create an image of a car,"[0,6]","[20,24]",1,1756292263766,1756292263846,r,82, weekly, physical-keyboard,1
5fff2877a99bcb65a14a223c,prompt-to-image,0,4,3,create an image of a car,"[0,6]","[20,24]",2,1756292263938,1756292264020,e,69, weekly, physical-keyboard,2
5fff2877a99bcb65a14a223c,prompt-to-image,0,4,3,create an image of a car,"[0,6]","[20,24]",3,1756292264182,1756292264288,a,65, weekly, physical-keyboard,3
5fff2877a99bcb65a14a223c,prompt-to-image,0,4,3,create an image of a car,"[0,6]","[20,24]",4,1756292264541,1756292264626,t,84, weekly, physical-keyboard,4
5fff2877a99bcb65a14a223c,prompt-to-image,0,4,3,create an image of a car,"[0,6]","[20,24]",5,1756292264764,1756292264859,e,69, weekly, physical-keyboard,5
5fff2877a99bcb65a14a223c,prompt-to-image,0,4,3,create an image of a car,"[0,6]","[20,24]",6,1756292265047,1756292265128, ,32, weekly, physical-keyboard,6
5fff2877a99bcb65a14a223c,prompt-to-image,0,4,3,create an image of a car,"[0,6]","[20,24]",7,1756292265897,1756292265992,a,65, weekly, physical-keyboard,7
5fff2877a99bcb65a14a223c,prompt-to-image,0,4,3,create an image of a car,"[0,6]","[20,24]",8,1756292266354,1756292266445,n,78, weekly, physical-keyboard,8
5fff2877a99bcb65a14a223c,prompt-to-image,0,4,3,create an image of a car,"[0,6]","[20,24]",9,1756292266596,1756292266673, ,32, weekly, physical-keyboard,9
5fff2877a99bcb65a14a223c,prompt-to-image,0,4,3,create an image of a car,"[0,6]","[20,24]",10,1756292267915,1756292268000,i,73, weekly, physical-keyboard,10
5fff2877a99bcb65a14a223c,prompt-to-image,0,4,3,create an image of a car,"[0,6]","[20,24]",11,1756292268141,1756292268229,m,77, weekly, physical-keyboard,11
5fff2877a99bcb65a14a223c,prompt-to-image,0,4,3,create an image of a car,"[0,6]","[20,24]",12,1756292268842,1756292268933,a,65, weekly, physical-keyboard,12
