PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",0,1755621251369,1755621251981,Shift,16, weekly, physical-keyboard,0
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",1,1755621251879,0,Shift,16, weekly, physical-keyboard,0
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",2,1755621251888,1755621252034,A,65, weekly, physical-keyboard,0
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",3,1755621252077,1755621252215, ,32, weekly, physical-keyboard,1
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",4,1755621252231,1755621252378,q,81, weekly, physical-keyboard,2
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",5,1755621252425,1755621252523,u,85, weekly, physical-keyboard,3
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",6,1755621252564,1755621252669,a,65, weekly, physical-keyboard,4
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",7,1755621254929,1755621255021,i,73, weekly, physical-keyboard,4
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",8,1755621255219,1755621255342,t,84, weekly, physical-keyboard,4
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",9,1755621255491,1755621255627, ,32, weekly, physical-keyboard,4
