PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",0,1756240267104,1756240267191,c,67, rarely, physical-keyboard,0
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",1,1756240267386,1756240267559,r,82, rarely, physical-keyboard,1
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",2,1756240267467,1756240267589,e,69, rarely, physical-keyboard,2
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",3,1756240267527,1756240267673,a,65, rarely, physical-keyboard,3
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",4,1756240267715,1756240267847,t,84, rarely, physical-keyboard,4
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",5,1756240267794,1756240267933,e,69, rarely, physical-keyboard,5
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",6,1756240267893,1756240268001, ,32, rarely, physical-keyboard,-1
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",7,1756240268045,1756240268152,a,65, rarely, physical-keyboard,7
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",8,1756240268114,1756240268211,n,78, rarely, physical-keyboard,8
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",9,1756240268219,1756240268320, ,32, rarely, physical-keyboard,-1
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",10,1756240268548,1756240268653,i,73, rarely, physical-keyboard,10
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",11,1756240268630,1756240268727,m,77, rarely, physical-keyboard,11
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",12,1756240268704,1756240268822,a,65, rarely, physical-keyboard,12
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",13,1756240268932,1756240269014,g,71, rarely, physical-keyboard,13
