PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",0,1756229415190,1756229415581,Shift,16, weekly, physical-keyboard,0
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",1,1756229415430,1756229415574,P,80, weekly, physical-keyboard,0
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",2,1756229415686,1756229415773,l,76, weekly, physical-keyboard,1
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",3,1756229415765,1756229415878,e,69, weekly, physical-keyboard,2
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",4,1756229415838,1756229416037,a,65, weekly, physical-keyboard,3
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",5,1756229415942,1756229416101,s,83, weekly, physical-keyboard,4
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",6,1756229416029,1756229416165,e,69, weekly, physical-keyboard,5
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",7,1756229416126,1756229416214, ,32, weekly, physical-keyboard,6
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",8,1756229416197,1756229416341,a,65, weekly, physical-keyboard,7
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",9,1756229416310,1756229416406, ,32, weekly, physical-keyboard,7
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",10,1756229416422,1756229416501,c,67, weekly, physical-keyboard,7
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",11,1756229416558,1756229416662,r,82, weekly, physical-keyboard,7
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",12,1756229416726,1756229416862,e,69, weekly, physical-keyboard,7
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",13,1756229416878,1756229417037,a,65, weekly, physical-keyboard,7
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",14,1756229417398,1756229417501,Backspace,8, weekly, physical-keyboard,7
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",15,1756229417582,1756229417670,Backspace,8, weekly, physical-keyboard,7
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",16,1756229417734,1756229417838,Backspace,8, weekly, physical-keyboard,7
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",17,1756229417894,1756229417997,Backspace,8, weekly, physical-keyboard,7
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",18,1756229418062,1756229418158,Backspace,8, weekly, physical-keyboard,7
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",19,1756229418454,1756229418533,Backspace,8, weekly, physical-keyboard,7
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",20,1756229422238,1756229422350,c,67, weekly, physical-keyboard,7
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",21,1756229422446,1756229422565,r,82, weekly, physical-keyboard,8
6136cb52db0f1cb2262bbf5d,prompt-to-text,1,6,5,"Please create a story based on King Arthur and one of his most famous deeds, but also add fantasy and mythical creatures to make it even more interesting.","[0,42]","[43,153]",22,1756229422638,1756229422765,e,69, weekly, physical-keyboard,9
