PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",0,1756298997227,1756298997303,i,73, daily, physical-keyboard,0
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",1,1756298997379,1756298998944,CapsLock,20, daily, physical-keyboard,-1
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",2,1756298997401,1756298997504, ,32, daily, physical-keyboard,-1
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",3,1756298997554,1756298997673,W,87, daily, physical-keyboard,2
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",4,1756298997614,1756298997736,O,79, daily, physical-keyboard,3
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",5,1756298997700,1756298997792,U,85, daily, physical-keyboard,4
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",6,1756298998130,1756298998186,Backspace,8, daily, physical-keyboard,4
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",7,1756298998212,1756298998274,Backspace,8, daily, physical-keyboard,3
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",8,1756298998355,1756298998415,Backspace,8, daily, physical-keyboard,2
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",9,1756298998487,1756298998550,Backspace,8, daily, physical-keyboard,0
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",10,1756298998613,1756298998696,Backspace,8, daily, physical-keyboard,-1
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",11,1756298998877,1756298998944,I,73, daily, physical-keyboard,0
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",12,1756298999083,1756298999201, ,32, daily, physical-keyboard,-1
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",13,1756298999223,1756298999321,w,87, daily, physical-keyboard,2
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",14,1756298999319,1756298999408,o,79, daily, physical-keyboard,3
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",15,1756298999394,1756298999473,u,85, daily, physical-keyboard,4
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",16,1756298999547,1756298999666,l,76, daily, physical-keyboard,5
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",17,1756298999636,1756298999742,d,68, daily, physical-keyboard,6
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",18,1756298999706,1756298999814, ,32, daily, physical-keyboard,-1
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",19,1756298999844,1756298999966,l,76, daily, physical-keyboard,8
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",20,1756298999928,1756299000006,i,73, daily, physical-keyboard,9
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",21,1756299000105,1756299000216,k,75, daily, physical-keyboard,10
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",22,1756299000203,1756299000304,e,69, daily, physical-keyboard,11
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",23,1756299000278,1756299000368, ,32, daily, physical-keyboard,-1
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",24,1756299000442,1756299000521,y,89, daily, physical-keyboard,13
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",25,1756299000537,1756299000672,o,79, daily, physical-keyboard,14
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",26,1756299000637,1756299000732,u,85, daily, physical-keyboard,15
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",27,1756299000689,1756299000775, ,32, daily, physical-keyboard,-1
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",28,1756299000803,1756299000918,t,84, daily, physical-keyboard,17
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",29,1756299000868,1756299000978,o,79, daily, physical-keyboard,18
65cf6d8a589a67afcab54e6f,prompt-to-text,1,6,5,I would like you to create a simple article that I'll use in the blog section of my portfolio website. This article should be about SEO tips.,"[29,43];[132,140]","[54,77]",30,1756299000943,1756299001054, ,32, daily, physical-keyboard,-1
