PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",0,1755619345956,1755619346091,Shift,16, monthly, physical-keyboard,0
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",1,1755619346060,1755619346108,C,67, monthly, physical-keyboard,0
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",2,1755619346236,1755619346308,r,82, monthly, physical-keyboard,1
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",3,1755619346381,1755619346484,e,69, monthly, physical-keyboard,2
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",4,1755619346604,1755619346756,a,65, monthly, physical-keyboard,3
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",5,1755619346716,1755619346788,t,84, monthly, physical-keyboard,5
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",6,1755619346851,1755619346956,a,65, monthly, physical-keyboard,7
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",7,1755619347036,1755619347100, ,32, monthly, physical-keyboard,-1
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",8,1755619347868,1755619347940,Backspace,8, monthly, physical-keyboard,7
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",9,1755619348028,1755619348100,Backspace,8, monthly, physical-keyboard,5
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",10,1755619348133,1755619348236,e,69, monthly, physical-keyboard,5
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",11,1755619348363,1755619348428, ,32, monthly, physical-keyboard,-1
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",12,1755619348460,1755619348604,a,65, monthly, physical-keyboard,7
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",13,1755619350092,1755619350138, ,32, monthly, physical-keyboard,-1
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",14,1755619350292,1755619350356,p,80, monthly, physical-keyboard,9
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",15,1755619350381,1755619350468,r,82, monthly, physical-keyboard,10
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",16,1755619350549,1755619350636,e,69, monthly, physical-keyboard,11
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",17,1755619350741,1755619350820,v,86, monthly, physical-keyboard,12
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",18,1755619350844,1755619350908,i,73, monthly, physical-keyboard,13
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",19,1755619350996,1755619351108,e,69, monthly, physical-keyboard,14
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",20,1755619351197,1755619351340,w,87, monthly, physical-keyboard,15
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",21,1755619351268,1755619351316, ,32, monthly, physical-keyboard,-1
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",22,1755619351452,1755619351516,o,79, monthly, physical-keyboard,17
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",23,1755619351564,1755619351652,f,70, monthly, physical-keyboard,18
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",24,1755619351685,1755619351748, ,32, monthly, physical-keyboard,-1
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",25,1755619351861,1755619351932,t,84, monthly, physical-keyboard,20
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",26,1755619352028,1755619352116,h,72, monthly, physical-keyboard,21
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",27,1755619352084,1755619352220,e,69, monthly, physical-keyboard,22
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",28,1755619352277,1755619352348, ,32, monthly, physical-keyboard,-1
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",29,1755619352708,1755619352812,f,70, monthly, physical-keyboard,24
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",30,1755619352829,1755619352915,o,79, monthly, physical-keyboard,25
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",31,1755619352957,1755619353004,r,82, monthly, physical-keyboard,26
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",32,1755619353100,1755619353188,t,84, monthly, physical-keyboard,27
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",33,1755619353204,1755619353252,h,72, monthly, physical-keyboard,28
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",34,1755619353372,1755619353524,c,67, monthly, physical-keyboard,29
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",35,1755619353477,1755619353540,o,79, monthly, physical-keyboard,30
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",36,1755619353661,1755619353724,m,77, monthly, physical-keyboard,31
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",37,1755619353821,1755619353892,i,73, monthly, physical-keyboard,32
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",38,1755619353989,1755619354060,n,78, monthly, physical-keyboard,33
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",39,1755619354068,1755619354164,g,71, monthly, physical-keyboard,34
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",40,1755619354213,1755619354276, ,32, monthly, physical-keyboard,-1
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",41,1755619354548,1755619354740,Shift,16, monthly, physical-keyboard,36
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",42,1755619354677,1755619354747,R,82, monthly, physical-keyboard,36
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",43,1755619354853,1755619354924,y,89, monthly, physical-keyboard,37
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",44,1755619355061,1755619355148,d,68, monthly, physical-keyboard,38
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",45,1755619355237,1755619355300,e,69, monthly, physical-keyboard,39
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",46,1755619355379,1755619355492,r,82, monthly, physical-keyboard,40
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",47,1755619355541,1755619355612, ,32, monthly, physical-keyboard,-1
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",48,1755619355836,1755619355988,Shift,16, monthly, physical-keyboard,42
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",49,1755619355916,1755619355972,C,67, monthly, physical-keyboard,42
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",50,1755619356413,1755619356485,u,85, monthly, physical-keyboard,43
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",51,1755619356628,1755619356700,p,80, monthly, physical-keyboard,44
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",52,1755619357845,1755619357924,",",188, monthly, physical-keyboard,45
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",53,1755619358067,1755619358123, ,32, monthly, physical-keyboard,-1
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",54,1755619358549,1755619358612,i,73, monthly, physical-keyboard,47
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",55,1755619358709,1755619358780,n,78, monthly, physical-keyboard,48
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",56,1755619358853,1755619358957,c,67, monthly, physical-keyboard,49
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",57,1755619358959,1755619359012,l,76, monthly, physical-keyboard,50
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",58,1755619359117,1755619359188,u,85, monthly, physical-keyboard,51
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",59,1755619359212,1755619359323,d,68, monthly, physical-keyboard,52
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",60,1755619359403,1755619359540,e,69, monthly, physical-keyboard,53
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",61,1755619362541,1755619362620, ,32, monthly, physical-keyboard,-1
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",62,1755619362925,1755619363031,w,87, monthly, physical-keyboard,55
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",63,1755619363021,1755619363101,h,72, monthly, physical-keyboard,56
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",64,1755619363965,1755619364036,o,79, monthly, physical-keyboard,57
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",65,1755619364804,1755619364877, ,32, monthly, physical-keyboard,-1
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",66,1755619365285,1755619365381,y,89, monthly, physical-keyboard,59
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",67,1755619365373,1755619365437,o,79, monthly, physical-keyboard,60
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",68,1755619365517,1755619365589,u,85, monthly, physical-keyboard,61
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",69,1755619365709,1755619365765, ,32, monthly, physical-keyboard,-1
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",70,1755619366236,1755619366325,t,84, monthly, physical-keyboard,63
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",71,1755619366309,1755619366373,h,72, monthly, physical-keyboard,64
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",72,1755619366469,1755619366557,i,73, monthly, physical-keyboard,65
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",73,1755619366645,1755619366709,n,78, monthly, physical-keyboard,66
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",74,1755619366797,1755619366869,k,75, monthly, physical-keyboard,67
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",75,1755619366965,1755619367045, ,32, monthly, physical-keyboard,-1
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",76,1755619367109,1755619367245,w,87, monthly, physical-keyboard,69
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",77,1755619367189,1755619367261,i,73, monthly, physical-keyboard,70
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",78,1755619367365,1755619367437,l,76, monthly, physical-keyboard,71
6643495b44af166c626762cd,prompt-to-image,0,4,3,"Create a preview of the forthcoming Ryder Cup, include who you think will win and who the best players are.","[0,45]","[47,107]",79,1755619367509,1755619367581,l,76, monthly, physical-keyboard,72
