PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
66bb6b7e0ccbed81f3ed30a8,image-to-prompt,0,3,2,"An office room with two windows, two pwople sitting on chairs working at computers, boths facing the windows, with the viwer seeing them from behind","[0,82]","[84,108]",0,1756287916036,1756287916261,Shift,16, daily, physical-keyboard,0
66bb6b7e0ccbed81f3ed30a8,image-to-prompt,0,3,2,"An office room with two windows, two pwople sitting on chairs working at computers, boths facing the windows, with the viwer seeing them from behind","[0,82]","[84,108]",1,1756287916220,1756287916284,A,65, daily, physical-keyboard,0
66bb6b7e0ccbed81f3ed30a8,image-to-prompt,0,3,2,"An office room with two windows, two pwople sitting on chairs working at computers, boths facing the windows, with the viwer seeing them from behind","[0,82]","[84,108]",2,1756287916564,1756287916628,n,78, daily, physical-keyboard,1
66bb6b7e0ccbed81f3ed30a8,image-to-prompt,0,3,2,"An office room with two windows, two pwople sitting on chairs working at computers, boths facing the windows, with the viwer seeing them from behind","[0,82]","[84,108]",3,1756287916812,1756287916876, ,32, daily, physical-keyboard,-1
66bb6b7e0ccbed81f3ed30a8,image-to-prompt,0,3,2,"An office room with two windows, two pwople sitting on chairs working at computers, boths facing the windows, with the viwer seeing them from behind","[0,82]","[84,108]",4,1756287917420,1756287917492,o,79, daily, physical-keyboard,3
66bb6b7e0ccbed81f3ed30a8,image-to-prompt,0,3,2,"An office room with two windows, two pwople sitting on chairs working at computers, boths facing the windows, with the viwer seeing them from behind","[0,82]","[84,108]",5,1756287917764,1756287917812,f,70, daily, physical-keyboard,4
66bb6b7e0ccbed81f3ed30a8,image-to-prompt,0,3,2,"An office room with two windows, two pwople sitting on chairs working at computers, boths facing the windows, with the viwer seeing them from behind","[0,82]","[84,108]",6,1756287917900,1756287917956,f,70, daily, physical-keyboard,5
66bb6b7e0ccbed81f3ed30a8,image-to-prompt,0,3,2,"An office room with two windows, two pwople sitting on chairs working at computers, boths facing the windows, with the viwer seeing them from behind","[0,82]","[84,108]",7,1756287918012,1756287918084,i,73, daily, physical-keyboard,6
66bb6b7e0ccbed81f3ed30a8,image-to-prompt,0,3,2,"An office room with two windows, two pwople sitting on chairs working at computers, boths facing the windows, with the viwer seeing them from behind","[0,82]","[84,108]",8,1756287918244,1756287918308,c,67, daily, physical-keyboard,7
66bb6b7e0ccbed81f3ed30a8,image-to-prompt,0,3,2,"An office room with two windows, two pwople sitting on chairs working at computers, boths facing the windows, with the viwer seeing them from behind","[0,82]","[84,108]",9,1756287918548,1756287918620,e,69, daily, physical-keyboard,8
66bb6b7e0ccbed81f3ed30a8,image-to-prompt,0,3,2,"An office room with two windows, two pwople sitting on chairs working at computers, boths facing the windows, with the viwer seeing them from behind","[0,82]","[84,108]",10,1756287918884,1756287918940, ,32, daily, physical-keyboard,-1
66bb6b7e0ccbed81f3ed30a8,image-to-prompt,0,3,2,"An office room with two windows, two pwople sitting on chairs working at computers, boths facing the windows, with the viwer seeing them from behind","[0,82]","[84,108]",11,1756287920524,1756287920588,r,82, daily, physical-keyboard,10
66bb6b7e0ccbed81f3ed30a8,image-to-prompt,0,3,2,"An office room with two windows, two pwople sitting on chairs working at computers, boths facing the windows, with the viwer seeing them from behind","[0,82]","[84,108]",12,1756287920812,1756287920876,o,79, daily, physical-keyboard,11
