PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
6702f60844f21087e0840e3d,text-to-prompt,0,1,5,Please remind me that all documents for Q3 report are due by Friday and should be uploaded where necessary,"[0,67]","[68,106]",0,1756301915682,1756301915821,Shift,16, monthly, physical-keyboard,0
6702f60844f21087e0840e3d,text-to-prompt,0,1,5,Please remind me that all documents for Q3 report are due by Friday and should be uploaded where necessary,"[0,67]","[68,106]",1,1756301915737,1756301915817,P,80, monthly, physical-keyboard,0
6702f60844f21087e0840e3d,text-to-prompt,0,1,5,Please remind me that all documents for Q3 report are due by Friday and should be uploaded where necessary,"[0,67]","[68,106]",2,1756301915932,1756301916051,l,76, monthly, physical-keyboard,1
6702f60844f21087e0840e3d,text-to-prompt,0,1,5,Please remind me that all documents for Q3 report are due by Friday and should be uploaded where necessary,"[0,67]","[68,106]",3,1756301916195,1756301916321,e,69, monthly, physical-keyboard,2
6702f60844f21087e0840e3d,text-to-prompt,0,1,5,Please remind me that all documents for Q3 report are due by Friday and should be uploaded where necessary,"[0,67]","[68,106]",4,1756301916464,1756301916582,a,65, monthly, physical-keyboard,3
6702f60844f21087e0840e3d,text-to-prompt,0,1,5,Please remind me that all documents for Q3 report are due by Friday and should be uploaded where necessary,"[0,67]","[68,106]",5,1756301916696,1756301916791,s,83, monthly, physical-keyboard,4
6702f60844f21087e0840e3d,text-to-prompt,0,1,5,Please remind me that all documents for Q3 report are due by Friday and should be uploaded where necessary,"[0,67]","[68,106]",6,1756301917036,1756301917155,e,69, monthly, physical-keyboard,5
6702f60844f21087e0840e3d,text-to-prompt,0,1,5,Please remind me that all documents for Q3 report are due by Friday and should be uploaded where necessary,"[0,67]","[68,106]",7,1756301917305,1756301917394, ,32, monthly, physical-keyboard,-1
6702f60844f21087e0840e3d,text-to-prompt,0,1,5,Please remind me that all documents for Q3 report are due by Friday and should be uploaded where necessary,"[0,67]","[68,106]",8,1756301919565,1756301919676,r,82, monthly, physical-keyboard,7
6702f60844f21087e0840e3d,text-to-prompt,0,1,5,Please remind me that all documents for Q3 report are due by Friday and should be uploaded where necessary,"[0,67]","[68,106]",9,1756301919813,1756301919934,e,69, monthly, physical-keyboard,8
