PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",0,1756218881298,1756218881394,c,67, monthly, physical-keyboard,0
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",1,1756218881570,1756218881705,r,82, monthly, physical-keyboard,1
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",2,1756218881674,1756218881770,e,69, monthly, physical-keyboard,2
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",3,1756218881930,1756218882058,a,65, monthly, physical-keyboard,3
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",4,1756218882266,1756218882402,t,84, monthly, physical-keyboard,4
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",5,1756218882402,1756218882538,e,69, monthly, physical-keyboard,5
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",6,1756218882538,1756218882642, ,32, monthly, physical-keyboard,-1
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",7,1756218882794,1756218882881,m,77, monthly, physical-keyboard,7
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",8,1756218882866,1756218882977,e,69, monthly, physical-keyboard,8
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",9,1756218882962,1756218883066, ,32, monthly, physical-keyboard,-1
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",10,1756218884346,1756218884474,a,65, monthly, physical-keyboard,10
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",11,1756218884490,1756218884610, ,32, monthly, physical-keyboard,-1
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",12,1756218884634,1756218884762,s,83, monthly, physical-keyboard,12
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",13,1756218887058,1756218887162,h,72, monthly, physical-keyboard,13
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",14,1756218887315,1756218887386,o,79, monthly, physical-keyboard,14
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",15,1756218887442,1756218887522,r,82, monthly, physical-keyboard,15
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",16,1756218887498,1756218887674,t,84, monthly, physical-keyboard,16
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",17,1756218887618,1756218887754, ,32, monthly, physical-keyboard,-1
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",18,1756218887858,1756218887922,s,83, monthly, physical-keyboard,18
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",19,1756218888066,1756218888122,t,84, monthly, physical-keyboard,19
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",20,1756218888211,1756218888290,o,79, monthly, physical-keyboard,20
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",21,1756218888291,1756218888379,r,82, monthly, physical-keyboard,21
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",22,1756218888515,1756218888594,y,89, monthly, physical-keyboard,22
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",23,1756218888643,1756218888739, ,32, monthly, physical-keyboard,-1
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",24,1756218888795,1756218888867,a,65, monthly, physical-keyboard,24
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",25,1756218889011,1756218889082,b,66, monthly, physical-keyboard,25
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",26,1756218889139,1756218889219,o,79, monthly, physical-keyboard,26
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",27,1756218889379,1756218889442,u,85, monthly, physical-keyboard,27
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",28,1756218889603,1756218889739,t,84, monthly, physical-keyboard,28
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",29,1756218889739,1756218889859, ,32, monthly, physical-keyboard,-1
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",30,1756218890003,1756218890130,a,65, monthly, physical-keyboard,30
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",31,1756218890115,1756218890211, ,32, monthly, physical-keyboard,-1
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",32,1756218890363,1756218890427,t,84, monthly, physical-keyboard,32
6725030a6ee43d8130ceefc5,text-to-prompt,1,6,1,"create me a short story about a turtle walking by a riverbank. At one moment the turtle stops to gaze at the flowing water and leaves floating on it, but after a brief moment it continues walking down the muddy riverbank leaving small footprints.","[12,23];[221,245];[32,61];[88,148]","[154,174]",33,1756218890555,1756218890627,u,85, monthly, physical-keyboard,33
