PARTICIPANT_ID,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,D1U1,D1D2,U1U2,D1U2,U1D2,WORD_ID,D1U1_MEAN_WORD,D1D2_MEAN_WORD,U1U2_MEAN_WORD,D1U2_MEAN_WORD,U1D2_MEAN_WORD,WORD_LEN_KEYS,WORD_DURATION,OVERLAP_FLAG,MS_PER_KEY_WORD,D1U1_WORD_STD,D1U1_WORD_IQR,D1U1_WORD_RANGE,D1U1_WORD_CV,D1D2_WORD_STD,D1D2_WORD_IQR,D1D2_WORD_RANGE,D1D2_WORD_CV,U1U2_WORD_STD,U1U2_WORD_IQR,U1U2_WORD_RANGE,U1U2_WORD_CV,D1U2_WORD_STD,D1U2_WORD_IQR,D1U2_WORD_RANGE,D1U2_WORD_CV,U1D2_WORD_STD,U1D2_WORD_IQR,U1D2_WORD_RANGE,U1D2_WORD_CV,PAUSE_FLAG_X2,PAUSE_FLAG_P90,PAUSE_RATE_WORD,OVERLAP_MAG,OVERLAP_RATE_WORD,OVERLAP_MAG_MEAN_WORD,BACKSPACE_FLAG,BACKSPACE_RATE_WORD,TRI_RP_SUM,tri_1KeyLat[0],tri_1KeyLat[1],tri_2KeyLat[0],tri_2KeyLat[1],tri_1D2D[0],tri_2D3D[0],tri_Dur[0],tri_Dur[1],tri_NumEvents[0],tri_NumEvents[1],TRI_RP_SUM_WORD_MEAN,tri_2KeyLat[0]_WORD_MEAN,tri_2KeyLat[1]_WORD_MEAN,tri_1D2D[0]_WORD_MEAN,tri_2D3D[0]_WORD_MEAN,tri_Dur[0]_WORD_MEAN,TRI_RP_SUM_DEV_FROM_TRIGRAM_MEAN,tri_2KeyLat[0]_DEV_FROM_TRIGRAM_MEAN,tri_2KeyLat[1]_DEV_FROM_TRIGRAM_MEAN,tri_Dur[0]_DEV_FROM_TRIGRAM_MEAN
6527f153bea7b2d7c0d556e4,1,0,321.0,,,1346.0,816.0,1.0,136.125,273.2857142857143,237.57142857142856,361.25,127.85714285714286,8.0,1984.0,0,248.0,86.57191477939845,61.5,250,0.6359736622912651,384.4085128634703,79.5,1088,1.4066176633791383,356.95931474182373,154.5,1023,1.5025346982518135,401.54407336822055,74.25,1208,1.111540687524486,291.033349831743,122.25,897,2.468999786483504,0,0,0.125,0,0.375,22.625,0,0.0,735.0,1137.0,128.0,816.0,-81.0,530.0,292.0,613.0,1348.0,1,1,132.5,117.875,14.625,243.375,197.5,333.625,0.0,0.0,0.0,0.0
6527f153bea7b2d7c0d556e4,1,0,209.0,1137.0,1025.0,211.0,-81.0,1.0,136.125,273.2857142857143,237.57142857142856,361.25,127.85714285714286,8.0,1984.0,1,248.0,86.57191477939845,61.5,250,0.6359736622912651,384.4085128634703,79.5,1088,1.4066176633791383,356.95931474182373,154.5,1023,1.5025346982518135,401.54407336822055,74.25,1208,1.111540687524486,291.033349831743,122.25,897,2.468999786483504,1,1,0.125,81,0.375,22.625,0,0.0,4.0,128.0,168.0,-81.0,85.0,292.0,175.0,384.0,388.0,1,0,132.5,117.875,14.625,243.375,197.5,333.625,0.0,0.0,0.0,0.0
6527f153bea7b2d7c0d556e4,1,0,83.0,128.0,2.0,260.0,85.0,1.0,136.125,273.2857142857143,237.57142857142856,361.25,127.85714285714286,8.0,1984.0,0,248.0,86.57191477939845,61.5,250,0.6359736622912651,384.4085128634703,79.5,1088,1.4066176633791383,356.95931474182373,154.5,1023,1.5025346982518135,401.54407336822055,74.25,1208,1.111540687524486,291.033349831743,122.25,897,2.468999786483504,0,0,0.125,0,0.375,22.625,0,0.0,65.0,168.0,72.0,85.0,-20.0,175.0,187.0,270.0,335.0,1,0,132.5,117.875,14.625,243.375,197.5,333.625,0.0,0.0,0.0,0.0
6527f153bea7b2d7c0d556e4,1,0,92.0,168.0,177.0,167.0,-20.0,1.0,136.125,273.2857142857143,237.57142857142856,361.25,127.85714285714286,8.0,1984.0,1,248.0,86.57191477939845,61.5,250,0.6359736622912651,384.4085128634703,79.5,1088,1.4066176633791383,356.95931474182373,154.5,1023,1.5025346982518135,401.54407336822055,74.25,1208,1.111540687524486,291.033349831743,122.25,897,2.468999786483504,0,0,0.125,20,0.375,22.625,0,0.0,67.0,72.0,182.0,-20.0,87.0,187.0,224.0,316.0,383.0,1,0,132.5,117.875,14.625,243.375,197.5,333.625,0.0,0.0,0.0,0.0
6527f153bea7b2d7c0d556e4,1,0,95.0,72.0,75.0,311.0,87.0,1.0,136.125,273.2857142857143,237.57142857142856,361.25,127.85714285714286,8.0,1984.0,0,248.0,86.57191477939845,61.5,250,0.6359736622912651,384.4085128634703,79.5,1088,1.4066176633791383,356.95931474182373,154.5,1023,1.5025346982518135,401.54407336822055,74.25,1208,1.111540687524486,291.033349831743,122.25,897,2.468999786483504,0,0,0.125,0,0.375,22.625,0,0.0,7.0,182.0,49.0,87.0,-80.0,224.0,218.0,313.0,320.0,1,0,132.5,117.875,14.625,243.375,197.5,333.625,0.0,0.0,0.0,0.0
6527f153bea7b2d7c0d556e4,1,0,129.0,182.0,216.0,138.0,-80.0,1.0,136.125,273.2857142857143,237.57142857142856,361.25,127.85714285714286,8.0,1984.0,1,248.0,86.57191477939845,61.5,250,0.6359736622912651,384.4085128634703,79.5,1088,1.4066176633791383,356.95931474182373,154.5,1023,1.5025346982518135,401.54407336822055,74.25,1208,1.111540687524486,291.033349831743,122.25,897,2.468999786483504,0,0,0.125,80,0.375,22.625,0,0.0,8.0,49.0,177.0,-80.0,88.0,218.0,160.0,289.0,297.0,1,0,132.5,117.875,14.625,243.375,197.5,333.625,0.0,0.0,0.0,0.0
6527f153bea7b2d7c0d556e4,1,0,89.0,49.0,9.0,248.0,88.0,1.0,136.125,273.2857142857143,237.57142857142856,361.25,127.85714285714286,8.0,1984.0,0,248.0,86.57191477939845,61.5,250,0.6359736622912651,384.4085128634703,79.5,1088,1.4066176633791383,356.95931474182373,154.5,1023,1.5025346982518135,401.54407336822055,74.25,1208,1.111540687524486,291.033349831743,122.25,897,2.468999786483504,0,0,0.125,0,0.375,22.625,0,0.0,136.0,177.0,119.0,88.0,48.0,160.0,161.0,250.0,386.0,0,0,132.5,117.875,14.625,243.375,197.5,333.625,0.0,0.0,0.0,0.0
6527f153bea7b2d7c0d556e4,1,0,71.0,177.0,159.0,209.0,48.0,1.0,136.125,273.2857142857143,237.57142857142856,361.25,127.85714285714286,8.0,1984.0,0,248.0,86.57191477939845,61.5,250,0.6359736622912651,384.4085128634703,79.5,1088,1.4066176633791383,356.95931474182373,154.5,1023,1.5025346982518135,401.54407336822055,74.25,1208,1.111540687524486,291.033349831743,122.25,897,2.468999786483504,0,0,0.125,0,0.375,22.625,0,0.0,38.0,119.0,80.0,48.0,-10.0,161.0,163.0,234.0,272.0,1,0,132.5,117.875,14.625,243.375,197.5,333.625,0.0,0.0,0.0,0.0
6527f153bea7b2d7c0d556e4,1,0,90.0,119.0,138.0,153.0,-10.0,,,,,,,,,1,,13175.572350430984,34.0,59607,3.048188752868216,1140.7551687773655,103.0,9635,3.456697807872856,7904.744151080364,119.25,88070,38.81559835301572,13178.589090018488,478.0,59536,2.725832362484538,13210.808841261778,162.5,61343,-3.2944222291129406,0,0,0.1688311688311688,10,0.2857142857142857,4117.675324675325,0,0.2337662337662337,126.0,80.0,209.0,-10.0,136.0,163.0,145.0,235.0,361.0,1,0,114042890496.06494,45617155327.48052,68425735168.58442,8893.657534246575,9037.356164383562,13656.319444444443,0.0,0.0,0.0,0.0
6527f153bea7b2d7c0d556e4,1,0,73.0,80.0,63.0,281.0,136.0,2.0,83.71428571428571,474.2857142857143,475.0,576.1428571428571,458.1666666666667,7.0,3335.0,0,476.4285714285714,10.873734190152677,19.0,25,0.129891022749264,863.341128848791,144.5,2346,1.820297560825764,862.7664805728141,147.5,2361,1.8163504854164507,856.484953861115,99.5,2352,1.4865843483827932,854.990002726292,107.5,2346,2.120060226384713,0,0,0.2857142857142857,0,0.1428571428571428,1.2857142857142858,0,0.1428571428571428,159.0,209.0,95.0,136.0,23.0,145.0,169.0,242.0,401.0,0,0,793.0,403.2857142857143,389.7142857142857,172.85714285714286,178.14285714285714,261.85714285714283,0.0,0.0,0.0,0.0
6527f153bea7b2d7c0d556e4,1,0,72.0,209.0,208.0,192.0,23.0,2.0,83.71428571428571,474.2857142857143,475.0,576.1428571428571,458.1666666666667,7.0,3335.0,0,476.4285714285714,10.873734190152677,19.0,25,0.129891022749264,863.341128848791,144.5,2346,1.820297560825764,862.7664805728141,147.5,2361,1.8163504854164507,856.484953861115,99.5,2352,1.4865843483827932,854.990002726292,107.5,2346,2.120060226384713,0,0,0.2857142857142857,0,0.1428571428571428,1.2857142857142858,0,0.1428571428571428,14.0,95.0,88.0,23.0,-9.0,169.0,170.0,242.0,256.0,1,0,793.0,403.2857142857143,389.7142857142857,172.85714285714286,178.14285714285714,261.85714285714283,0.0,0.0,0.0,0.0
6527f153bea7b2d7c0d556e4,1,0,97.0,95.0,120.0,161.0,-9.0,2.0,83.71428571428571,474.2857142857143,475.0,576.1428571428571,458.1666666666667,7.0,3335.0,1,476.4285714285714,10.873734190152677,19.0,25,0.129891022749264,863.341128848791,144.5,2346,1.820297560825764,862.7664805728141,147.5,2361,1.8163504854164507,856.484953861115,99.5,2352,1.4865843483827932,854.990002726292,107.5,2346,2.120060226384713,0,0,0.2857142857142857,9,0.1428571428571428,1.2857142857142858,0,0.1428571428571428,77.0,88.0,159.0,-9.0,86.0,170.0,162.0,259.0,336.0,1,0,793.0,403.2857142857143,389.7142857142857,172.85714285714286,178.14285714285714,261.85714285714283,0.0,0.0,0.0,0.0
