PARTICIPANT_ID,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,D1U1,D1D2,U1U2,D1U2,U1D2,WORD_ID,D1U1_MEAN_WORD,D1D2_MEAN_WORD,U1U2_MEAN_WORD,D1U2_MEAN_WORD,U1D2_MEAN_WORD,WORD_LEN_KEYS,WORD_DURATION,OVERLAP_FLAG,MS_PER_KEY_WORD,D1U1_WORD_STD,D1U1_WORD_IQR,D1U1_WORD_RANGE,D1U1_WORD_CV,D1D2_WORD_STD,D1D2_WORD_IQR,D1D2_WORD_RANGE,D1D2_WORD_CV,U1U2_WORD_STD,U1U2_WORD_IQR,U1U2_WORD_RANGE,U1U2_WORD_CV,D1U2_WORD_STD,D1U2_WORD_IQR,D1U2_WORD_RANGE,D1U2_WORD_CV,U1D2_WORD_STD,U1D2_WORD_IQR,U1D2_WORD_RANGE,U1D2_WORD_CV,PAUSE_FLAG_X2,PAUSE_FLAG_P90,PAUSE_RATE_WORD,OVERLAP_MAG,OVERLAP_RATE_WORD,OVERLAP_MAG_MEAN_WORD,BACKSPACE_FLAG,BACKSPACE_RATE_WORD,TRI_RP_SUM,tri_1KeyLat[0],tri_1KeyLat[1],tri_2KeyLat[0],tri_2KeyLat[1],tri_1D2D[0],tri_2D3D[0],tri_Dur[0],tri_Dur[1],tri_NumEvents[0],tri_NumEvents[1],TRI_RP_SUM_WORD_MEAN,tri_2KeyLat[0]_WORD_MEAN,tri_2KeyLat[1]_WORD_MEAN,tri_1D2D[0]_WORD_MEAN,tri_2D3D[0]_WORD_MEAN,tri_Dur[0]_WORD_MEAN,TRI_RP_SUM_DEV_FROM_TRIGRAM_MEAN,tri_2KeyLat[0]_DEV_FROM_TRIGRAM_MEAN,tri_2KeyLat[1]_DEV_FROM_TRIGRAM_MEAN,tri_Dur[0]_DEV_FROM_TRIGRAM_MEAN
65f1ee12589aa15061efa22a,0,0,118.0,,,287.0,108.0,,,,,,,,,0,,18674.066018561472,16.25,110153,4.939068906348697,562.9545602280518,125.75,4909,1.6119354508899588,16863.62153365177,120.5,156243,-10.909886130549008,19161.28865294827,474.25,110237,3.862028644502709,19480.70655758175,442.5,163263,-7.472461280238493,0,0,0.1111111111111111,0,0.0427350427350427,3665.0,0,0.0512820512820512,97.0,226.0,50.0,108.0,-11.0,179.0,174.0,292.0,389.0,1,0,30020919252.478638,15010460079.692308,15010459172.786324,7637.808695652174,8553.862068965518,12440.234782608695,0.0,0.0,0.0,0.0
65f1ee12589aa15061efa22a,1,0,61.0,226.0,169.0,163.0,-11.0,1.0,61.0,226.0,169.0,163.0,,1.0,61.0,1,61.0,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,0,0,0.0,11,1.0,11.0,0,0.0,177.0,50.0,301.0,-11.0,188.0,174.0,220.0,281.0,458.0,1,0,177.0,-11.0,188.0,174.0,220.0,281.0,0.0,0.0,0.0,0.0
65f1ee12589aa15061efa22a,0,0,113.0,50.0,102.0,408.0,188.0,,,,,,,,,0,,18674.066018561472,16.25,110153,4.939068906348697,562.9545602280518,125.75,4909,1.6119354508899588,16863.62153365177,120.5,156243,-10.909886130549008,19161.28865294827,474.25,110237,3.862028644502709,19480.70655758175,442.5,163263,-7.472461280238493,0,0,0.1111111111111111,0,0.0427350427350427,3665.0,0,0.0512820512820512,716.0,301.0,635.0,188.0,528.0,220.0,196.0,309.0,1025.0,0,1,30020919252.478638,15010460079.692308,15010459172.786324,7637.808695652174,8553.862068965518,12440.234782608695,0.0,0.0,0.0,0.0
65f1ee12589aa15061efa22a,1,0,107.0,301.0,295.0,724.0,528.0,2.0,15466.32,761.88,3150.96,16235.44,-12836.333333333334,25.0,78586.0,0,3143.44,22393.33186598189,37314.0,60030,1.447877185134013,2143.895079055876,475.0,10754,2.813953744757542,4968.055710235142,4485.0,18688,1.5766800309223672,22015.09918419629,37056.0,59988,1.3559903017224224,22933.00259029913,37621.0,70391,-1.560263501710359,0,0,0.28,0,0.52,15359.72,0,0.52,563.0,635.0,124.0,528.0,35.0,196.0,202.0,309.0,872.0,0,1,-29410.32,-14698.16,-14712.16,30933.6,30934.24,46400.56,0.0,0.0,0.0,0.0
65f1ee12589aa15061efa22a,1,0,89.0,635.0,617.0,237.0,35.0,2.0,15466.32,761.88,3150.96,16235.44,-12836.333333333334,25.0,78586.0,0,3143.44,22393.33186598189,37314.0,60030,1.447877185134013,2143.895079055876,475.0,10754,2.813953744757542,4968.055710235142,4485.0,18688,1.5766800309223672,22015.09918419629,37056.0,59988,1.3559903017224224,22933.00259029913,37621.0,70391,-1.560263501710359,1,0,0.28,0,0.52,15359.72,0,0.52,133.0,124.0,211.0,35.0,98.0,202.0,167.0,256.0,389.0,0,0,-29410.32,-14698.16,-14712.16,30933.6,30934.24,46400.56,19.0,-9.0,28.0,-38.0
65f1ee12589aa15061efa22a,1,0,113.0,124.0,148.0,265.0,98.0,2.0,15466.32,761.88,3150.96,16235.44,-12836.333333333334,25.0,78586.0,0,3143.44,22393.33186598189,37314.0,60030,1.447877185134013,2143.895079055876,475.0,10754,2.813953744757542,4968.055710235142,4485.0,18688,1.5766800309223672,22015.09918419629,37056.0,59988,1.3559903017224224,22933.00259029913,37621.0,70391,-1.560263501710359,0,0,0.28,0,0.52,15359.72,0,0.52,122.0,211.0,78.0,98.0,24.0,167.0,215.0,328.0,450.0,0,0,-29410.32,-14698.16,-14712.16,30933.6,30934.24,46400.56,0.0,0.0,0.0,0.0
65f1ee12589aa15061efa22a,1,0,54.0,211.0,152.0,239.0,24.0,2.0,15466.32,761.88,3150.96,16235.44,-12836.333333333334,25.0,78586.0,0,3143.44,22393.33186598189,37314.0,60030,1.447877185134013,2143.895079055876,475.0,10754,2.813953744757542,4968.055710235142,4485.0,18688,1.5766800309223672,22015.09918419629,37056.0,59988,1.3559903017224224,22933.00259029913,37621.0,70391,-1.560263501710359,0,0,0.28,0,0.52,15359.72,0,0.52,7.0,78.0,144.0,24.0,-17.0,215.0,219.0,273.0,280.0,1,0,-29410.32,-14698.16,-14712.16,30933.6,30934.24,46400.56,0.0,0.0,0.0,0.0
65f1ee12589aa15061efa22a,1,0,161.0,78.0,185.0,202.0,-17.0,2.0,15466.32,761.88,3150.96,16235.44,-12836.333333333334,25.0,78586.0,1,3143.44,22393.33186598189,37314.0,60030,1.447877185134013,2143.895079055876,475.0,10754,2.813953744757542,4968.055710235142,4485.0,18688,1.5766800309223672,22015.09918419629,37056.0,59988,1.3559903017224224,22933.00259029913,37621.0,70391,-1.560263501710359,0,0,0.28,17,0.52,15359.72,0,0.52,143.0,144.0,218.0,-17.0,160.0,219.0,148.0,309.0,452.0,1,0,-29410.32,-14698.16,-14712.16,30933.6,30934.24,46400.56,0.0,0.0,0.0,0.0
65f1ee12589aa15061efa22a,1,0,58.0,144.0,41.0,308.0,160.0,2.0,15466.32,761.88,3150.96,16235.44,-12836.333333333334,25.0,78586.0,0,3143.44,22393.33186598189,37314.0,60030,1.447877185134013,2143.895079055876,475.0,10754,2.813953744757542,4968.055710235142,4485.0,18688,1.5766800309223672,22015.09918419629,37056.0,59988,1.3559903017224224,22933.00259029913,37621.0,70391,-1.560263501710359,0,0,0.28,0,0.52,15359.72,0,0.52,339.0,218.0,269.0,160.0,179.0,148.0,152.0,210.0,549.0,0,0,-29410.32,-14698.16,-14712.16,30933.6,30934.24,46400.56,105.0,69.5,35.5,-13.0
65f1ee12589aa15061efa22a,1,0,90.0,218.0,250.0,331.0,179.0,2.0,15466.32,761.88,3150.96,16235.44,-12836.333333333334,25.0,78586.0,0,3143.44,22393.33186598189,37314.0,60030,1.447877185134013,2143.895079055876,475.0,10754,2.813953744757542,4968.055710235142,4485.0,18688,1.5766800309223672,22015.09918419629,37056.0,59988,1.3559903017224224,22933.00259029913,37621.0,70391,-1.560263501710359,0,0,0.28,0,0.52,15359.72,0,0.52,899.0,269.0,782.0,179.0,720.0,152.0,165.0,255.0,1154.0,0,1,-29410.32,-14698.16,-14712.16,30933.6,30934.24,46400.56,551.5,57.25,494.25,-8.75
