PARTICIPANT_ID,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,D1U1,D1D2,U1U2,D1U2,U1D2,WORD_ID,D1U1_MEAN_WORD,D1D2_MEAN_WORD,U1U2_MEAN_WORD,D1U2_MEAN_WORD,U1D2_MEAN_WORD,WORD_LEN_KEYS,WORD_DURATION,OVERLAP_FLAG,MS_PER_KEY_WORD,D1U1_WORD_STD,D1U1_WORD_IQR,D1U1_WORD_RANGE,D1U1_WORD_CV,D1D2_WORD_STD,D1D2_WORD_IQR,D1D2_WORD_RANGE,D1D2_WORD_CV,U1U2_WORD_STD,U1U2_WORD_IQR,U1U2_WORD_RANGE,U1U2_WORD_CV,D1U2_WORD_STD,D1U2_WORD_IQR,D1U2_WORD_RANGE,D1U2_WORD_CV,U1D2_WORD_STD,U1D2_WORD_IQR,U1D2_WORD_RANGE,U1D2_WORD_CV,PAUSE_FLAG_X2,PAUSE_FLAG_P90,PAUSE_RATE_WORD,OVERLAP_MAG,OVERLAP_RATE_WORD,OVERLAP_MAG_MEAN_WORD,BACKSPACE_FLAG,BACKSPACE_RATE_WORD,TRI_RP_SUM,tri_1KeyLat[0],tri_1KeyLat[1],tri_2KeyLat[0],tri_2KeyLat[1],tri_1D2D[0],tri_2D3D[0],tri_Dur[0],tri_Dur[1],tri_NumEvents[0],tri_NumEvents[1],TRI_RP_SUM_WORD_MEAN,tri_2KeyLat[0]_WORD_MEAN,tri_2KeyLat[1]_WORD_MEAN,tri_1D2D[0]_WORD_MEAN,tri_2D3D[0]_WORD_MEAN,tri_Dur[0]_WORD_MEAN,TRI_RP_SUM_DEV_FROM_TRIGRAM_MEAN,tri_2KeyLat[0]_DEV_FROM_TRIGRAM_MEAN,tri_2KeyLat[1]_DEV_FROM_TRIGRAM_MEAN,tri_Dur[0]_DEV_FROM_TRIGRAM_MEAN
669d0b18e3a1ae0b5f7571ef,0,0,96.0,,,392.0,224.0,,,,,,,,,0,,13.009189997468862,9.0,64,0.1752223357083519,7856.497340353039,281.0,49479,4.245722575780507,7858.622601916889,260.0,49488,4.260166480229248,2242.6816004452367,481.0,11290,1.8415771203335607,2243.702796228787,512.0,11282,2.1035355036444767,0,0,0.2195121951219512,0,0.0,0.0,0,0.0,264.0,320.0,112.0,224.0,40.0,168.0,136.0,232.0,496.0,0,0,1601.8536585365853,1066.6341463414635,535.219512195122,151.17073170731706,150.8048780487805,225.0487804878049,0.0,0.0,0.0,0.0
669d0b18e3a1ae0b5f7571ef,0,0,72.0,320.0,296.0,176.0,40.0,1.0,72.0,320.0,296.0,176.0,,1.0,72.0,0,72.0,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,0,0,0.0,0,0.0,0.0,0,0.0,192.0,112.0,216.0,40.0,152.0,136.0,128.0,200.0,392.0,0,0,192.0,40.0,152.0,136.0,128.0,200.0,0.0,0.0,0.0,0.0
669d0b18e3a1ae0b5f7571ef,0,0,64.0,112.0,104.0,280.0,152.0,,,,,,,,,0,,13.009189997468862,9.0,64,0.1752223357083519,7856.497340353039,281.0,49479,4.245722575780507,7858.622601916889,260.0,49488,4.260166480229248,2242.6816004452367,481.0,11290,1.8415771203335607,2243.702796228787,512.0,11282,2.1035355036444767,0,0,0.2195121951219512,0,0.0,0.0,0,0.0,512.0,216.0,424.0,152.0,360.0,128.0,128.0,192.0,704.0,0,0,1601.8536585365853,1066.6341463414635,535.219512195122,151.17073170731706,150.8048780487805,225.0487804878049,0.0,0.0,0.0,0.0
669d0b18e3a1ae0b5f7571ef,0,0,64.0,216.0,216.0,488.0,360.0,2.0,64.0,278.0,278.0,332.0,234.66666666666663,4.0,960.0,0,240.0,0.0,0.0,0,0.0,109.37397618568444,122.0,248,0.3934315690132534,109.37397618568444,122.0,248,0.3934315690132534,118.38918869558994,152.0,248,0.3565939418541866,120.51002724531544,154.0,256,0.5965842932936407,0,0,0.0,0,0.0,0.0,0,0.0,592.0,424.0,296.0,360.0,232.0,128.0,128.0,192.0,784.0,0,0,442.0,202.0,240.0,130.0,132.25,196.25,0.0,0.0,0.0,0.0
669d0b18e3a1ae0b5f7571ef,0,0,64.0,424.0,424.0,360.0,232.0,2.0,64.0,278.0,278.0,332.0,234.66666666666663,4.0,960.0,0,240.0,0.0,0.0,0,0.0,109.37397618568444,122.0,248,0.3934315690132534,109.37397618568444,122.0,248,0.3934315690132534,118.38918869558994,152.0,248,0.3565939418541866,120.51002724531544,154.0,256,0.5965842932936407,0,0,0.0,0,0.0,0.0,0,0.0,344.0,296.0,176.0,232.0,112.0,128.0,128.0,192.0,536.0,0,0,442.0,202.0,240.0,130.0,132.25,196.25,0.0,0.0,0.0,0.0
669d0b18e3a1ae0b5f7571ef,0,0,64.0,296.0,296.0,240.0,112.0,2.0,64.0,278.0,278.0,332.0,234.66666666666663,4.0,960.0,0,240.0,0.0,0.0,0,0.0,109.37397618568444,122.0,248,0.3934315690132534,109.37397618568444,122.0,248,0.3934315690132534,118.38918869558994,152.0,248,0.3565939418541866,120.51002724531544,154.0,256,0.5965842932936407,0,0,0.0,0,0.0,0.0,0,0.0,216.0,176.0,168.0,112.0,104.0,128.0,136.0,200.0,416.0,0,0,442.0,202.0,240.0,130.0,132.25,196.25,0.0,0.0,0.0,0.0
669d0b18e3a1ae0b5f7571ef,0,0,64.0,176.0,176.0,240.0,104.0,2.0,64.0,278.0,278.0,332.0,234.66666666666663,4.0,960.0,0,240.0,0.0,0.0,0,0.0,109.37397618568444,122.0,248,0.3934315690132534,109.37397618568444,122.0,248,0.3934315690132534,118.38918869558994,152.0,248,0.3565939418541866,120.51002724531544,154.0,256,0.5965842932936407,0,0,0.0,0,0.0,0.0,0,0.0,616.0,168.0,584.0,104.0,512.0,136.0,137.0,201.0,817.0,0,1,442.0,202.0,240.0,130.0,132.25,196.25,0.0,0.0,0.0,0.0
669d0b18e3a1ae0b5f7571ef,0,0,72.0,168.0,176.0,649.0,512.0,,,,,,,,,0,,13.009189997468862,9.0,64,0.1752223357083519,7856.497340353039,281.0,49479,4.245722575780507,7858.622601916889,260.0,49488,4.260166480229248,2242.6816004452367,481.0,11290,1.8415771203335607,2243.702796228787,512.0,11282,2.1035355036444767,0,0,0.2195121951219512,0,0.0,0.0,0,0.0,647.0,584.0,200.0,512.0,135.0,137.0,169.0,241.0,888.0,0,1,1601.8536585365853,1066.6341463414635,535.219512195122,151.17073170731706,150.8048780487805,225.0487804878049,0.0,0.0,0.0,0.0
669d0b18e3a1ae0b5f7571ef,0,0,65.0,584.0,577.0,304.0,135.0,3.0,84.5,392.0,408.0,272.0,135.0,2.0,304.0,0,152.0,27.577164466275352,19.5,39,0.3263569759322527,271.5290039756342,192.0,384,0.6926760305500873,239.00209204105303,169.0,338,0.5857894412770909,45.254833995939045,32.0,64,0.1663780661615406,44.54772721475249,31.5,63,0.4304128233309419,1,0,0.5,0,0.0,0.0,0,0.0,207.0,200.0,176.0,135.0,72.0,169.0,168.0,233.0,440.0,0,0,235.5,103.5,132.0,168.5,160.0,244.5,0.0,0.0,0.0,0.0
669d0b18e3a1ae0b5f7571ef,0,0,104.0,200.0,239.0,240.0,72.0,3.0,84.5,392.0,408.0,272.0,135.0,2.0,304.0,0,152.0,27.577164466275352,19.5,39,0.3263569759322527,271.5290039756342,192.0,384,0.6926760305500873,239.00209204105303,169.0,338,0.5857894412770909,45.254833995939045,32.0,64,0.1663780661615406,44.54772721475249,31.5,63,0.4304128233309419,0,0,0.5,0,0.0,0.0,0,0.0,264.0,176.0,256.0,72.0,192.0,168.0,152.0,256.0,520.0,0,0,235.5,103.5,132.0,168.5,160.0,244.5,0.0,0.0,0.0,0.0
