PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",0,1755620258450,1755620258905,Shift,16, never, physical-keyboard,0,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",1,1755620258714,1755620258849,T,84, never, physical-keyboard,0,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",2,1755620259194,1755620259297,h,72, never, physical-keyboard,1,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",3,1755620259850,1755620260009,i,73, never, physical-keyboard,2,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",4,1755620260145,1755620260290,s,83, never, physical-keyboard,3,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",5,1755620260345,1755620260474, ,32, never, physical-keyboard,4,1,0,0
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",6,1755620260706,1755620260793,w,87, never, physical-keyboard,5,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",7,1755620260985,1755620261082,a,65, never, physical-keyboard,6,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",8,1755620261217,1755620261337,s,83, never, physical-keyboard,7,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",9,1755620261410,1755620261554, ,32, never, physical-keyboard,8,1,0,0
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",10,1755620261897,1755620262025,t,84, never, physical-keyboard,9,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",11,1755620262105,1755620262225,h,72, never, physical-keyboard,10,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",12,1755620262529,1755620262657,e,69, never, physical-keyboard,11,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",13,1755620262729,1755620262858, ,32, never, physical-keyboard,12,1,0,0
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",14,1755620263377,1755620263497,b,66, never, physical-keyboard,13,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",15,1755620263657,1755620263809,e,69, never, physical-keyboard,14,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",16,1755620264041,1755620264154,s,83, never, physical-keyboard,15,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",17,1755620264465,1755620264577,t,84, never, physical-keyboard,16,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",18,1755620264650,1755620264770, ,32, never, physical-keyboard,17,1,0,0
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",19,1755620264882,1755620265010,r,82, never, physical-keyboard,18,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",20,1755620265193,1755620265329,e,69, never, physical-keyboard,19,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",21,1755620265657,1755620265793,s,83, never, physical-keyboard,20,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",22,1755620266105,1755620266209,u,85, never, physical-keyboard,21,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",23,1755620266481,1755620266601,l,76, never, physical-keyboard,22,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",24,1755620266890,1755620267025,t,84, never, physical-keyboard,23,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",25,1755620267105,1755620267225, ,32, never, physical-keyboard,24,1,0,0
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",26,1755620267474,1755620267601,t,84, never, physical-keyboard,25,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",27,1755620267657,1755620267785,h,72, never, physical-keyboard,26,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",28,1755620268106,1755620268265,e,69, never, physical-keyboard,27,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",29,1755620268529,1755620268657,y,89, never, physical-keyboard,28,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",30,1755620268777,1755620268913, ,32, never, physical-keyboard,29,1,0,0
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",31,1755620269226,1755620269401,c,67, never, physical-keyboard,30,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",32,1755620269665,1755620269785,o,79, never, physical-keyboard,31,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",33,1755620269969,1755620270081,u,85, never, physical-keyboard,32,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",34,1755620270370,1755620270497,l,76, never, physical-keyboard,33,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",35,1755620270817,1755620270953,d,68, never, physical-keyboard,34,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",36,1755620271049,1755620271177, ,32, never, physical-keyboard,35,1,0,0
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",37,1755620271361,1755620271473,a,65, never, physical-keyboard,36,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",38,1755620271625,1755620271761,s,83, never, physical-keyboard,37,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",39,1755620272137,1755620272281,k,75, never, physical-keyboard,38,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",40,1755620272385,1755620272537, ,32, never, physical-keyboard,39,1,0,0
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",41,1755620272681,1755620272849,f,70, never, physical-keyboard,40,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",42,1755620273033,1755620273169,o,79, never, physical-keyboard,41,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",43,1755620273361,1755620273561,r,82, never, physical-keyboard,42,1,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",44,1755620273689,1755620273841, ,32, never, physical-keyboard,43,1,0,0
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",45,1755620275209,1755620275353,.,190, never, physical-keyboard,44,0,0,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",46,1755620276401,1755620276761,Shift,16, never, physical-keyboard,45,0,1,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",47,1755620276618,1755620276713,W,87, never, physical-keyboard,45,0,1,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",48,1755620276945,1755620277033,a,65, never, physical-keyboard,46,0,1,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",49,1755620277177,1755620277265,s,83, never, physical-keyboard,47,0,1,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",50,1755620277538,1755620277681, ,32, never, physical-keyboard,48,0,1,0
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",51,1755620277945,1755620278089,s,83, never, physical-keyboard,49,0,1,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",52,1755620278193,1755620278313,h,72, never, physical-keyboard,50,0,1,1
5adae3ebdec767000128c131,prompt-to-text,1,2,3,This was the best result they could ask for .Was she sure he had done his best.,"[0,43]","[45,79]",53,1755620278601,1755620278729,e,69, never, physical-keyboard,51,0,1,1
