PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,WORD
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",0,1756211559048,1756211559482,Shift,16, monthly, physical-keyboard,0,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",1,1756211559349,1756211559454,C,67, monthly, physical-keyboard,0,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",2,1756211559678,1756211559849,a,65, monthly, physical-keyboard,1,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",3,1756211559884,1756211560001,n,78, monthly, physical-keyboard,2,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",4,1756211560140,1756211560233, ,32, monthly, physical-keyboard,3,0
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",5,1756211560934,1756211561074,y,89, monthly, physical-keyboard,4,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",6,1756211561183,1756211561359,o,79, monthly, physical-keyboard,5,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",7,1756211561300,1756211561456,u,85, monthly, physical-keyboard,6,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",8,1756211561383,1756211561497, ,32, monthly, physical-keyboard,7,0
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",9,1756211561657,1756211561750,c,67, monthly, physical-keyboard,8,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",10,1756211561840,1756211561888,r,82, monthly, physical-keyboard,8,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",11,1756211562162,1756211562297,e,69, monthly, physical-keyboard,8,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",12,1756211562467,1756211562551,a,65, monthly, physical-keyboard,8,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",13,1756211562558,1756211562685,t,84, monthly, physical-keyboard,8,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",14,1756211562693,1756211562776, ,32, monthly, physical-keyboard,8,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",15,1756211562749,1756211562832,e,69, monthly, physical-keyboard,8,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",16,1756211563006,1756211563145,m,77, monthly, physical-keyboard,8,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",17,1756211563153,1756211563248,e,69, monthly, physical-keyboard,8,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",18,1756211563305,1756211563407, ,32, monthly, physical-keyboard,8,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",19,1756211563747,1756211564304,Backspace,8, monthly, physical-keyboard,8,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",20,1756211564189,1756211564673,Backspace,8, monthly, physical-keyboard,8,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",21,1756211564213,1756211564857,Backspace,8, monthly, physical-keyboard,8,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",22,1756211564238,1756211565067,Backspace,8, monthly, physical-keyboard,8,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",23,1756211564262,1756211565419,Backspace,8, monthly, physical-keyboard,8,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",24,1756211564287,1756211567815,Backspace,8, monthly, physical-keyboard,8,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",25,1756211564543,1756211567997,Backspace,8, monthly, physical-keyboard,8,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",26,1756211564807,1756211568140,Backspace,8, monthly, physical-keyboard,8,1
5cab22cd68194f001511b2d6,prompt-to-text,1,1,2,"Can you write a poem for children about space dinosaurs. Make it fun, but also educational.","[16,33];[57,90]","[40,55]",27,1756211564960,1756211568297,Backspace,8, monthly, physical-keyboard,8,1
