PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,WORD
5fff2877a99bcb65a14a223c,text-to-prompt,0,5,3,create document submissions reminder,"[0,6]","[28,36]",0,1756292317120,1756292317202,c,67, weekly, physical-keyboard,0,1
5fff2877a99bcb65a14a223c,text-to-prompt,0,5,3,create document submissions reminder,"[0,6]","[28,36]",1,1756292317369,1756292317456,r,82, weekly, physical-keyboard,1,1
5fff2877a99bcb65a14a223c,text-to-prompt,0,5,3,create document submissions reminder,"[0,6]","[28,36]",2,1756292317548,1756292317635,e,69, weekly, physical-keyboard,2,1
5fff2877a99bcb65a14a223c,text-to-prompt,0,5,3,create document submissions reminder,"[0,6]","[28,36]",3,1756292317801,1756292317893,a,65, weekly, physical-keyboard,3,1
5fff2877a99bcb65a14a223c,text-to-prompt,0,5,3,create document submissions reminder,"[0,6]","[28,36]",4,1756292318099,1756292318186,t,84, weekly, physical-keyboard,4,1
5fff2877a99bcb65a14a223c,text-to-prompt,0,5,3,create document submissions reminder,"[0,6]","[28,36]",5,1756292318341,1756292318434,e,69, weekly, physical-keyboard,5,1
5fff2877a99bcb65a14a223c,text-to-prompt,0,5,3,create document submissions reminder,"[0,6]","[28,36]",6,1756292318605,1756292318693, ,32, weekly, physical-keyboard,6,0
5fff2877a99bcb65a14a223c,text-to-prompt,0,5,3,create document submissions reminder,"[0,6]","[28,36]",7,1756292319526,1756292319616,d,68, weekly, physical-keyboard,7,1
5fff2877a99bcb65a14a223c,text-to-prompt,0,5,3,create document submissions reminder,"[0,6]","[28,36]",8,1756292319907,1756292319984,o,79, weekly, physical-keyboard,8,1
5fff2877a99bcb65a14a223c,text-to-prompt,0,5,3,create document submissions reminder,"[0,6]","[28,36]",9,1756292320299,1756292320386,c,67, weekly, physical-keyboard,9,1
5fff2877a99bcb65a14a223c,text-to-prompt,0,5,3,create document submissions reminder,"[0,6]","[28,36]",10,1756292320594,1756292320665,u,85, weekly, physical-keyboard,10,1
5fff2877a99bcb65a14a223c,text-to-prompt,0,5,3,create document submissions reminder,"[0,6]","[28,36]",11,1756292320778,1756292320855,m,77, weekly, physical-keyboard,11,1
5fff2877a99bcb65a14a223c,text-to-prompt,0,5,3,create document submissions reminder,"[0,6]","[28,36]",12,1756292321070,1756292321146,e,69, weekly, physical-keyboard,12,1
5fff2877a99bcb65a14a223c,text-to-prompt,0,5,3,create document submissions reminder,"[0,6]","[28,36]",13,1756292321333,1756292321410,n,78, weekly, physical-keyboard,13,1
5fff2877a99bcb65a14a223c,text-to-prompt,0,5,3,create document submissions reminder,"[0,6]","[28,36]",14,1756292321556,1756292321643,t,84, weekly, physical-keyboard,14,1
