PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD
6527f153bea7b2d7c0d556e4,text-to-prompt,0,5,3,"Please write a short professional email reminder for the document submission deadline. It needs to mention that the documents for the Q3 report are due Friday at noon, and that they are uploaded to the same folder for it.","[0,166]","[168,221]",0,1756260592582,1756260592903,Shift,16, daily, physical-keyboard,0,1,0,1
6527f153bea7b2d7c0d556e4,text-to-prompt,0,5,3,"Please write a short professional email reminder for the document submission deadline. It needs to mention that the documents for the Q3 report are due Friday at noon, and that they are uploaded to the same folder for it.","[0,166]","[168,221]",1,1756260593719,1756260593928,Shift,16, daily, physical-keyboard,0,1,0,1
6527f153bea7b2d7c0d556e4,text-to-prompt,0,5,3,"Please write a short professional email reminder for the document submission deadline. It needs to mention that the documents for the Q3 report are due Friday at noon, and that they are uploaded to the same folder for it.","[0,166]","[168,221]",2,1756260593847,1756260593930,P,80, daily, physical-keyboard,0,1,0,1
6527f153bea7b2d7c0d556e4,text-to-prompt,0,5,3,"Please write a short professional email reminder for the document submission deadline. It needs to mention that the documents for the Q3 report are due Friday at noon, and that they are uploaded to the same folder for it.","[0,166]","[168,221]",3,1756260594015,1756260594107,l,76, daily, physical-keyboard,1,1,0,1
6527f153bea7b2d7c0d556e4,text-to-prompt,0,5,3,"Please write a short professional email reminder for the document submission deadline. It needs to mention that the documents for the Q3 report are due Friday at noon, and that they are uploaded to the same folder for it.","[0,166]","[168,221]",4,1756260594087,1756260594182,e,69, daily, physical-keyboard,2,1,0,1
6527f153bea7b2d7c0d556e4,text-to-prompt,0,5,3,"Please write a short professional email reminder for the document submission deadline. It needs to mention that the documents for the Q3 report are due Friday at noon, and that they are uploaded to the same folder for it.","[0,166]","[168,221]",5,1756260594269,1756260594398,a,65, daily, physical-keyboard,3,1,0,1
6527f153bea7b2d7c0d556e4,text-to-prompt,0,5,3,"Please write a short professional email reminder for the document submission deadline. It needs to mention that the documents for the Q3 report are due Friday at noon, and that they are uploaded to the same folder for it.","[0,166]","[168,221]",6,1756260594318,1756260594407,s,83, daily, physical-keyboard,4,1,0,1
6527f153bea7b2d7c0d556e4,text-to-prompt,0,5,3,"Please write a short professional email reminder for the document submission deadline. It needs to mention that the documents for the Q3 report are due Friday at noon, and that they are uploaded to the same folder for it.","[0,166]","[168,221]",7,1756260594495,1756260594566,e,69, daily, physical-keyboard,5,1,0,1
6527f153bea7b2d7c0d556e4,text-to-prompt,0,5,3,"Please write a short professional email reminder for the document submission deadline. It needs to mention that the documents for the Q3 report are due Friday at noon, and that they are uploaded to the same folder for it.","[0,166]","[168,221]",8,1756260594614,1756260594704, ,32, daily, physical-keyboard,6,1,0,0
6527f153bea7b2d7c0d556e4,text-to-prompt,0,5,3,"Please write a short professional email reminder for the document submission deadline. It needs to mention that the documents for the Q3 report are due Friday at noon, and that they are uploaded to the same folder for it.","[0,166]","[168,221]",9,1756260594694,1756260594767,w,87, daily, physical-keyboard,7,1,0,1
6527f153bea7b2d7c0d556e4,text-to-prompt,0,5,3,"Please write a short professional email reminder for the document submission deadline. It needs to mention that the documents for the Q3 report are due Friday at noon, and that they are uploaded to the same folder for it.","[0,166]","[168,221]",10,1756260594903,1756260594975,r,82, daily, physical-keyboard,8,1,0,1
6527f153bea7b2d7c0d556e4,text-to-prompt,0,5,3,"Please write a short professional email reminder for the document submission deadline. It needs to mention that the documents for the Q3 report are due Friday at noon, and that they are uploaded to the same folder for it.","[0,166]","[168,221]",11,1756260594998,1756260595095,i,73, daily, physical-keyboard,9,1,0,1
