PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",0,1756241963548,1756241963970,Shift,16, daily, physical-keyboard,0,1,0,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",1,1756241963899,1756241964080,D,68, daily, physical-keyboard,0,1,0,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",2,1756241964161,1756241964292,o,79, daily, physical-keyboard,1,1,0,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",3,1756241964482,1756241964664,c,67, daily, physical-keyboard,2,1,0,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",4,1756241964803,1756241964905,u,85, daily, physical-keyboard,3,1,0,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",5,1756241965256,1756241965377,m,77, daily, physical-keyboard,4,1,0,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",6,1756241965426,1756241965610,e,69, daily, physical-keyboard,5,1,0,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",7,1756241965729,1756241965841,n,78, daily, physical-keyboard,6,1,0,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",8,1756241966021,1756241966233,t,84, daily, physical-keyboard,7,1,0,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",9,1756241966302,1756241966493, ,32, daily, physical-keyboard,8,1,0,0
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",10,1756241982682,1756241982862,f,70, daily, physical-keyboard,9,1,0,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",11,1756241982922,1756241983078,o,79, daily, physical-keyboard,10,1,0,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",12,1756241983073,1756241983285,r,82, daily, physical-keyboard,11,1,0,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",13,1756241983424,1756241983595, ,32, daily, physical-keyboard,12,1,0,0
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",14,1756241985517,1756241986132,Shift,16, daily, physical-keyboard,13,1,0,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",15,1756241985950,1756241986152,Q,81, daily, physical-keyboard,13,1,0,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",16,1756241987649,1756241987820,3,51, daily, physical-keyboard,14,1,0,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",17,1756241987920,1756241988061, ,32, daily, physical-keyboard,15,1,0,0
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",18,1756241988413,1756241988524,i,73, daily, physical-keyboard,16,1,0,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",19,1756241988644,1756241988835,s,83, daily, physical-keyboard,17,1,0,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",20,1756241988785,1756241988906, ,32, daily, physical-keyboard,18,1,0,0
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",21,1756241989247,1756241989338,s,83, daily, physical-keyboard,19,0,1,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",22,1756241989548,1756241989701,t,84, daily, physical-keyboard,20,0,1,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",23,1756241989760,1756241989831,i,73, daily, physical-keyboard,21,0,1,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",24,1756241989982,1756241990062,l,76, daily, physical-keyboard,22,0,1,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",25,1756241990193,1756241990244,l,76, daily, physical-keyboard,23,0,1,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",26,1756241990423,1756241990514, ,32, daily, physical-keyboard,24,0,1,0
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",27,1756241990725,1756241990806,b,66, daily, physical-keyboard,25,0,1,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",28,1756241991027,1756241991149,e,69, daily, physical-keyboard,26,0,1,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",29,1756241991239,1756241991390,e,69, daily, physical-keyboard,27,0,1,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",30,1756241991509,1756241991590,n,78, daily, physical-keyboard,28,0,1,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",31,1756241991661,1756241991772, ,32, daily, physical-keyboard,29,0,1,0
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",32,1756241991943,1756241992065,w,87, daily, physical-keyboard,30,0,1,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",33,1756241992264,1756241992375,o,79, daily, physical-keyboard,31,0,1,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",34,1756241992565,1756241992758,r,82, daily, physical-keyboard,32,0,1,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",35,1756241992797,1756241992929,k,75, daily, physical-keyboard,33,0,1,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",36,1756241993380,1756241993541,e,69, daily, physical-keyboard,34,0,1,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",37,1756241993702,1756241993894,d,68, daily, physical-keyboard,35,0,1,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",38,1756241993897,1756241994014, ,32, daily, physical-keyboard,36,0,1,0
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",39,1756241994266,1756241994397,o,79, daily, physical-keyboard,37,0,1,1
67356f7cf6ff16fe3322a837,text-to-prompt,0,3,4,Document for Q3 is still been worked on and might take time.,"[0,18]","[19,60]",40,1756241994576,1756241994709,n,78, daily, physical-keyboard,38,0,1,1
